Id,Description
1,Sets the game resolution. The game may run smoother at lower settings.
2,Sets the visible range. The game may run smoother at lower settings.
3,Adjusts how smoothly borders are rendered. Objects will appear cruder at lower settings but the game may run smoother.
4,Sets the texture detail. The game may run smoother at lower settings.
5,Sets the shadow quality. The graphics will appear more realistic at higher settings.
6,Sets the vertical synchronization. The graphics will appear more smoothly at higher settings.
7,@5
8,Sets the texture quality. The game may run smoother at lower settings.
9,Texture LOD Level
10,Sets the resolution ratio.
11,Runs 1 prepass within Slate.
12,Sets the visibility of your shadow.
13,Sets the video frame rate.
14,Sets the graphics quality related to APU usage.
15,Sets the graphics quality related to memory usage.
16,Sets the sound channel quality.
17,Sets the effect display target.
18,Configure if other players’ name tags are displayed.
19,Sets the maximum number of players to be displayed on your screen.
20,Sets the equipment to be displayed on your screen.
21,Configure if cloaks are displayed.
22,"Configure Level of Enhancement Broadcasting (Enhance Success, Enhance Failed)."
23,Sets the master sound volume.
24,Sets the background sound volume.
25,Sets the sound effect volume.
26,Sets the voice actor volume.
27,Toggles vibration feedback.
28,Toggles your mobile device’s auto-turn on/off feature.
29,Toggles the voice chat’s auto-play feature.
30,You can toggle all in-game notifications.
31,Receive game notifications.
32,Receive game notice notifications.
33,Turning this off blocks all notification between 9pm and 8am.
34,Turn off this option to disable pop-up notifications (except high-priority notifications).
35,Turn off this option to disable 1:1 Chat pop-up notifications.
36,Turn off this option to disable Clan Chat pop-up notifications.
37,Turn off this option to disable Party Chat pop-up notifications.
44,Sets the HP at which to use HP Potions automatically.
45,Sets the MP at which to use MP Potions automatically.
46,Sets the HP percentage at which to use healing skills automatically.
47,Sets the order of potions to use when using HP Potions automatically.
48,Sets the order of potions to use when using MP Potions automatically.
49,Displays normal attack range.
50,Sets the range your character moves within while in Auto-Battle.
51,Sets the minimum grade for equipment to acquire.
52,Displays the current target of the target selected by the player.
53,Displays the target’s HP in various ways.
54,Escape to safety when you encounter Elite or greater Monsters while in Auto-Battle.
55,You will acquire items of at least this grade. (Will not acquire lower grade items.)
56,
57,
58,
59,Sets the control area of the Digital Analog controls to a fixed area of the screen.
60,Translates chat messages to the language used in-game.
61,Sets which languages should or should not be translated in chat.
62,@61
63,@61
64,@61
65,@61
66,@61
67,@61
68,@61
69,@61
70,@61
71,@61
