Name,AlarmDesc
Coming Soon,
Event,Limited Edition Shop is available.
Coming Soon,
Soul Crystal,Check out the items that are on sale.
Coming Soon,
Mount,Limited Edition Shop is available.
Coming Soon,
Strengthening,Check out the items that are on sale.
Summon Boxes,
Consumables,
Scroll,
Diamonds,
Adena,
Friendship Points,
Topaz,
Loyalty Points,
Strengthening Diamond I,
Strengthening Diamond II,
Strengthening Diamond III,
Story I,
Story II,
Diamonds I,
Login Diamond,
Adena I,
Adena II,
봄맞이 한정,
Adventurer ,
Equipment Bundle,
Character Bundle,
Mount,
Souvenir,
