Index,Name
1,Rush Impact
2,@1
3,@1
4,@1
5,@1
6,@1
7,@1
8,@1
9,@1
10,@1
11,Power Thrust
12,@11
13,@11
14,@11
15,@11
16,@11
17,@11
18,@11
19,@11
20,@11
21,@11
22,@11
23,@11
24,@11
25,@11
26,@11
27,@11
28,@11
29,@11
30,@11
31,Blade Rush
32,@31
33,@31
34,@31
35,@31
36,@31
37,Back Stab
38,@37
39,@37
40,@37
41,Chain Hydra
42,Leap Attack
43,@42
44,Hurricane Storm
45,@44
46,Dark Breath
47,@46
48,@44
49,@44
50,Spider Web
51,Charge
52,@51
53,@51
54,@51
55,Wild Sweep
56,Blood Charge
57,@56
58,Marsha Charge
59,@58
60,Satiross Charge
61,@60
62,@37
63,@37
64,@37
65,@37
