Id,Title,Desc
10031,Get Now,
10032,East Talking Island,Clear East Talking Island Story.
10033,West Talking Island,Clear West Talking Island Story.
10034,Gludin Highway,Clear Gludin Highway Story.
10035,Gludio Plains,Clear Gludio Plains Story.
10036,Windawood Manor,Clear Windawood Manor Story.
10037,Wasteland,Clear Wasteland Story.
10038,Plains of Dion,Clear Plains of Dion Story.
10039,Cruma Swamp,Clear Cruma Swamp Story.
10040,Summit of Dissonance,Clear Summit of Dissonance Story.
10041,Shrieking Hallows,Clear Shrieking Hallows Story.
11041,@10031,
11042,Giran Dominion,Clear Giran Dominion Story.
11043,Deathly Fog Shores,Clear Deathly Fog Shores Story.
11044,Devil's Isle,Clear Devil's Isle Story.
11045,Haunted Necropolis,Clear Haunted Necropolis Story.
13001,@10031,Now
13002,Lv. 10 Gift,Reach level 10.
13003,Lv. 20 Gift,Reach level 20.
13004,Lv. 30 Gift,Reach level 30.
13005,Lv. 45 Gift,Reach level 45.
13006,Lv. 70 Gift,Reach level 70.
14001,@10031,@13001
14002,Lv. 80 Gift,Reach level 80.
14003,Lv. 90 Gift,Reach level 90.
14004,Lv. 100 Gift,Reach level 100.
14005,Lv. 110 Gift,Reach level 110.
14006,Lv. 120 Gift,Reach level 120.
15001,@10031,@13001
15002,Lv. 125 Gift,Reach level 125.
15003,Lv. 130 Gift,Reach level 130.
15004,Lv. 135 Gift,Reach level 135.
15005,Lv. 140 Gift,Reach level 140.
15006,Lv. 145 Gift,Reach level 145.
15007,Lv. 150 Gift,Reach level 150.
15008,Lv. 155 Gift,Reach level 155.
15009,Lv. 160 Gift,Reach level 160.
15010,Lv. 165 Gift,Reach level 165.
15011,Lv. 170 Gift,Reach level 170.
15012,Lv. 175 Gift,Reach level 175.
15013,Lv. 180 Gift,Reach level 180.
10011,@10031,@13001
10012,1st Login,Day 1 Login
10013,2nd Login,Day 2 Login
10014,3rd Login,Day 3 Login
10015,4th Login,Day 4 Login
10016,5th Login,Day 5 Login
10017,6th Login,Day 6 Login
10018,7th Login,Day 7 Login
10021,@10031,
10022,Acquire Grade SR Weapon,Acquire a Grade SR weapon.
10023,Acquire Grade SR Headgear,Acquire a Grade SR piece of headgear.
10024,Acquire Grade SR Armor,Acquire a Grade SR piece of armor.
10025,Acquire Grade SR Gloves,Acquire Grade SR gloves.
10026,Acquire Grade SR Boots,Acquire Grade SR boots.
10027,Acquire Grade SR Ring,Acquire a Grade SR ring.
10028,Acquire Grade SR Earring,Acquire Grade SR earrings.
10029,Acquire Grade SR Necklace,Acquire a Grade SR necklace.
1201,@10031,@13001
1202,Lv. 190 Gift,Reach level 190.
1203,Lv. 200 Gift,Reach level 200.
1204,Lv. 210 Gift,Reach level 210.
1205,Lv. 220 Gift,Reach level 220.
1206,Lv. 230 Gift,Reach level 230.
1207,Lv. 240 Gift,Reach level 240.
1208,Lv. 250 Gift,Reach level 250.
1209,Lv. 260 Gift,Reach level 260.
12041,@10031,
12042,Northwind Plateau,Clear the Northwind Plateau Story.
12043,Eternal Lands,Clear the Eternal Lands Story.
12044,Ivory Tower Conquered Territory,Clear the Ivory Tower Conquered Territory Story.
