Id,Name,RepresentRewardName,RepresentRewardDescription,Description
200,Elven Ruins 1,,,"A place filled with magic energy, this is the academy where Elves taught magic to Humans. Humans built their foundations here to eventually become the rulers of the continent."
201,Elven Ruins 2,,,"When the Elves ruled the continent, this floor was only opened for Humans with exceptional talent. The magical energy here is stronger than on the first floor."
202,Ant Nest 1,,,A cave filled with Giant Ants that adapted and survived in the Wasteland that was created by the gigantic dark magic explosion.
203,Ant Nest 2,,,The ants created an even more complicated maze here to protect their precious goods. Only ants can find their way around.
204,Cruma Tower Floor 2,,,A moving fortress and science facility used by ancient giants for biological experiments aimed to create a new type of lifeform. Used to protect the laboratory.
205,Cruma Tower Floor 3,,,"Staying true to the tower’s original intention, this floor has many biological research laboratories. It is filled with the Giants’ magical energy."
206,Ivory Tower Catacomb 1,,,"A space formed when the meteorite Nebulite fell. It was originally a laboratory and library, but was closed down in the aftermath of the Rampant Wizards Incident."
207,Ivory Tower Catacomb 2,,,"There was originally an alchemic laboratory here, but it is now overrun with hard, rock-like mushrooms that grew through the ground."
208,Ivory Tower Catacomb 3,,,"In these Nebulite rich depths monsters run amok, imbued with great strength and insane ferocity by the effects of the crashed meteorite."
209,Ivory Tower Catacomb Laboratory,,,This is both the laboratory of a Nebulite-crazed Ivory Tower Wizard and the place he was sealed. Many subjects roam here.
210,Forest of Secrets Canopy,,,This was where the Fairies used to reside. Monsters have since taken over this area after the Fairies migrated away from the danger of battles.
211,Forest of Secrets Understory,,,"The Forest of Secrets is overgrown, preventing sunlight from entering, and has been desecrated by monsters."
212,Forest of Secrets Slaughter Site,,,"The final resting place of the Fairies who resisted the Fairy Hunt. There is always a gloomy, blood red fog lingering."
4000,Iridescent Scale Garden (Dummy),,,
9000,Trials of Experience I,Upgrade Stone,Use to acquire 1 Upgrade Stone Draw.,There are many powerful Evil Summoning Stones installed by the Dark Brotherhood that have yet to be discovered. You must enter Outworld and defeat monsters to remove them.
9001,Trials of Experience II,@9000,Use to acquire 2 Upgrade Stone Draws.,@9000
9002,Trials of Experience III,@9000,Use to acquire 3 Upgrade Stone Draws.,@9000
9003,Trials of Experience IV,@9000,Use to acquire 5 Upgrade Stone Draws.,@9000
9100,Trials of Experience V,@9000,@9003,@9000
9004,Adena Vault I,@9000,@9000,"Shunaiman, the Emperor of Elmoreden, used this place to store gold required to build the Tower of Insolence. After his death it became occupied by Kresous the Gold Dragon."
9005,Adena Vault II,@9000,@9001,@9004
9006,Adena Vault III,@9000,@9002,@9004
9009,Temple Guardian I,@9000,@9000,The Elven temple that houses the Water Crystal blessed by Eva. Hardin ordered the Silverlight Mercenaries to guard the temple to protect the Water Crystal from the Dark Brotherhood.
9010,Temple Guardian II,@9000,@9001,@9009
9011,Temple Guardian III,@9000,@9002,@9009
9012,Temple Guardian IV,@9000,@9003,@9009
9300,Temple Guardian V,@9000,@9003,@9009
9013,Summoning Circle I,@9000,@9000,Protect Feldheim while he removes the magic placed on the sealed Holy Artifact and clear the dungeon to get the Summoning Stone.
9014,Summoning Circle II,@9000,@9001,@9013
9015,Summoning Circle III,@9000,@9002,@9013
9016,Summoning Circle IV,@9000,@9003,@9013
9017,Refining Stone Dungeon I,@9000,@9000,Destroy the dimensional gate that summons monsters and acquire rewards.
9018,Refining Stone Dungeon II,@9000,@9001,@9017
9019,Refining Stone Dungeon III,@9000,@9002,@9017
9020,Refining Stone Dungeon IV,@9000,@9003,@9017
11100,Ancient Sanctuary I,Upgrade Stone Selection Box,Use to acquire 1 Upgrade Stone Selection Box.,
11101,Ancient Sanctuary II,@11100,Use to acquire 2 Upgrade Stone Selection Boxes.,
11102,Ancient Sanctuary III,@11100,Use to acquire 3 Upgrade Stone Selection Boxes.,
11103,Ancient Sanctuary IV,@11100,Use to acquire 4 Upgrade Stone Selection Boxes.,
