Id,Nme,Desc
1,Mission Basics,Defeat {TaskCount} Monster(s).
2,Combo Expert!,Achieve {TaskCount} combo(s).
3,Potion Chugger,Use {TaskCount} or more MP Potions.
4,Supply Equipment,Acquire {TaskCount} equipment.
5,For Your Clan!,Acquire {TaskCount} Proof(s) of Blood.
6,Only Challengers Gain,Enhance equipment successfully {TaskCount} time(s).
7,Defeat Elite Dungeon Monsters!,Defeat {TaskCount} Elven Ruins 1 monster(s).
8,@1,@1
9,Collect Soul Crystals!,Acquire {TaskCount} Soul Crystal(s).
10,Elite Dungeon Professional,Enter Elite Dungeon {TaskCount} time(s).
11,@6,@6
12,@1,@1
13,@2,@2
14,@3,Use {TaskCount} or more HP Potions.
15,Reckless Gust of Victory,Accomplish {TaskCount} consecutive Arena duel victories.
16,@1,@1
17,Loot Collection,Acquire {TaskCount} Monster Core(s).
18,Hone and Improve Defense!,Acquire {TaskCount} Scroll: Enhance Armor.
19,Hone and Improve Attack!,Acquire {TaskCount} Scroll: Enhance Weapon.
20,Unstoppable Growth!,Level up equipment {TaskCount} time(s).
21,Combat Power Upgrade,Use {TaskCount} or more Soulshots.
22,Superpower!,Accomplish {TaskCount} single hit damage.
23,@15,@15
24,@1,@1
25,@2,@2
26,@1,@1
27,@2,@2
28,@3,@3
29,@4,@4
30,@5,@5
31,@6,@6
32,@7,Defeat {TaskCount} Elven Ruins 2 monster(s).
33,@1,@1
34,@9,@9
35,@10,@10
36,@6,@6
37,@1,@1
38,@2,@2
39,@3,@14
40,@15,@15
41,@1,@1
42,@17,@17
43,@18,@18
44,@19,@19
45,@20,@20
46,@21,@21
47,@22,@22
48,@15,@15
49,@1,@1
50,@2,@2
51,@1,@1
52,@2,@2
53,@3,@3
54,@4,@4
55,@5,@5
56,@6,@6
57,@7,Defeat {TaskCount} Ant Nest 1 monster(s).
58,@1,@1
59,@9,@9
60,@10,@10
61,@6,@6
62,@1,@1
63,@2,@2
64,@3,@14
65,@15,@15
66,@1,@1
67,@17,@17
68,@18,@18
69,@19,@19
70,@20,@20
71,@21,@21
72,@22,@22
73,@15,@15
74,@1,@1
75,@2,@2
76,@1,@1
77,@2,@2
78,@3,@3
79,@4,@4
80,@5,@5
81,@6,@6
82,@7,@57
83,@1,@1
84,@9,@9
85,@10,@10
86,@6,@6
87,@1,@1
88,@2,@2
89,@3,@14
90,Equipment Evolution,Change equipment substat {TaskCount} time(s).
91,@15,@15
92,@1,@1
93,@17,@17
94,@18,@18
95,@19,@19
96,@20,@20
97,@21,@21
98,@7,@57
99,@15,@15
100,@1,@1
101,@2,@2
102,@1,@1
103,@2,@2
104,@3,@3
105,@4,@4
106,@5,@5
107,@6,@6
108,@7,Defeat {TaskCount} Ant Nest 2 monster(s).
109,@1,@1
110,@9,@9
111,@10,@10
112,@6,@6
113,@1,@1
114,@2,@2
115,@3,@14
116,@90,@90
117,@15,@15
