Id,Nme,Desc
1,Defeat Orc Worker of West Talking Island.,Defeat Orc Worker {TaskCount} time(s).
2,Defeat Forest Thorn Dicor of West Talking Island.,Defeat Forest Thorn Dicor {TaskCount} time(s).
3,Defeat Starving Red Fox of West Talking Island.,Defeat Starving Red Fox {TaskCount} time(s).
4,Defeat Forest Wasp of West Talking Island.,Defeat Forest Wasp {TaskCount} time(s).
5,@1,@1
6,@2,@2
7,@3,@3
8,@1,@1
9,@2,@2
10,@3,@3
11,@4,@4
12,@1,@1
13,@2,@2
14,@3,@3
15,@1,@1
16,@2,@2
17,@3,@3
18,@4,@4
19,@1,@1
20,@2,@2
21,@3,@3
22,@1,@1
23,@2,@2
24,@3,@3
25,@4,@4
26,@1,@1
27,@2,@2
28,@3,@3
29,@2,@2
30,@3,@3
31,Defeat Skeleton Soldier of West Talking Island.,Defeat a Skeleton Soldier {TaskCount} time(s).
32,Defeat Skeleton Archer of West Talking Island.,Defeat Skeleton Archer {TaskCount} time(s).
33,Defeat Red Rouse of West Talking Island.,Defeat Red Rouse {TaskCount} time(s).
34,Defeat Taarka of West Talking Island.,Defeat Taarka {TaskCount} time(s).
35,Defeat Bane King of West Talking Island.,Defeat Bane King {TaskCount} time(s).
36,@31,@31
37,@32,@32
38,@31,@31
39,@32,@32
40,@33,@33
41,@34,@34
42,@35,@35
43,@31,@31
44,@32,@32
45,@31,@31
46,@32,@32
47,@31,@31
48,@32,@32
49,@31,@31
50,@32,@32
51,@34,@34
52,@35,@35
53,@31,@31
54,@32,@32
55,@31,@31
56,@32,@32
57,@31,@31
58,@32,@32
59,@31,@31
60,@32,@32
61,Defeat Rabid Werewolf of Gludin Highway.,Defeat Rabid Werewolf {TaskCount} time(s).
62,@61,@61
63,@61,@61
64,@61,@61
65,@61,@61
66,@61,@61
67,Defeat Canine of Gludin Highway.,Defeat Canine {TaskCount} time(s).
68,Defeat Freki of Gludin Highway.,Defeat Freki {TaskCount} time(s).
69,@67,@67
70,@68,@68
71,Defeat Ol Mahum Scout of Gludin Highway.,Defeat Ol Mahum Scout {TaskCount} time(s).
72,@71,@71
73,@71,@71
74,@71,@71
75,@71,@71
76,@71,@71
77,Defeat Plains Cougar of Gludin Highway.,Defeat Plains Cougar {TaskCount} time(s).
78,Defeat Weaver of Gludin Highway.,Defeat Weaver {TaskCount} time(s).
79,@77,@77
80,@78,@78
81,@77,@77
82,@78,@78
83,@77,@77
84,@78,@78
85,@77,@77
86,@78,@78
87,Defeat Melville of Gludin Highway.,Defeat Melville {TaskCount} time(s).
88,@77,@77
89,@78,@78
90,@87,@87
91,Defeat Malevolent Skeleton Soldier of Gludin Highway.,Defeat a Malevolent Skeleton Soldier {TaskCount} time(s).
92,Defeat Grave Bat of Gludin Highway.,Defeat Grave Bat {TaskCount} time(s).
93,@91,@91
94,@92,@92
95,@91,@91
96,@92,@92
97,@91,@91
98,@92,@92
99,@91,@91
100,@92,@92
101,@91,@91
102,@92,@92
103,@91,@91
104,@92,@92
105,@91,@91
106,@92,@92
