Name,TaskName,QuestNpcName,QuestNpcDialog,QuestNpcName2,QuestNpcDialog2
An End to Tyranny,Awaiting Lucien,,,,
An End to Tyranny,Follow Lucien,,,,
An End to Tyranny,Defeat Loyalist Soldiers,,,,
An End to Tyranny,Destroy the Gatehouse,,,,
An End to Tyranny,Enter the Square,,,,
An End to Tyranny,Defeat Loyalist Reinforcements,,,,
An End to Tyranny,Approach the Control Tower,,,,
An End to Tyranny,Defeat Elder Marlow,,,,
An End to Tyranny,Defeat Elder Marlow,,,,
An End to Tyranny,Control Tower Destroyed,,,,
An End to Tyranny,Defeat Enemies on the Bridge,,,,
An End to Tyranny,Go to the Gatehouse,,,,
The Journey Begins,Find the Mercenary Captain,Port Master Psyche,"This is a good place for adventurers to gain Exp.
<p>You should take on some work to get familiar with the area.
<p>Douglas, the Mercenary Captain, is looking for help. You should go meet him.",,
Proof of Skill,Black Wolf Hunt,Captain Douglas,"You look like a capable adventurer. That's good!
<P>So, you’re looking for some work, eh? Well, if you're willing to get your hands dirty, you're hired.
<p>There are some wolves causing trouble near here. Go get rid of them for me.",,
A Proper Job,Hunt Red Bears,Captain Douglas,"You took care of those wolves fast! You may prove useful.
<p>Let's see how you do with a real job. Did you see any Red Bears out near the wolves? It seems the bears around here have lost their fear of people.
<p>I need someone to thin out those Red Bears before they start attacking people. Think you're up to it?",Captain Douglas,We’ve got trouble! An Orc raiding party is attacking the port!
A Proper Job,Find the Mercenary Captain,,,,
A Proper Job,Orc Ambush,,,,
A Proper Job,Orc Ambush,,,,
Emergency Situation!,Find the Guard Captain,Captain Douglas,"I will protect the townspeople with my men. You need to get to the port!
<p>When you find the Guard Captain there, tell him I sent you! Do this and I'll owe you one!",,
Orc Ambush,Defeat the Orc Fighters,Guard Captain Harold,"Orcs are massing near the ferry! They sprung up out of nowhere, just like that! How did we not detect them?
<p>We must defend the ferry at all costs! Fight with us!",,
Orc Ambush,Defeat Orc Escorts,,,,
Orc Ambush,Find the Orc Troop Captain,,,,
Orc Ambush,Find the Orc Troop Captain,Guard Captain Harold,"Damn! The Troop Captain is gone!
<P>He must have gone for the Port Gate! Let's make haste!",,
Orc Ambush,Go to the Port Gate,,,,
Orc Ambush,Defeat the Orcs Escaping the Port,,,,
Orc Ambush,Stop the Troop Captain and its Escorts,,,,
Prepare for Combat,Learn to Auto Equip,Guard Captain Harold,"Thank you. We owe you one. I didn't expect such a fighter with that old armor you're wearing.
<P>I can help you with that. Let me teach you a quick way to manage your Equipment called <YellowBold>Auto Equip</>.",,
The Missing Archaeologists,Talk to Codellia,Guard Captain Harold,"Sorry to keep asking for favors but... I need your help with a small task.
<p>It seems a few archaeologists have disappeared near here.
<p>I'd go figure it out myself, but I should stay here in case the Orcs raid the port again...
<p>Can you get to the bottom of this for me?",Codellia,"Who? Ah! You must be the one sent by the Guard Captain.
<p>Thank you for coming."
Search for Clues,Search for Excavation Equipment,Codellia,"I expect you've been briefed already, but many of my colleagues have gone missing.
<p>I tried searching around here myself, but I couldn't find any traces of them leaving the Dolmen area. They must still be somewhere near...
<p>I suspect that some nearby monsters might be behind this... 
<p>Maybe you can find clues if you kill some monsters.",Codellia,"You say you found this equipment from bats? There shouldn't be any bats out here!
<p>Hmmm, I wonder what pushed the bats out of their natural habitat..."
The Mysterious Kidnappers,Find the Orc Kidnapper's key,Codellia,"I don't trust those Orcs that moved in. I think they're up to something...
<p>Go find their camp, knock a few of them around, and they may cough up some intel!",Codellia,"So, it was the Orcs! And they've locked up my colleagues?! Oh, you got the key!"
Archaeologist Rescue,Free the 1st Captive Archaeologist,Codellia,"Great, you've found the key! Now rescue my colleagues!
<p>Please hurry before it's too late!",Ferron the Blacksmith,Thank you for freeing me! My work brought me out here. I didn't expect to be almost killed by those filthy Orcs!
Archaeologist Rescue,Free the 2nd Captive Archaeologist,,,,
Archaeologist Rescue,Free the 3rd Captive Archaeologist,,,,
Archaeologist Rescue,Follow Ferron the Blacksmith,,,,
Archaeologist Rescue,Talk to Ferron the Blacksmith,,,,
The Blacksmith’s Payback,Learn to Level Up Equipment,Ferron the Blacksmith,"I really thought I was done for! Ha ha!
<P>There must be some way for me to repay you...
<P>I know! I can show you how to improve your gear.",,
The Blacksmith’s Payback,Learn to Level Up Equipment,,,,
Codellia's Summons,Talk to Codellia,Ferron the Blacksmith,"I'm going to head back to my town. I'd invite you to join, but I think that woman over there wants to have a word with you.",,
