AchievementLevel,Name
0,Adventurer Aspirant
1,Newbie Adventurer
2,Ordinary Adventurer
3,Diligent Adventurer
4,Strong Will Adventurer
5,Strong Adventurer
6,Ordinary Mercenary
7,Sturdy Mercenary
8,Courageous Mercenary
9,Persistent Mercenary
10,Gutsy Mercenary
11,Proud Soldier
12,Courageous Soldier
13,Stout Elite Soldier
14,Resilient Fighter
15,Skilled Warrior
16,Sharp Fighter
17,Fierce Fighter
18,Stout Fighter
19,Calm Knight
20,Determined Knight
21,Honorable Knight
22,Wise Baron
23,Intelligent Baron
24,Haughty Baron
25,Bold Baron
26,Tough Baron
27,Reckless Baron
28,Silent Marquis
29,Mighty Marquis
30,Noble Marquis
31,Relentless Tracker
32,Sharp Watcher
33,Honorable Challenger
34,Shining Victor
35,Tempest Commandant
36,Proven Lord
37,Savior of Aden
38,Exploding Destroyer
39,Death Butcher
40,Sincere Guardian
41,Powerful Finisher
42,Glorious Conquerer
43,Indomitable Savior
44,Righteous Judge
45,Punishing Destructor
46,Ruler of the Continent
47,Extreme Expert
48,Cruel Immortal
49,Legendary Limit Breaker
50,Battlefield God
