Id,EffectTypeName
11011,
11021,
11031,
11041,
11051,
11061,
11062,Common Knock Down
12011,
12021,
12031,
12041,
12051,
12061,
12062,@11062
13011,
13021,
13031,
13041,
13051,
13061,
13062,@11062
14011,
14021,
14031,
14041,
14051,
14061,
14062,@11062
21011,
21021,
21031,
21041,
21051,
21061,
21062,@11062
22011,
22021,
22031,
22041,
22051,
22061,
22062,@11062
23011,
23021,
23031,
23041,
23051,
23061,
23062,@11062
24011,
24021,
24031,
24041,
24051,
24061,
24062,@11062
31011,
31021,
31031,
31041,
31051,
31061,
31071,
31081,
31082,@11062
32011,
32021,
32031,
32041,
32051,
32061,
32071,
32081,
32082,@11062
33011,
33021,
33031,
33041,
33051,
33061,
33071,
33081,
33082,@11062
34011,
34021,
34031,
34041,
34051,
34061,
34071,
34081,
34082,@11062
41011,
41021,
41031,
41041,
41051,
41061,
41062,@11062
42011,
42021,
42031,
42041,
42051,
42061,
42062,@11062
43011,
43021,
43031,
43041,
43051,
43061,
43062,@11062
44011,
44021,
44031,
44041,
44051,
44061,
44062,@11062
51011,
51021,
51031,
51041,
51042,@11062
52011,
52021,
52031,
52041,
52042,@11062
53011,
53021,
53031,
53041,
53042,@11062
54011,
54021,
54031,
54041,
54042,@11062
61011,
61021,
61031,
61041,
61042,@11062
62011,
62021,
62031,
62041,
62042,@11062
63011,
63021,
63031,
63041,
63042,@11062
64011,
64021,
64031,
64041,
64042,@11062
111111,
111121,
111123,@11062
111131,
111133,Rush Impact: Knock Down
111211,
111221,
111223,@11062
111231,Power Thrust
111234,Common Stun
111241,Power Shot
111242,@11062
111251,Double Shot
111311,Energy Bolt
111321,Flame Strike
111331,Wind Strike
121111,
121121,
121123,@11062
121131,
121133,@111133
121211,
121221,
121223,@11062
121231,@111231
121234,@111234
121241,@111241
121242,@11062
121251,@111251
121311,@111311
121321,@111321
121331,@111331
131111,
131121,
131123,@11062
131131,
131133,@111133
131211,
131221,
131223,@11062
131231,@111231
131234,@111234
131241,@111241
131242,@11062
131251,@111251
131311,@111311
131321,@111321
131331,@111331
141111,
141121,
141123,@11062
141131,
141133,@111133
141211,
141221,
141223,@11062
141231,@111231
141234,@111234
141241,@111241
141242,@11062
141251,@111251
141311,@111311
141321,@111321
141331,@111331
112111,Slam
112113,Slam: Aggro
112114,@11062
112121,Vengeance
112124,Vengeance: Target Locked
112125,@112124
112126,Vengeance: Atk. Decrease
112131,"Majesty: Aggro level Amplification, P. Def./M. Def. Amplification, Evasion Decrease"
112211,
112214,@11062
112221,Thunder Storm
112231,Wide Sweep: Simultaneous Strike Amplification
112311,Atk.
112313,Sand Cloud: Blind (Accuracy Decrease)
112321,@112311
112323,Stun
112331,Haste: Atk. Spd. Amplification
112332,Haste: Evasion Amplification
112411,@112311
112412,Knock Down
112421,Arrow Rain
112431,"Snipe: Attack Range, Atk., Acc. Increase, Immobility"
112441,"Hawkeye: Critical Increase, Def. Decrease"
112511,Volcano
112521,Molten Bowl
112531,Boost Mana: Max MP Amplification
112532,Boost Mana: MP Regen.
112611,Divine Punishment
112621,Major Heal
112622,@112621
122111,@112311
122113,Tribunal: Target Locked
122114,@11062
122121,Eva's Grace
122131,Aegis Stance: Temporary Invincibility
122132,Aegis Stance: Speed Increase
122211,Sonic Blaster
122221,Sonic Storm
122231,"Rhythm of Combat: Atk., Def. Increase"
122241,Song of Hunter: Party Crit. Rate
122311,
122313,Speed Decrease
122321,
122323,Blade Hurricane: Atk. Spd. Decrease
122331,"Plains Walk: Atk. Spd., Speed Amplification"
122412,Lethal Shot
122413,@112323
122421,Double Wide Shot
122431,Mind’s Eye: Large Crit. Rate Increase
122441,Double Quick Step: Large Speed Increase
122511,Ice Spear
122521,
122523,Blizzard: Slow
122524,Blizzard: Stun
122611,Holy Fire
122613,@122611
122615,Holy Fire: Dmg. Taken Increase
122621,Restoration
122631,Mental Refresh: Party Cooldown Decrease
122632,Mental Refresh: Remove Debuff
122641,"Defensive Party Buff, P. and M."
132111,
132112,"Life Leech: Def. Decrease, Aggro"
132113,Life Drain Rate
132121,@112311
132123,Pull
132125,Chain Hydra: Stun
132126,Chain Hydra: Provoke Immunity
132131,"Ultimate Defense: Large P. Def. & M. Def. Increase, Immobility"
132132,@132131
132211,
132213,@11062
132221,
132223,Hurricane Storm: Slow
132231,Dance of Warrior: Party P. Atk. Increase
132241,Dance of Fury: Party Atk. Spd. Increase
132311,Sting
132312,Sting: Def. Ignore Damage
132313,Sting: Bonus Bleed Damage
132321,
132322,Razor Rain: Bleed
132323,Razor Rain: Stun
132331,Vicious Stance: Crit. Damage Amplification
132332,Vicious Stance: Crit. Rate 100%
132411,Death Sting
132421,Stun Shot
132422,@112323
132431,"Rapidfire: Atk. Spd. Increase, Attack Range Decrease"
132441,Fatal Counter: Large Atk. Amplification and Evasion Decrease
132511,Dark Breath
132521,Corruption
132522,@132521
132531,M. Atk. Amplification: Large M. Atk. Amplification
132611,
132613,Heal
132621,
132623,Bloody Rage: Slow
132624,Bloody Rage: Remove Buff
132631,Empower: Large Party M. Atk. Increase
132632,@112621
132641,@112621
142111,
142113,Thrust: Def. Decrease
142121,
142122,Earthquake: Knock Down
142123,@142122
142211,Power Smash
142221,Leap Attack: Knock Down
142223,@142221
142231,"Angry Dwarf: Atk. Increase, Def. Decrease"
142311,
142313,Blood Rush: Critical Resistance Decrease
142321,
142322,Sonic Star: Acc. Decrease
142323,Sonic Star: Silence
142331,Adena Search: Adena Gain Increase
142411,Burst Shot
