Id,Name,Description
1,Segreta giornaliera,Acquisisci ogni giorno materiali necessari per il rinforzo.
2,Torre dell’Insolenza,Sempre più in alto! Sfida i tuoi limiti!
3,Segreta Élite,Sconfiggi potenti mostri e acquisisci tantissima Esp.!
4,Segreta di Estrazione,Raccogli erbe magiche per creare elisir!
5,Tempio Guardiano,Proteggi i Sacri Artefatti nei luoghi chiave per rifornimenti!
6,Segreta di Adena,Ruba Adena dal covo di un avido drago!
7,Segreta dell'Esperienza,"Venite da me, fratelli, se ciò che cercate è enorme Esp.!"
8,Cerchio di Evocazione,"Sciogli il sigillo sul Sacro Artefatto e
acquisici le Pietre di evocazione!"
9,Segreta Lavorazione Pietre,Distruggi la porta dimensionale ben custodita per ottenere ricompense!
10,Rintracciamento di Varkaron,Le lame affilate di Varkaron causeranno abbondante sanguinamento.
11,Grotta della Formica Regina,"La Formica Regina, nelle profondità della sua grotta oscura, è una maestra dei veleni."
12,Stanza dell’Essenza di Cruma,"Il Sorvegliante della Torre di Cruma
che controlla le menti."
13,Maliss,Maliss la Tentatrice
14,Altare della Follia,"Dirigiti al 
villaggio dell'orco impazzito!"
15,Camera della Contessa di Sangue,"Trova i soldati di Giran dispersi
e la Contessa!"
