Id,Text
1,Caccia
2,Quest
3,Crea Elisir
4,Crea Pergamena Dimenticata
5,Traguardo
6,Ricompensa di Sospensione
7,Completa ora
8,Negozio Punti Amicizia
9,N. Evocazione
10,Neg. cons.
11,Negozio di Adena
12,Negozio di Topazi
13,Negozio di Bundle
14,Negozio Punti Lealtà
15,Ricarica Diamanti
16,Diamanti giornalieri
17,Accesso Bundle
18,Bundle di Rinforzo
19,Segreta Élite
20,Segreta giornaliera
21,Torre dell’Insolenza
22,Segreta di Estrazione
23,Arena
24,Amico
25,Negozio del Clan
26,Regali del clan
27,Traguardo del Clan
28,Negozio Diamanti blu
29,Donazione al clan
30,Saluta membri clan
31,Attività giornaliere
32,Campo di Battaglia d’onore
33,Campo di Battaglia Valoroso
34,Antico Campo di Battaglia
35,Quest Sala del Clan
36,"Normale, Noto"
37,Boss Mondiale
38,Boss della Zona
39,@20
40,Lega
41,Smantellamento
42,Tempio Guardiano
43,Segreta di Adena
44,Cerchio di Evocazione
45,Reliquia Sala del Clan
46,Forziere del Tesoro
47,Conquiste
48,Festival Assedio del Castello
49,Negozio Pergamene
50,Eventi
51,Evento Viaggio
52,Evento web
53,Ricompensa d’accesso
54,Dai una mano
55,Assedio del Castello
56,Assedio della Fortezza
57,Salva Essenza
58,Cristallo dell'Anima
59,Scambio
60,Assedio aperto
61,Spaccatura temporale
62,정복자의 전당
63,Segreta del Clan
