Name,TaskName,QuestNpcName,QuestNpcDialog,QuestNpcName2,QuestNpcDialog2
La fine della tirannia,Aspetta Lucien,,,,
La fine della tirannia,Segui Lucien,,,,
La fine della tirannia,Sconfiggi i Soldati lealisti,,,,
La fine della tirannia,Distruggi la Guardiola,,,,
La fine della tirannia,Accedi alla piazza,,,,
La fine della tirannia,Sconfiggi i Rinforzi lealisti,,,,
La fine della tirannia,Avvicinati alla Torre di Controllo,,,,
La fine della tirannia,Sconfiggi il Marlow anziano,,,,
La fine della tirannia,Sconfiggi il Marlow anziano,,,,
La fine della tirannia,Torre di Controllo distrutta,,,,
La fine della tirannia,Vai alla Guardiola,,,,
Il viaggio ha inizio,Trova il Capo dei Mercenari,Psyche Capitano del Porto,"Questo è un buon posto per gli avventurieri per guadagnare Esp.
<p>Dovresti accettare qualche lavoro per familiarizzare con l’area.
<p>Douglas, il Capo dei Mercenari, sta cercando aiuto. Dovresti incontrarlo.",,
Prova d’abilità,Caccia al lupo nero,Douglas Capo dei Mercenari,"Sembri un avventuriero competente. Ottimo!
<P>Allora, stai cercando qualche lavoro, eh? Bene, se sei disposto a sporcarti le mani, sei assunto!
<p>Ci sono dei lupi che stanno creando problemi qui vicino. Sbarazzati di loro per me.",,
Un compito perbene,Caccia agli orsi rossi,Douglas Capo dei Mercenari,"Ti sei occupato di quei lupi velocemente! Potresti rivelarti utile.
<p>Vediamo come te la cavi con un lavoro vero. Hai visto qualche Orso Rosso vicino i lupi? Pare che gli orsi qui non abbiano più paura della gente.
<p>Serve qualcuno che riduca il numero di quegli Orsi Rossi prima che attacchino le persone. Pensi di esserne capace?",Douglas Capo dei Mercenari,Abbiamo un problema! Un gruppo di Orchi incursori sta attaccando il porto!
Un compito perbene,Trova il Capo dei Mercenari,,,,
Un compito perbene,Imboscata di Orchi,,,,
Un compito perbene,Imboscata di Orchi,,,,
Emergenza!,Trova il Capitano della Guardia,Douglas Capo dei Mercenari,"Io proteggerò la gente del villaggio con i miei uomini. Devi arrivare al porto!
<p>Quando trovi il Capitano della Guardia laggiù, digli che ti ho mandato io! Fallo e sarò in debito con te!",,
Imboscata di Orchi,Sconfiggi gli Orchi combattenti,Harold Capitano della Guardia,"Gli Orchi si radunano vicino al traghetto! Sono spuntati fuori dal nulla, in un attimo! Come abbiamo fatto a non individuarli?
<p>Dobbiamo difendere il traghetto a tutti i costi! Combatti con noi!",,
Imboscata di Orchi,Sconfiggi l’Orco Scorta,,,,
Imboscata di Orchi,Trova il Capitano Orco di Truppa,,,,
Imboscata di Orchi,Trova il Capitano Orco di Truppa,Harold Capitano della Guardia,"Dannazione! Il Capitano di Truppa non c’è più!
<P>Deve essere andato all’entrata del porto! Facciamo in fretta!",,
Imboscata di Orchi,Vai all’entrata del porto,,,,
Imboscata di Orchi,Sconfiggi gli Orchi che scappano dal porto,,,,
Imboscata di Orchi,Ferma il Capitano di Truppa e la sua scorta,,,,
Prepararsi al combattimento,Impara a usare l'auto-equip.,Harold Capitano della Guardia,"Grazie. Ti devo un favore. Non mi aspettavo un tale guerriero con quella vecchia armatura che indossi.
<P>Posso aiutarti con quella. Lascia che ti insegni un modo rapido per gestire il tuo Equipaggiamento chiamato <YellowBold>Equipaggiamento Automatico</>.",,
Gli archeologi scomparsi,Parla con Codellia,Harold Capitano della Guardia,"Scusa se continuo a chiederti favori, ma... Ho bisogno del tuo aiuto con un piccolo lavoro.
<p>Sembra che alcuni archeologi siano spariti qui intorno.
<p>Me ne occuperei da solo, ma dovrei restare in caso gli Orchi assalgano il porto di nuovo...
<p>Puoi arrivare al fondo della faccenda per me?",Codellia,"Chi?! Ah! Tu devi essere quello mandato dal Capitano della Guardia.
<p>Grazie per essere venuto."
