Id,Name,Description,EffectDescription,SkillDialogue
1101,Combo Spada Umano 1,Un attacco di base che usa una spada e uno scudo.,,
1102,Combo Spada Umano 2,@1101,,
1103,Combo Spada Umano 3,@1101,,
1104,Combo Spada Umano 4,@1101,,
1105,Combo Spada Umano 5,@1101,,
1106,Combo Spada Umano 6,@1101,,
1201,Combo Spada Elfo 1,@1101,,
1202,Combo Spada Elfo 2,@1101,,
1203,Combo Spada Elfo 3,@1101,,
1204,Combo Spada Elfo 4,@1101,,
1205,Combo Spada Elfo 5,@1101,,
1206,Combo Spada Elfo 6,@1101,,
1301,Combo Spada Elfo Oscuro 1,@1101,,
1302,Combo Spada Elfo Oscuro 2,@1101,,
1303,Combo Spada Elfo Oscuro 3,@1101,,
1304,Combo Spada Elfo Oscuro 4,@1101,,
1305,Combo Spada Elfo Oscuro 5,@1101,,
1306,Combo Spada Elfo Oscuro 6,@1101,,
1401,Combo Spada Nano 1,@1101,,
1402,Combo Spada Nano 2,@1101,,
1403,Combo Spada Nano 3,@1101,,
1404,Combo Spada Nano 4,@1101,,
1405,Combo Spada Nano 5,@1101,,
1406,Combo Spada Nano 6,@1101,,
2101,Combo Lancia Umano 1,Un attacco di base che usa una lancia.,,
2102,Combo Lancia Umano 2,@2101,,
2103,Combo Lancia Umano 3,@2101,,
2104,Combo Lancia Umano 4,@2101,,
2105,Combo Lancia Umano 5,@2101,,
2106,Combo Lancia Umano 6,@2101,,
2201,Combo Lancia Elfo 1,@2101,,
2202,Combo Lancia Elfo 2,@2101,,
2203,Combo Lancia Elfo 3,@2101,,
2204,Combo Lancia Elfo 4,@2101,,
2205,Combo Lancia Elfo 5,@2101,,
2206,Combo Lancia Elfo 6,@2101,,
2301,Combo Lancia Elfo Oscuro 1,@2101,,
2302,Combo Lancia Elfo Oscuro 2,@2101,,
2303,Combo Lancia Elfo Oscuro 3,@2101,,
2304,Combo Lancia Elfo Oscuro 4,@2101,,
2305,Combo Lancia Elfo Oscuro 5,@2101,,
2306,Combo Lancia Elfo Oscuro 6,@2101,,
2401,Combo Lancia Nano 1,@2101,,
2402,Combo Lancia Nano 2,@2101,,
2403,Combo Lancia Nano 3,@2101,,
2404,Combo Lancia Nano 4,@2101,,
2405,Combo Lancia Nano 5,@2101,,
2406,Combo Lancia Nano 6,@2101,,
3101,Combo Spade Doppie Umano 1,Un attacco di base che usa spade doppie.,,
3102,Combo Spade Doppie Umano 2,@3101,,
3103,Combo Spade Doppie Umano 3,@3101,,
3104,Combo Spade Doppie Umano 4,@3101,,
3105,Combo Spade Doppie Umano 5,@3101,,
3106,Combo Spade Doppie Umano 6,@3101,,
3107,Combo Spade Doppie Umano 7,@3101,,
3108,Combo Spade Doppie Umano 8,@3101,,
3201,Combo Spade Doppie Elfo 1,@3101,,
3202,Combo Spade Doppie Elfo 2,@3101,,
3203,Combo Spade Doppie Elfo 3,@3101,,
3204,Combo Spade Doppie Elfo 4,@3101,,
3205,Combo Spade Doppie Elfo 5,@3101,,
3206,Combo Spade Doppie Elfo 6,@3101,,
3207,Combo Spade Doppie Elfo 7,@3101,,
3208,Combo Spade Doppie Elfo 8,@3101,,
3301,Combo Spade Doppie Elfo Oscuro 1,@3101,,
3302,Combo Spade Doppie Elfo Oscuro 2,@3101,,
3303,Combo Spade Doppie Elfo Oscuro 3,@3101,,
3304,Combo Spade Doppie Elfo Oscuro 4,@3101,,
3305,Combo Spade Doppie Elfo Oscuro 5,@3101,,
3306,Combo Spade Doppie Elfo Oscuro 6,@3101,,
3307,Combo Spade Doppie Elfo Oscuro 7,@3101,,
3308,Combo Spade Doppie Elfo Oscuro 8,@3101,,
3401,Combo Spade Doppie Nano 1,@3101,,
3402,Combo Spade Doppie Nano 2,@3101,,
3403,Combo Spade Doppie Nano 3,@3101,,
3404,Combo Spade Doppie Nano 4,@3101,,
3405,Combo Spade Doppie Nano 5,@3101,,
3406,Combo Spade Doppie Nano 6,@3101,,
3407,Combo Spade Doppie Nano 7,@3101,,
3408,Combo Spade Doppie Nano 8,@3101,,
4101,Combo Pugnale Umano 1,Un attacco di base che usa un pugnale.,,
4102,Combo Pugnale Umano 2,@4101,,
4103,Combo Pugnale Umano 3,@4101,,
4104,Combo Pugnale Umano 4,@4101,,
4105,Combo Pugnale Umano 5,@4101,,
4106,Combo Pugnale Umano 6,@4101,,
4201,Combo Pugnale Elfo 1,@4101,,
4202,Combo Pugnale Elfo 2,@4101,,
4203,Combo Pugnale Elfo 3,@4101,,
4204,Combo Pugnale Elfo 4,@4101,,
4205,Combo Pugnale Elfo 5,@4101,,
4206,Combo Pugnale Elfo 6,@4101,,
4301,Combo Pugnale Elfo Oscuro 1,@4101,,
4302,Combo Pugnale Elfo Oscuro 2,@4101,,
4303,Combo Pugnale Elfo Oscuro 3,@4101,,
4304,Combo Pugnale Elfo Oscuro 4,@4101,,
4305,Combo Pugnale Elfo Oscuro 5,@4101,,
4306,Combo Pugnale Elfo Oscuro 6,@4101,,
4401,Combo Pugnale Nano 1,@4101,,
4402,Combo Pugnale Nano 2,@4101,,
4403,Combo Pugnale Nano 3,@4101,,
4404,Combo Pugnale Nano 4,@4101,,
4405,Combo Pugnale Nano 5,@4101,,
4406,Combo Pugnale Nano 6,@4101,,
5101,Combo Arco Umano 1,Un attacco di base che usa un arco.,,
5102,Combo Arco Umano 2,@5101,,
5103,Combo Arco Umano 3,@5101,,
5104,Combo Arco Umano 4,@5101,,
5201,Combo Arco Elfo 1,@5101,,
5202,Combo Arco Elfo 2,@5101,,
5203,Combo Arco Elfo 3,@5101,,
5204,Combo Arco Elfo 4,@5101,,
5301,Combo Arco Elfo Oscuro 1,@5101,,
5302,Combo Arco Elfo Oscuro 2,@5101,,
5303,Combo Arco Elfo Oscuro 3,@5101,,
5304,Combo Arco Elfo Oscuro 4,@5101,,
5401,Combo Arco Nano 1,@5101,,
5402,Combo Arco Nano 2,@5101,,
5403,Combo Arco Nano 3,@5101,,
5404,Combo Arco Nano 4,@5101,,
6101,Combo Bastone Umano 1,Un attacco di base che usa un bastone.,,
6102,Combo Bastone Umano 2,@6101,,
6103,Combo Bastone Umano 3,@6101,,
6104,Combo Bastone Umano 4,@6101,,
6201,Combo Bastone Elfo 1,@6101,,
6202,Combo Bastone Elfo 2,@6101,,
6203,Combo Bastone Elfo 3,@6101,,
6204,Combo Bastone Elfo 4,@6101,,
6301,Combo Bastone Elfo Oscuro 1,@6101,,
6302,Combo Bastone Elfo Oscuro 2,@6101,,
6303,Combo Bastone Elfo Oscuro 3,@6101,,
6304,Combo Bastone Elfo Oscuro 4,@6101,,
6401,Combo Bastone Nano 1,@6101,,
6402,Combo Bastone Nano 2,@6101,,
6403,Combo Bastone Nano 3,@6101,,
6404,Combo Bastone Nano 4,@6101,,
11111,Scoppio di energia,"<SkillTitle>[Qualsiasi arma]</>
Crea una concentrazione di energia frontale facendola detonare per infliggere danni ai nemici.",Danni: {[Use34Param]1%}% di Att. +{1},
11112,Attacco di potenza,"<SkillTitle>[Solo Spada e Scudo, Lancia e Spade Doppie]</>
Fa oscillare l’arma creando un grande arco per infliggere danni e abbattere nemici.","Danni: {[Use34Param]1%}% di Att. +{1}
Abbatte i bersagli per 2 sec.",
11113,Impatto improvviso,"<SkillTitle>[Solo Spada e Scudo, Lancia e Spade Doppie]</>
Si precipita sui nemici per infliggere danni e abbatterli.",@11112,
11121,@11111,@11111,@11111,
11122,Colpo mortale,"<SkillTitle>[Solo Pugnale]</>
Si ricarica, poi attacca a piena potenza e abbatte il nemico.",@11112,
11123,Spinta di potenza,"<SkillTitle>[Solo Pugnale]</>
Passa in mezzo ai nemici durante l’attacco, stordendoli per un attimo.","Danni: {[Use34Param]1%}% di Att. +{1}
Stordisce i bersagli per 2 sec.",
11124,Colpo di potenza,"<SkillTitle>[Solo Arco]</>
Scocca una freccia che danneggia e abbatte il nemico.","Danni: {[Use34Param]1-1%}% di Att. +{1-1}
Abbatte i bersagli per 2 sec.",
11125,Doppio colpo,"<SkillTitle>[Solo Arco]</>
Scocca due frecce ai nemici davanti per infliggere danni potenti.",Danni: {[Use34Param]1-1%}% di Att. +{1-1} ogni 2 colpi.,
11131,Dardo di energia,"<SkillTitle>[Qualsiasi arma]</>
Lancia una palla di energia penetrante per attaccare i nemici lontani di fronte.",Danni: {[Use34Param]1-1%}% di Att. +{1-1},
11132,Attacco di Fiamma,"<SkillTitle>[Solo Bastone]</>
Lancia una palla infuocata per infliggere danni esplosivi enormi e abbattere i nemici.",@11124,
11133,Attacco di Vento,"<SkillTitle>[Solo Bastone]</>
Crea una raffica di vento che passa attraverso i nemici in una linea diretta per l’attacco.",@11131,
12111,@11111,@11111,@11111,
12112,@11112,@11112,@11112,
12113,@11113,@11113,@11112,
12121,@11111,@11111,@11111,
12122,@11122,@11122,@11112,
12123,@11123,@11123,@11123,
12124,@11124,@11124,@11124,
12125,@11125,@11125,@11125,
12131,@11131,@11131,@11131,
12132,@11132,@11132,@11124,
12133,@11133,@11133,@11131,
13111,@11111,@11111,@11111,
13112,@11112,@11112,@11112,
13113,@11113,@11113,@11112,
13121,@11111,@11111,@11111,
13122,@11122,@11122,@11112,
13123,@11123,@11123,@11123,
13124,@11124,@11124,@11124,
13125,@11125,@11125,@11125,
13131,@11131,@11131,@11131,
13132,@11132,@11132,@11124,
13133,@11133,@11133,@11131,
14111,@11111,@11111,@11111,
14112,@11112,@11112,@11112,
14113,@11113,@11113,@11112,
14121,@11111,@11111,@11111,
14122,@11122,@11122,@11112,
14123,@11123,@11123,@11123,
14124,@11124,@11124,@11124,
14125,@11125,@11125,@11125,
14131,@11131,@11131,@11131,
14132,@11132,@11132,@11124,
14133,@11133,@11133,@11131,
11211,Urto,"<SkillTitle>[Solo Spada e Scudo]</>
Fa oscillare l’arma creando un grande arco che danneggia, abbatte e provoca i nemici.","Danni: {[Use34Param]1%}% di Att. +{1}
Abbatte i bersagli per 2 sec.
Aggro +50%",
11212,Vendetta,"<SkillTitle>[Solo Spada e Scudo]</>
Urlando attacchi e provochi i nemici; quelli colpiti non possono usare le abilità.","Danni: Infligge {[Use34Param]1%}% di Att. + {1}. Diminuisce Att. dei bersagli di {4-1} per 8 sec.
Provocazione Mostro: Tutti gli attacchi saranno indirizzati sul bersaglio per 8 sec.
Provocazione Giocatore: I bersagli non possono usare le abilità e devono concentrare gli attacchi su di te per 4 sec.",
11213,Maestosità,"<SkillTitle>[Solo Spada e Scudo]</>
Aumenta Dif. per un attimo e riflette una porzione dei danni ricevuti.","Dif. +{1-2%}%
Riflette {1-1%}% di danni subiti
Durata: 15 sec.",
11221,Giudizio,"<SkillTitle>[Solo Lancia e Spade Doppie]</>
Fa oscillare l’arma in un grande arco per infliggere danni e abbattere nemici.",@11112,
11222,Tempesta di tuoni,"<SkillTitle>[Solo Lancia e Spade Doppie]</>
Colpisce il suolo con grande forza per infliggere danni e stordire i nemici vicini.",@11123,
11223,Spazzata ampia,"<SkillTitle>[Solo Lancia e Spade Doppie]</>
Aumenta contemporaneamente Vel. Att. e il numero di nemici colpiti.","Bersagli simultanei +{1-1}, Vel. Att. +{1-2%}%
Durata: 15 sec.",
11231,Nuvola di sabbia,"<SkillTitle>[Solo Pugnale]</>
Lancia sabbia sui nemici, ai quali diminuirà la Precisione.","Danno: {[Use34Param]1%}% dell’Att. + {1}.
Diminuisce il Livello di Precisione dei nemici del {2%}% per 10 sec.",
11232,Colpo alle spalle,"<SkillTitle>[Solo Pugnale]</>
Si teletrasporta dietro un nemico per infliggere danni e stordire i nemici vicini.","Danni: {[Use34Param]1%}% di Att. +{1}
Stordisce bersagli per 3 sec.",
11233,Fretta,"<SkillTitle>[Solo Pugnale]</>
Aumenta Vel. Att. ed Elusione drasticamente per un attimo.","Elisir 

Durata: 15 sec.",
11241,Colpo multiplo,"<SkillTitle>[Solo Arco]</>
Lancia frecce penetranti in un cono per infliggere danni e abbattere nemici.",@11112,
