AchievementLevel,Name
0,Aspirante Avventuriero
1,Avventuriero neofita
2,Avventuriero normale
3,Avventuriero diligente
4,Avventuriero con forte volontà
5,Avventuriero forte
6,Mercenario normale
7,Mercenario resistente
8,Mercenario coraggioso
9,Mercenario persistente
10,Mercenario grintoso
11,Soldato orgoglioso
12,Soldato valoroso
13,Soldato Élite robusto
14,Combattente resistente
15,Guerriero abile
16,Combattente scaltro
17,Combattente feroce
18,Combattente robusto
19,Cavaliere calmo
20,Cavaliere determinato
21,Cavaliere d’Onore
22,Barone saggio
23,Barone intelligente
24,Barone sprezzante
25,Barone audace
26,Barone tenace
27,Barone spericolato
28,Marchese silente
29,Marchese potente
30,Marchese nobile
31,Inseguitore implacabile
32,Sorvegliante scaltro
33,Sfidante d’Onore
34,Vincitore splendente
35,Comandante della Tempesta
36,Signore attestato
37,Salvatore di Aden
38,Distruttore in esplosione
39,Macellaio della Morte
40,Guardiano sincero
41,Vincitore potente
42,Conquistatore glorioso
43,Salvatore indomabile
44,Giudice legittimo
45,Distruttore punitore
46,Regnante del Continente
47,Esperto estremo
48,Immortale crudele
49,Celebre Distruttore di Limiti
50,Dio del Campo di battaglia
