Name,AlarmDesc
Presto disponibile,
Evento,Il Negozio Edizione Limitata è disponibile.
Presto disponibile,
Rinforzo I,Dai un'occhiata agli oggetti in vendita.
Presto disponibile,
Bundle Cavalcatura,Il Negozio Edizione Limitata è disponibile.
Presto disponibile,
Rinforzo II,Dai un'occhiata agli oggetti in vendita.
Consigliati,
Scatola Evocazione,
Consumabili,
Pergamena,
Diamanti,
Adena,
Punti Amicizia,
Topazio,
Punti Lealtà,
Diamante Rinforzante I,
Diamante Rinforzante II,
Diamante Rinforzante III,
Storia I,
Storia II,
Diamanti I,
Diamante d’accesso,
Adena I,
Adena II,
Aggiornamento del Festeggiamento,
Avventuriero,
Equipaggiamento,
Personaggio,
Clan,
Cavalcatura,
Souvenir,
