Id,NpcName,DialogMessage
1001,,
1002,,
2001,,
2002,,
3001,,
3002,Psyche Capitano del Porto,"Benvenuto. Prima volta sull’Isola Parlante? Ottimo! Se premi qui, verranno attivate le quest automatiche."
4001,,
4002,Douglas Capo dei Mercenari,Una quest automatica si ferma non appena la quest è completa. Tocca per iniziare la prossima quest.
6001,@4002,Ok. Hai un talento naturale. Proviamo un’altra quest.
11001,Harold Capitano della Guardia,Puoi trovare tutti i tuoi oggetti nell’Inventario.
11002,,
11003,@11001,L’Equip. Auto. è un modo facile e veloce di equipaggiare i tuoi oggetti migliori.
11004,,
11005,@11001,"Questa è una funzionalità utile per i nuovi avventurieri come te, per cui fanne buon uso."
11006,,
12001,Feldheim,<YellowBold>I Colpi d’Anima</> permettono di effettuare attacchi più forti.
12002,@12001,Dovresti iniziare usandoli automaticamente!
12003,@12001,I Colpi d’Anima sono usati solo <YellowBold>quando attacchi</>.
12004,@12001,Rimarranno con te al sicuro per tutto il tempo.
12005,@12001,"Non vuoi usarli automaticamente? In questo caso, tocca di nuovo."
12006,@12001,"<YellowBold>I Colpi d’Anima sono disponibili nel Negozio</>, per cui mantieniti ben rifornito!"
12007,,
13001,Niah,Scopriamo le Segrete giornaliere.
13002,@13001,Puoi trovare l’ingresso nel menu Segreta.
13003,@13001,Tocca qui.
13004,@13001,Vedi tutte le diverse Segrete?
13005,@13001,"Se continui il tuo addestramento, presto sarai in grado di affrontarle!"
13006,@13001,Per adesso diamo un’occhiata alla Segreta giornaliera.
13007,@13001,"Nelle <YellowBold>Segrete giornaliere</>, <YellowBold>ogni giorno compaiono mostri diversi</>."
13008,@13001,Sconfiggili per acquisire <YellowBold>ricompense speciali</>!
13009,@13001,"I mostri più forti rilasciano ricompense migliori, quindi lavora sul diventare più forte."
13010,@13001,"Avanti, entra!"
13011,,
13012,,
13013,,
13014,@13001,"Se hai bisogno d’aiuto, è disponibile la Battaglia automatica."
13015,,
13016,,
13017,,
13018,@13001,Wow! Quello che hai abbattuto era un mostro potente!
13019,,
13020,@13001,"Puoi entrare solo alcune volte al giorno, ma non preoccuparti! Il totale <YellowBold>si azzera ogni giorno</>."
13021,,
13022,,
13023,@13001,Se fallisci <YellowBold>non conterà come ingresso</> quindi non avere paura di metterti alla prova!
13024,@13001,Era molto impegnativo. Andrà meglio la prossima volta!
13025,,
14001,Arconte Daniel,È tempo di dare un’occhiata ai tuoi traguardi e richiedere le ricompense.
14002,@14001,Il primo passo è accedere alle Sfide.
14003,@14001,Questo ti condurrà ai Traguardi.
14004,@14001,Ottieni il riconoscimento dei tuoi <YellowBold>Traguardi</> e ricevi <YellowBold>ricompense</> per averli raggiunti.
14005,@14001,"Hai lavorato sodo, a quanto pare. Hai già completato alcuni <YellowBold>traguardi</>."
14006,@14001,Richiedi pure questa ricompensa.
14007,,
14008,@14001,Ben fatto. Acquisirai <YellowBold>titoli e abilità</> in base alle tue azioni meritevoli.
14009,@14001,Quindi fai un salto ogni tanto per tenerti aggiornato.
14010,@14001,Continua a lavorare duramente e i tuoi sforzi saranno presto ricompensati.
14011,@14001,"Più alto è il livello Traguardi, più forti sono le abilità, e riceverai oggetti come ricompense giornaliere."
14012,@14001,Tieni conto dei <YellowBold>diversi tipi di traguardo</> da completare e non ignorarne nessuno.
14013,,
15001,Anais Mercante,Il Negozio è pieno di rifornimenti utili.
15002,@15001,@13003
15003,@15001,Come questo qui. Ricordane l’aspetto: ti tornerà utile in seguito!
15004,@15001,Cosa stai aspettando? Aprilo!
15005,,
