Id,SpotName,SpotTitle,Desc
1,Fortezza della Strada di Gludin,,
2,Fortezza delle Piane di Gludio,,
3,Fortezza del Maniero Windawood,,
4,Fortezza della Terra Incolta,,
5,Fortezza delle Piane di Dion,,
6,Fortezza della Palude di Cruma,,
7,Fortezza Sommità della Dissonanza,,
8,Fortezza dei Santi Urlanti,,
9,Fortezza del Dominio di Giran,,
10,Fortezza delle Rive della Nebbia Mortale,,
11,Fortezza dell’Isola del Diavolo,,
12,Fortezza della Necropoli Infestata,,
13,Fortezza della Valle del Drago,,
14,Fortezza dell’Altopiano del Vento Nordico,,
15,Fortezza delle Terre Eterne,,
16,Fortezza Conquistata della Torre d’Avorio,,
17,Fortezza delle Rovine di Dolmen,,
18,Fortezza delle Terre distrutte,,
19,Fortezza dell’Obelisco della Vittoria,,
20,Fortezza del Campo fortificato,,
21,Fortezza dei Boschi mormoranti,,
22,Fortezza della Foresta infestata,,
23,Fortezza di Per. Ovest,,
24,Fortezza delle Rovine Elfiche,,
101,Porto dell’Isola Parlante,Porto dell’Isola Parlante,
102,Terre Distrutte,Terre Distrutte,
197,Villaggio dell’Isola Parlante,Villaggio dell’Isola Parlante,
201,Postazione di Perlustrazione Ovest,Postazione di Perlustrazione Ovest,
202,Foresta infestata,Foresta infestata,
301,Piane di Windmill,Piane di Windmill,
302,Cimitero silenzioso,Cimitero silenzioso,
303,Ac. dei saccheg.,Ac. dei saccheg.,
397,Villaggio di Gludin,Villaggio di Gludin,
398,@1,Fortezza della Strada di Gludin,
401,Campagna devastata,Campagna devastata,
402,Posto di Comando Sterminio di Mostri,Posto di Comando Sterminio di Mostri,
403,Abitazioni Uomo Lucertola Maille,Abitazioni Uomo Lucertola Maille,
404,Accampamento degli Orchi Turek,Accampamento degli Orchi Turek,
497,Castello del Villaggio di Gludio,Castello del Villaggio di Gludio,
498,@2,Fortezza delle Piane di Gludio,
499,Castello di Gludio,Castello di Gludio,
501,Rovine di Windawood,Rovine di Windawood,
502,Campo di battaglia,Campo di battaglia,
503,Santuario dell’Elfo Caduto,Santuario dell’Elfo Caduto,
504,Stazione dell’Orco Turek,Stazione dell’Orco Turek,
598,@3,Fortezza del Maniero Windawood,
601,Ammasso di Polvere,Ammasso di Polvere,
602,Terre Incolte,Terre Incolte,
603,Catena Montuosa della Roccia Rossa,Cresta Roccia Rossa,
697,Accampamento di Staris,Accampamento di Staris,
698,@4,Fortezza della Terra Incolta,
701,Area Disboscamento,Area Disboscamento,
702,Area Agricola,Area Agricola,
703,Sobborghi Castello di Dion,Sobborghi Castello di Dion,
704,Piane,Piane,
797,Villaggio di Dion,Villaggio di Dion,
798,@5,Fortezza delle Piane di Dion,
799,Castello di Dion,Castello di Dion,
801,Terreno Eerie,Terreno Eerie,
802,Ing. Terreno Paludoso Cruma,Ing. Terreno Paludoso Cruma,
803,Terreno Paludoso Cruma,Terreno Paludoso Cruma,
897,Accampamento degli Archeologi,Accampamento degli Archeologi,
898,@6,Fortezza della Palude di Cruma,
901,Boschi Sereni,Boschi Sereni,
902,Ing. Accampamento Tanor,Ing. Accampamento Tanor,
903,Interno dell’Accampamento Tanor,Interno dell’Accampamento Tanor,
904,Nascondiglio Ol Mahum,Nascondiglio Ol Mahum,
998,@7,Fortezza Sommità della Dissonanza,
1001,Fattoria Mandragora,Fattoria Mandragora,
1002,Luoghi di Esecuzione,Luoghi di Esecuzione,
1003,Ingresso del Torrione dell’Agonia,Ingresso del Torrione dell’Agonia,
1004,Interno del Torrione dell’Agonia,Interno del Torrione dell’Agonia,
1098,@8,Fortezza dei Santi Urlanti,
1101,Ingresso Dominio di Giran,Ingresso Dominio di Giran,
1102,Giardino dei Fiori Gorgone,Giardino dei Fiori Gorgone,
1103,Foresta cantante,Foresta cantante,
1104,Accampamento degli Uomini Lucertola Langk,Accampamento degli Uomini Lucertola Langk,
1197,Villaggio di Giran,Villaggio di Giran,
1198,@9,Fortezza del Dominio di Giran,
1199,Castello di Giran,Castello di Giran,
1201,Rotta Mercantile,Rotta Mercantile,
1202,Foresta Nebulosa,Foresta Nebulosa,
1203,Porto di Giran,Porto di Giran,
1297,@897,@897,
1298,@10,Fortezza delle Rive della Nebbia Mortale,
1301,Porto temporaneo dell’Isola del Diavolo,Porto temporaneo dell’Isola del Diavolo,
1302,Grotta d’Oro Maledetta,Grotta d’Oro Maledetta,
1303,Porto della Nave Fantasma di Zaken,Porto della Nave Fantasma di Zaken,
1398,@11,Fortezza dell’Isola del Diavolo,
1401,Roccaforte Breka,Roccaforte Breka,
1403,Tappa Intermedia del Baratro dell’Oblio,Tappa Intermedia del Baratro dell’Oblio,
1404,Tomba del Drago,Tomba del Drago,
1405,Passo del Morto,Passo del Morto,
1402,Ingresso del Baratro dell’Oblio,Ingresso del Baratro dell’Oblio,
1406,Punto di morte,Punto di morte,
1498,@12,Fortezza della Necropoli Infestata,
1501,Valle dei Cacciatori,Valle dei Cacciatori,
1503,Avamposto Timak,Avamposto Timak,
1502,Accampamento del cacciatore,Accampamento del cacciatore,
1597,Villaggio di Oren,Villaggio di Oren,
1598,@14,Fortezza dell’Altopiano del Vento Nordico,
1599,Castello di Oren,Castello di Oren,
1601,Sigillo spezzato,Sigillo spezzato,
1602,Mare di Spore,Mare di Spore,
1603,Foresta della Strega,Foresta della Strega,
1697,Area Dispositivi Proibiti,Area Dispositivi Proibiti,
1698,@15,Fortezza delle Terre Eterne,
1701,Foresta del Fuorilegge,Foresta del Fuorilegge,
1702,Foresta del Male,Foresta del Male,
1703,Cratere della Torre d’Avorio,Cratere della Torre d’Avorio,
1798,@16,Fortezza Conquistata della Torre d’Avorio,
1801,Ingresso della Valle del Drago,Ingresso della Valle del Drago,
1802,Terra dei Draghi,Terra dei Draghi,
1803,Spaccatura Demoniaca,Spaccatura Demoniaca,
1898,@13,Fortezza della Valle del Drago,
10000,Laboratorio del Gigante Minore,Laboratorio del Gigante Minore,
10001,@10000,@10000,
10002,@10000,@10000,
10003,Spazio di Einhasad,Regalo divino,
10004,Spazio del Gran Kain,@10003,
20001,Rovine Elfiche 1,Rovine Elfiche 1,
20101,Rovine Elfiche 2,Rovine Elfiche 2,
20201,Nido di Formiche 1,Nido di Formiche 1,
20301,Nido di Formiche 2,Nido di Formiche 2,
