Id,Name,EffectTypeName,Desc
1001,Abbattimento comune,Abbattimento,
1002,@1001,@1001,Ultimo colpo di Attacco di base
1003,@1001,@1001,
1004,Invincibilità comune,Invincibile,Non ci sono danni subiti.
1005,Buff di Protezione Resurrezione,@1004,Non ci sono danni subiti. Attaccare un nemico dissolverà il Buff invincibilità.
1011,Stordimento comune,Stordimento,Stordimento
10111,Impatto improvviso: Abbattimento,@1001,
10122,Spinta di potenza: Lentezza,Lentezza,Velocità -{1%}%
11211,Urto,Aumento Guadagni di Aggro,Guadagni di Aggro +50%
112124,Vendetta,Bersaglio bloccato (PC),Costretto ad attaccare
112125,@112124,Diminuzione Att.,Att. -{1}
112126,@112124,Bersaglio bloccato (PNG),
11213,Maestosità,"Maestosità: Amplificazione livello Minaccia, Amplificazione Dif. F./Dif. M., Diminuzione Elusione","Dif. +{2%}%, Aggro di tutti gli attacchi +{1%}%, Riflessione danno: {1%}%"
11221,Giudizio,Diminuzione della difesa,
11222,Tempesta di tuoni,Stordimento,@1011
112231,Spazzata ampia,Colpo multiplo: Aumento simultaneo Vel. Att. e Amplificazione Colpo,"Nemici colpiti in una sola volta +{1}, Vel. Att. +{2%}%"
11231,Nuvola di sabbia,Cecità,Livello di precisione -{1%}%
11232,Colpo alle spalle: Stordimento,@11222,@1011
112331,Fretta,Fretta: Att. Vel. Amplificazione,Vel. Att. +{1%}%
112332,@112331,Fretta: Amplificazione Elusione,Elusione +{1%}%
11242,Pioggia di frecce,Diminuzione Att. F.,Diminuzione Att.
11243,Snipe,"Snipe: Campo d’Attacco, Att., Aumento Precisione, Immobilità",Att.: {2%}%. Prec. +{3}. Aumenta Campo d’Attacco. Diminuisce Velocità.
11244,Occhio di Falco,"Occhio di Falco: Aumento Critico, Diminuzione Dif.",Liv. crit. +{1} e Danni +{2%}%
11251,Cavità di Molten,Danni nel tempo,Danni nel tempo
112531,Aumenta Mana,Boost Mana: Amplificazione PM massimi,"Uso PM +{1%}%, Danni Abilità +{2%}%"
11261,Punizione divina: Stordimento,@1001,
11262,Ripristino,Bollente,Guarigione nel tempo
12211,Tribunale,Bersaglio bloccato,Guadagni di Aggro +30%
12212,Grazia di Eva,Diminuzione Vel. Att.,Dimuisce Rigen. PS del 50%.
122131,Posa di Aegis,Posa di Aegis: Immunità ai danni temporanea,Immunità al danno
122132,@122131,Posa di Aegis: Aumento Velocità,Velocità +{1%}%
12221,Blaster sonica,Blaster sonica: Diminuzione velocità,Velocità -{1%}%
122231,Ritmo di combattimento,"Ritmo di combattimento: Att., Dif. Att.","Att. membri del gruppo +{1}, Dif. +{3}"
122241,Canzone del Cacciatore,Canzone del Cacciatore: Livello crit. del gruppo,Livello crit membri del gruppo +{1%}%
12231,Scheggia tripla,Diminuzione velocità,"Dif. -{1%}%, Vel. Att. -{3%}% e Velocità -{4%}%."
12232,Uragano della lama,@1011,@1011
12233,Passeggiata nelle Piane,"Passeggiata nelle Piane: Elisir Att., Amplificazione Velocità, Livello di assorbimento PS",Vel. Att.: {1%}%. Velocità +{2%}%. Livello di esaurimento PS: {3%}%.
12241,Colpo letale,Aumento Livello crit.,
12242,Doppio Colpo ampio,Doppio Colpo ampio: Elisir Att.,Dif. F. -{1%}%
122431,Occhio della mente,Occhio della mente: Grande Aumento Livello crit.,Livello crit +{1}
122441,Doppio Passo veloce,"Doppio Passo veloce: Grande aumento velocità, Leggero aumento Vel. Att.",Velocità +{1%}% e Vel. Att. +{2%}%
