MissionInfoId,TaskName,TaskDescription
3101,Unisciti a un Clan o creane uno,Unisciti a un Clan o creane uno {0} volta. ({1} / {2})
3102,Registrazione al clan,Registrati al Clan {0} volta/e. ({1} / {2})
3103,Negozio del Clan,Effettua {0} acquisti nel Negozio del Clan. ({1} / {2})
3104,Donazione al clan,Dona {0} Adena al Clan. ({1} / {2})
3105,Saluto del Clan,Saluta un membro del Clan {0} volta/e. ({1} / {2})
3201,Traguardo del Clan,Ottieni Ricompensa/e Traguardo del Clan {0} volta/e. ({1} / {2})
3202,@3102,@3102
3203,@3103,@3103
3204,@3104,Dona {0} Prova/e di sangue al clan. ({1} / {2})
3205,@3105,@3105
3301,@3201,@3201
3302,@3102,@3102
3303,@3103,@3103
3304,@3104,Dona {0} Pietrastella/Pietrestella rossa/e al Clan. ({1} / {2})
3305,@3105,@3105
3401,@3201,@3201
3402,@3102,@3102
3403,@3103,@3103
3404,@3104,@3104
3405,@3105,@3105
3501,@3201,@3201
3502,@3102,@3102
3503,@3103,@3103
3504,@3104,@3204
3505,@3105,@3105
3601,@3201,@3201
3602,@3102,@3102
3603,@3103,@3103
3604,@3104,@3304
3605,@3105,@3105
2101,Aumento di livello Equipaggiamento,Prova ad aumentare di livello l’equipaggiamento {0} volta/e ({1}/{2})
2102,Tentativo di potenziamento,Prova a potenziare l’equipaggiamento {0} volta/e. ({1}/{2})
2103,Effettua l’upgrade dei Cristalli dell’Anima,Effettua l’upgrade dei Cristalli dell’Anima {0} volta/e ({1}/{2})
2104,Completa il Tempio Guardiano,Completa il Tempio Guardiano {0} volta/e ({1}/{2})
2105,Estrazione Equipaggiamento,Prova a estrarre equipaggiamento {0} volta/e ({1}/{2})
2201,@2101,@2101
2202,@2102,@2102
2203,@2103,@2103
2204,@2104,@2104
2205,@2105,@2105
2301,@2101,@2101
2302,@2102,@2102
2303,@2103,@2103
2304,@2104,@2104
2305,@2105,@2105
2401,@2101,@2101
2402,@2102,@2102
2403,Combina Equipaggiamento,Prova a combinare equipaggiamento {0} volta/e ({1}/{2})
2404,@2104,@2104
2405,Modifica delle sottostatistiche,Cambia le sottostatistiche dell'equipaggiamento {0} volta/e ({1}/{2})
2501,@2101,@2101
2502,@2102,@2102
2503,@2403,@2403
2504,@2104,@2104
2505,@2405,@2405
2601,@2101,@2101
2602,@2102,@2102
2603,@2403,@2403
2604,@2104,@2104
2605,@2405,@2405
