Id,Nme,Desc
1,Basi della Missione,Sconfiggi {TaskCount} mostro/i.
2,Professionista Segreta Élite,Accedi alla Segreta Élite {TaskCount} volta/e.
4,Rifornisci Equipaggiamento,Acquisisci {TaskCount} equipaggiamento/i.
5,Raccolta Bottino,Acquisisci {TaskCount} Essenza/e di Mostro.
7,Sconfiggi il mostro della Seg. Élite!,Sconfiggi {TaskCount} mostro/i delle Rovine Elfiche 1.
8,@1,@1
9,L'importanza della Gestione del Mana,Usa {TaskCount} o più Pozioni PM.
10,Raccogli Cristalli dell’Anima!,Acquisisci {TaskCount} Cristallo/i dell’Anima.
11,Esperto di combo!,Esegui {TaskCount} combo.
13,@1,@1
14,Rifornimento di beni consumabili!,Acquista un oggetto dal Negozio comune per {TaskCount} volta/e.
15,È importante gestire la condizione,Usa {TaskCount} o più Pozioni PS.
16,@11,@11
18,Raffica vittoriosa spericolata,Ottieni {TaskCount} vittoria/e in duello consecutiva/e.
19,@1,@1
20,Attivazione della Pergamena della Quest!,Completa una Pergamena della Quest di grado A per {TaskCount} volta/e.
21,Upgrade Potere di combattimento,Usa {TaskCount} o più Colpi d’Anima.
22,@11,@11
23,Crescita inarrestabile!,Aumenta di livello l’equipaggiamento {TaskCount} volta/e.
24,Rinforza le Abilità!,Ottieni {TaskCount} PA.
25,Superpotere!,Infliggi {TaskCount} danni in un solo colpo.
26,@18,@18
28,@1,@1
29,@11,@11
30,@1,@1
31,@2,@2
33,@4,@4
34,@5,@5
36,@7,Sconfiggi {TaskCount} mostro/i delle Rovine Elfiche 2.
37,@1,@1
38,@9,@9
39,@10,@10
40,@11,@11
42,@1,@1
43,@14,@14
44,@15,@15
45,@11,@11
47,@18,@18
48,@1,@1
49,@20,@20
50,@21,@21
51,@11,@11
52,@23,@23
53,@24,@24
54,@25,@25
55,@18,@18
57,@1,@1
58,@11,@11
59,@1,@1
60,@2,@2
62,@4,@4
63,@5,@5
65,@7,Sconfiggi {TaskCount} mostro/i del Nido di Formiche 1.
66,@1,@1
67,@9,@9
68,@10,@10
69,@11,@11
71,@1,@1
72,@14,@14
73,@15,@15
74,@11,@11
76,@18,@18
77,@1,@1
78,@20,@20
79,@21,@21
80,@11,@11
81,@23,@23
82,@24,@24
83,@25,@25
84,@18,@18
85,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
86,@1,@1
88,@1,@1
89,@2,@2
91,@4,@4
92,@5,@5
94,@7,@65
95,@1,@1
96,@9,@9
97,@10,@10
98,@11,@11
100,@1,@1
101,@14,@14
102,@15,@15
103,@11,@11
105,@18,@18
106,@1,@1
107,@20,@20
108,@21,@21
109,@11,@11
110,@23,@23
111,@24,@24
112,@7,@65
113,@18,@18
114,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
115,@1,@1
117,@1,@1
118,@2,@2
120,@4,@4
121,@5,@5
123,@7,Sconfiggi {TaskCount} mostro/i del Nido di Formiche 2.
124,@1,@1
125,@9,@9
126,@10,@10
127,@11,@11
129,@1,@1
130,@14,@14
131,@15,@15
132,@11,@11
134,@18,@18
135,@1,@1
136,@20,@20
137,@21,@21
138,@11,@11
139,@23,@23
140,@24,@24
141,@7,@123
142,@18,@18
143,Rifornimento dei Forzieri di Reliquie del Clan,Ottieni {TaskCount} Forziere/i di Reliquie del Clan.
144,@1,@1
146,@1,@1
147,@2,@2
149,@4,@4
150,@5,@5
151,Per il tuo Clan!,Acquisisci {TaskCount} Prova/e di Sangue.
152,Potenziamento della Cavalcatura!,Acquisisci {TaskCount} Equipaggiamento/i Cavalcatura.
153,@7,@123
154,@1,@1
155,@9,@9
156,@10,@10
157,@11,@11
