Id,Title,Name
19,,Sorgente del recupero
31,,Torre Ovest Squadra Rossa
32,,Torre Est Squadra Rossa
33,,Torre del Sacro Artefatto Squadra rossa
34,,Torre Ovest Squadra Blu
35,,Torre Est Squadra Blu
36,,Torre del Sacro Artefatto Squadra blu
20,,@19
37,,@31
38,,@32
39,,@33
40,,@34
41,,@35
42,,@36
43,,Modifiche cambio di classe
44,,@43
45,,Altare del Vento
46,,Altare della Terra
101,,Accampamento centrale
102,,Accampamento Est
103,,Accampamento Ovest
104,,Guardiola centrale
105,,Guardiola Est
106,,Guardiola Ovest
107,,Torre Difensiva di sinistra - Porta Principale
108,,Torre Difensiva di destra - Porta Principale
109,,Torre Difensiva di sinistra - Stanza di Udienza
110,,Torre Difensiva di destra - Stanza di Udienza
115,,Torre Difensiva di sinistra - Porta del Fuoco
116,,Torre Difensiva di destra - Porta del Fuoco
117,,Torre Difensiva di sinistra - Porta dell’Acqua
118,,Torre Difensiva di destra - Porta dell’Acqua
119,,Torre di sinistra - Stanza del Sacro Artefatto
120,,Torre di destra - Stanza del Sacro Artefatto
121,,Torre di sinistra - Sacro Artefatto
122,,Torre di destra - Sacro Artefatto
123,,Trappola sinistra
124,,Trappola destra
201,Custode delle Quest,Lloyd
202,Custode delle Reliquie,Feldheim
203,Custode delle Pozioni,Jackie
204,Custode dei Banchetti,Emma
205,Mercante Generale,Pan
211,,"Cristallo 
dell’Unità"
212,,Camino
301,,Ratel Vigoroso Verde
302,,Ratel Vigoroso Argento
303,,Ratel Vigoroso d’Oro
304,,Mandragora
305,,Sentinella del Giardino
401,계정 창고지기,Nigel
402,Mercenari Silverlight,Aymel
403,@205,@205
404,,Mercenario Silverlight
405,,마그나딘 경비병
406,Mastro Fabbro,Mobart
407,,Spettatore
408,,@407
409,Mercante della Pergamena,Wayless
410,,Stregone novizio
411,Bibliotecario,Farjane
412,,Lettore
413,,@412
414,Fornaio,Bremen
415,,Figlio del fornaio
416,,Bambino affamato
417,,Bambino annoiato
418,Arma del mercante,Pondiac
419,,Avventuriero
420,,@419
421,Mercante del Pesce,Tegma
422,,Pescatore
423,,Stregone
424,Custode di animali,Cuvi
425,,Giovane nobildonna
426,,Bambino curioso
427,,Romi
428,,Julie
429,,Signore anziano
430,,Bambino felice
431,,Ragazzino
432,,Cucciolo di Orso nero
433,,Esploratore
434,Mercante del barbecue,Maduka
435,,Leah
436,,Mio
437,,Funzionario mercenario
438,,Lavoratore
439,Menestrello,Asiren
440,Teleporter,@409
441,Leader dei Mercenari Silverlight,Hardin
442,@402,Theodore
443,Leader del Caravan ambulante,Felicia
444,@402,Russel
445,Guida,Chau
446,@445,Lyncia
447,@445,Seikan
448,Custode del Deposito personale,Gattuso
449,미용사,Katrina
450,Portatore di allegria,Lena
451,Busta rossa,Ada
452,Teleporter,Agatha
453,@452,Catherine
454,@452,Grace
455,@452,Hanna
456,Custode del Clan,Hubert
457,Custode della Fortezza,James
458,Custode dell’Assedio del Castello,Harry
459,I Custodi della Sala del Clan,Jasmine
460,Banditore d’asta del Clan,Courtney
461,Banditore d’Asta,Dario
462,@401,Dixie
463,캐릭터 창고지기,Edith
464,Custode del Campo di Battaglia,Dustin
550,,Mercenario Silverlight
551,,@550
552,,Ufficiale Mercenario Silverlight
553,,Studioso Mercenario Silverlight
554,,@553
555,,@553
556,,Membro del Caravan
557,,@556
558,,@556
559,,Inviato di Gludio
560,,@559
561,,@559
562,,Inviato di Dion
