Id,GipText
1,C’è un totale di <FontBlue>6 gradi di equipaggiamento</>.
2,"Puoi aprire <FontBlue>1 Scatola evocazione Equipaggiamento normale 3 volte al giorno, gratuitamente.</>"
3,Tocca <FontBlue>Quest automatica</> per <FontBlue>dare la caccia automaticamente</> ai mostri.
4,Tocca la Mappa del mondo per <FontBlue>spostarti</> istantaneamente al <FontBlue>luogo desiderato</>.
5,Tocca un <FontBlue>PNG o un mostro</> sulla mappa del mondo per spostarti nel luogo desiderato.
6,Puoi regolare la <FontBlue>frequenza d’uso delle pozioni</> in <FontBlue>Impostazioni > Battaglia</>.
7,Puoi <FontBlue>personalizzare le abilità come desideri</> in base alla tua <FontBlue>arma</>.
8,Il numero di <FontBlue>slot abilità</> aumenta fino a un <FontBlue>massimo di 5</> se impari un’<FontBlue>abilità rara</>.
9,"Quando <FontBlue>combini</> l’equipaggiamento, ne vengono <FontBlue>mantenuti</> <FontBlue>il tipo e la classe</>."
10,La <FontBlue>Quest di passaggio</> di classe diventerà disponibile al raggiungimento del <FontBlue>livello 31</>.
11,<FontBlue>Aumenta drasticamente le statistiche</> grazie all’<FontBlue>Incisione delle Rune</>.
12,Puoi imprimere le Rune a prescindere dall’ordine delle pagine.
13,Puoi aumentare il livello della Runa principale dopo aver aumentato le Rune circostanti allo stesso livello.
14,Puoi ottenere un bonus nelle statistiche in base al <FontBlue>livello totale del tuo personaggio</>.
15,I <FontBlue>Cristalli dell’Anima</> si possono equipaggiare <FontBlue>negli slot dello stesso colore</>.
16,È possibile espandere <FontBlue>lo Slot di Equipaggiamento</> in base al <FontBlue>grado dell’oggetto</>.
17,Usa il <FontBlue>Codex dei Mostri</> per far salire diversi <FontBlue>Livelli delle abilità del personaggio</>.
18,<FontBlue>Ogni giorno</> potrai entrare in <FontBlue>1 Segreta giornaliera gratuitamente</>.
19,Aumenta il tuo <FontBlue>grado d’onore</> nell’<FontBlue>arena</> per acquisire <FontBlue>statistiche aggiuntive</>.
20,Ricevi <FontBlue>Punti Onore giornalieri</> e <FontBlue>Ricompense Grado</> nell’<FontBlue>Arena</>.
21,Prendi un <FontBlue>Ratele Vigoroso</> che appare nella <FontBlue>Segreta di Estrazione</> per essere <FontBlue>benedetto</> e ottenere una <FontBlue>velocità di estrazione aumentata</>.
22,Prendi una <FontBlue>Mandragora</> nella Segreta di Estrazione per acquisire <FontBlue>Estratti di Elisir</>.
23,Usa gli <FontBlue>Elisir</> fatti di erbe ed estratti per <FontBlue>aumentare permanentemente</> le tue <FontBlue>statistiche</>.
24,<FontBlue>Sali più in alto</> nella Torre dell’Insolenza per acquisire altri <FontBlue>Frammenti di Runa</>.
25,Ricevi una <FontBlue>Ricompensa speciale</> ogni <FontBlue>5 piani</> nella <FontBlue>Torre dell’Insolenza</>.
26,Puoi <FontBlue>entrare</> nella Torre dell’Insolenza <FontBlue>gratuitamente per 3 volte ogni giorno</>.
27,"Durante il <FontBlue>Tempo bonus</> di una Segreta Élite, ottieni <FontBlue>Esp. e un aumento del Rilascio oggetti</>."
28,Le Segrete Élite sono <FontBlue>aree dove si ricevono le sanzioni GK</>.
29,Conquista fortezze negli Assedi della Fortezza per ricevere ricompense.
31,Caccia i boss del campo per acquisire ricompense speciali.
35,Solo i <FontBlue>clan di Liv. 4</> o superiore possono partecipare agli <FontBlue>Assedi della Fortezza</>.
