Id,TitleName
1001,Regnante di Gludio
1002,Regnante di Dion
1003,Regnante di Giran
1004,Regnante di Oren
2001,Maestro della Strada di Gludin
2002,Maestro delle Piane di Gludio
2003,Maestro del Maniero Windawood
2004,Maestro della Terra Incolta
2005,Maestro delle Piane di Dion
2006,Maestro delle Terre Paludose di Cruma
2007,Maestro della Sommità della Dissonanza
2008,Maestro dei Santi Urlanti
2009,Maestro del Dominio di Giran
2010,Maestro delle Rive della Nebbia Mortale
2011,Maestro dell’Isola del Diavolo
2012,Maestro della Necropoli Infestata
2013,Maestro della Valle del Drago
2014,Maestro dell’Altopiano del Vento nordico
2015,Maestro delle Terre Eterne
2016,Maestro della Torre d’Avorio
2017,Maestro delle Rovine Dolmen
2018,Maestro delle Terre Distrutte
2019,Maestro dell’Obelisco della Vittoria
2020,Maestro dell’Accampamento fortificato
2021,Maestro dei Boschi Mormoranti
2022,Maestro della Foresta infestata
2023,Maestro della Postazione di perlustrazione ovest
2024,Maestro delle Rovine Elfiche
