Id,ReplaceString1,Name,ReplaceString2,QuestDesc1,QuestDesc2
1,Isola Parlante Est,{ReplaceString1} - Ricognizione,Isola Parlante Est,Uccidi {ReplaceString2} mostro/i,Sconfiggi {TaskCount} mostro/i sull’Isola Parlante Est.
2,Isola Parlante Ovest,@1,Isola Parlante Ovest,@1,Sconfiggi {TaskCount} mostro/i sull’Isola Parlante Ovest.
3,Strada Gludin,@1,Strada Gludin,@1,Sconfiggi {TaskCount} mostro/i nella Strada di Gludin.
4,Piane di Gludio,@1,Piane di Gludio,@1,Sconfiggi {TaskCount} mostro/i nelle Piane di Gludio.
5,Maniero Windawood,@1,Maniero Windawood,@1,Sconfiggi {TaskCount} mostro/i nel Maniero Windawood.
6,Terra Incolta,@1,Terra Incolta,@1,Sconfiggi {TaskCount} mostro/i nella Terra Incolta.
7,Piane di Dion,@1,Piane di Dion,@1,Sconfiggi {TaskCount} mostro/i nelle Piane di Dion.
8,Palude di Cruma,@1,Palude di Cruma,@1,Sconfiggi {TaskCount} mostro/i nella Palude di Cruma.
9,Sommità della Dissonanza,@1,Sommità della Dissonanza,@1,Sconfiggi {TaskCount} mostro/i nella Sommità della Dissonanza.
10,Santi Urlanti,@1,Santi Urlanti,@1,Sconfiggi {TaskCount} mostro/i ai Santi Urlanti.
11,Dominio di Giran,@1,Dominio di Giran,@1,Sconfiggi {TaskCount} mostro/i nel Dominio di Giran.
12,Rive della Nebbia Mortale,@1,Rive della Nebbia Mortale,@1,Sconfiggi {TaskCount} mostro/i nelle Rive della Nebbia Mortale.
13,Isola del Diavolo,@1,Isola del Diavolo,@1,Sconfiggi {TaskCount} mostro/i nell’Isola del Diavolo.
14,@13,@1,@13,@1,@13
15,Necropoli Infestata,@1,Necropoli Infestata,@1,Sconfiggi {TaskCount} mostro/i nella Necropoli Infestata.
16,@15,@1,@15,@1,@15
101,Rovine Elfiche 1,Completamento automatico {ReplaceString1},Rovine Elfiche 1,@1,Sconfiggi {TaskCount} mostro/i nelle Rovine Elfiche 1.
102,Rovine Elfiche 2,@101,Rovine Elfiche 2,@1,Sconfiggi {TaskCount} mostro/i nelle Rovine Elfiche 2.
103,Nido di Formiche 1,@101,Nido di Formiche 1,@1,Sconfiggi {TaskCount} mostro/i nel Nido di Formiche 1.
104,Nido di Formiche 2,@101,Nido di Formiche 2,@1,Sconfiggi {TaskCount} mostro/i nel Nido di Formiche 2.
105,Torre di Cruma 2,@101,Torre di Cruma 2,@1,Sconfiggi {TaskCount} mostro/i nella Torre di Cruma 2.
106,Torre di Cruma 3,@101,Torre di Cruma 3,@1,Sconfiggi {TaskCount} mostro/i nella Torre di Cruma 3.
107,Torre d’Avorio 1,@101,Torre d’Avorio 1,@1,Sconfiggi {TaskCount} mostro/i nella Torre d’Avorio 1° piano - Catacomba.
108,@107,@101,@107,@1,@107
109,Torre d’Avorio 2,@101,Torre d’Avorio 2,@1,Sconfiggi {TaskCount} mostro/i nella Torre d’Avorio 2° piano - Catacomba
110,@109,@101,@109,@1,@109
111,Completa Torre d’Avorio 3,@101,Completa Torre d’Avorio 3,@1,Sconfiggi {TaskCount} mostro/i nella Torre d’Avorio 3° piano - Catacomba.
112,@111,@101,@111,@1,@111
201,Santuario dei Ricordi Perduti,{ReplaceString1} - Esplorazione,Segreta giornaliera,@1,Sconfiggi {TaskCount} mostro/i nella Segreta giornaliera.
202,@201,@201,@201,@1,@201
203,Segreta di Estrazione,@201,Segreta di Estrazione,@1,Sconfiggi {TaskCount} mostro/i nella Segreta di Estrazione.
204,@203,@201,@203,@1,@203
205,Tempio dell’Acqua,Proteggi {ReplaceString1},Tempio Guardiano,@1,Sconfiggi {TaskCount} mostro/i nel Tempio Guardiano.
206,@205,@205,@205,@1,@205
207,Cassaforte di Kresous,{ReplaceString1} - Scossa,Segreta di Adena,@1,Sconfiggi {TaskCount} mostro/i nella Segreta di Adena.
208,@207,@207,@207,@1,@207
209,Spaccatura dell’Oltretomba,{ReplaceString1} - Conquista,Segreta Esp.,@1,Sconfiggi {TaskCount} mostro/i nella Segreta Esp.
210,@209,@209,@209,@1,@209
211,Ingresso sigillato,@201,Cerchio di Evocazione,@1,Sconfiggi {TaskCount} mostro/i nel Cerchio di Evocazione.
212,@211,@201,@211,@1,@211
301,Pietra di Evocazione Malvagia (Rara),Purifica {ReplaceString1},Pietra di evocazione Mostro Raro,@1,Sconfiggi {TaskCount} mostro/i nella Segreta usando una Pietra di Evocazione Mostro Raro.
302,@301,@301,@301,@1,@301
303,Pietra di Evocazione Malvagia (Boss),@301,Pietra di Evocazione Boss,@1,Sconfiggi {TaskCount} mostro/i nella Segreta usando una Pietra di Evocazione Boss.
351,,Macellaio,,Uccisioni,GK un altro giocatore {TaskCount} volta/e.
352,,@351,,@351,@351
