Id,Adventure,Difficulty
1,Tutto,Tutto
2,Segreta Élite,Rovine Elfiche 1
3,@2,Rovine Elfiche 2
4,@2,Nido di Formiche 1
5,@2,Nido di Formiche 2
6,@2,Torre di Cruma 2
7,@2,Torre di Cruma 3
8,@2,Torre d’Avorio 1
9,@2,Torre d’Avorio 2
10,Segreta di Estrazione,Segreta di Estrazione
11,Tempio Guardiano,Facile
12,@11,Normale
13,@11,Difficile
14,@11,Molto difficile
15,Cerchio di Evocazione,@11
16,@15,@12
17,@15,@13
101,Incursione Boss,Pastore dello Spirito
102,@101,Zodiac
103,@101,Kyrios
104,@101,Barba d’argento
105,@101,Vapar
106,@101,Kazir
107,@101,Flagon
108,@101,Sina
109,@101,Amadeus
111,@101,Stenoa
112,@101,Marsha
118,@2,Torre d’Avorio 3
124,Spaccatura temporale,Altare della Follia - Facile
125,@124,Altare della Follia - Normale
129,@124,Camera della Contessa di Sangue - Facile
130,@124,Camera della Contessa di Sangue - Normale
140,Segreta Mostro Raro,Isola Parlante
141,@140,Gludio
142,@140,Dion
143,@140,Giran
144,@140,Oren
145,Segreta di Pietra di Evocazione Boss,@141
146,@145,@142
147,@145,@143
148,@145,@144
