Id,Name,ControlText
1202,Rovine Elfiche 2,
1203,@1202,
1204,@1202,
1205,@1202,
1206,Nido di Formiche 2,
1218,@1206,
1207,Freccia direzionale della Torre d’Avorio 1° piano,
1208,Freccia direzionale della Torre d’Avorio 3° piano,
1209,Ostacolo della Torre d’Avorio 1° piano,
1210,Ostacolo della Torre d’Avorio 3° piano,
1211,Freccia Guida - piano superiore - Foresta dei Segreti,
1212,Freccia Guida 1 - piano inferiore - Foresta dei Segreti,
1214,Blocco Gadget del Macello della Foresta dei Segreti,
1215,@1214,
1216,Santuario del Gran Kain: Laboratorio della Torre d’Avorio,Assorbimento energia del Gran Kain in corso...
1217,Santuario del Gran Kain: Macello della Foresta dei Segreti,@1216
1219,Freccia Torre di Cruma 2° piano,
1220,Freccia Torre di Cruma 3° piano,
1221,Nave Fantasma di Zaken,
1222,@1221,
211010101,Evento esclusivo Blocco Gadget Torre di Cruma,
211010201,Evento esclusivo Uscita Gadget Torre di Cruma,Sistema di controllo in uso
82601,Evento esclusivo Gadget Ingresso della Torre di Cruma (Quest),@211010201
82701,Evento esclusivo Gadget Ingresso della Torre di Cruma,@211010201
211010301,Primo fascicolo sulla ricerca del Gigante,Controllo dei fascicoli sulla ricerca del Gigante...
211010401,Secondo fascicolo sulla ricerca del Gigante,@211010301
211010501,Terzo fascicolo sulla ricerca del Gigante,@211010301
211010601,Quarto fascicolo sulla ricerca del Gigante,@211010301
211010701,Scatola del Gigante,Recupero della scatola del Gigante...
211010801,Scatola mostro del Gigante vuota,Nessuna scatola individuata.
211010901,Hardin caduto,Svegliando Hardin...
211011001,Piano dell’Essenza,
211011101,Dispositivo per la rimozione della barriera 1 - Attivazione,Armeggiando con il dispositivo...
211011201,Dispositivo per la rimozione della barriera 1 - Disattivazione,
211011301,Dispositivo per la rimozione della barriera 2 - Attivazione,@211011101
211011401,Dispositivo per la rimozione della barriera 2 - Disattivazione,
211011501,Quinto fascicolo sulla ricerca del Gigante,@211010301
211011601,Sesto fascicolo sulla ricerca del Gigante,@211010301
211011701,Settimo fascicolo sulla ricerca del Gigante,@211010301
211011801,Ottavo fascicolo sulla ricerca del Gigante,@211010301
1958,Muro del Santuario,
1959,@1958,
1960,@1958,
1961,@1958,
1962,@1958,
1963,@1958,
1964,@1958,
1965,@1958,
1970,@1958,
1971,@1958,
1982,@1958,
2014,@1958,
2015,@1958,
2016,@1958,
2017,@1958,
2021,@1958,
2022,@1958,
2023,@1958,
2027,@1958,
2029,@1958,
2038,Erba Rossa,Estrazione Erba rossa...
2039,Erba Blu,Estrazione Erba blu...
2040,Erba Viola,Estrazione Erba viola...
2041,Erba Gialla,Estrazione Erba gialla...
2042,Erba ignota,Estrazione Erba ignota...
2043,Grossa Erba rossa,Estrazione grossa Erba rossa...
2044,Grossa Erba blu,Estrazione grossa Erba blu...
2045,Grossa Erba viola,Estrazione grossa Erba viola...
2046,Grossa Erba gialla,Estrazione grossa Erba gialla...
2047,Erba ignota,Estrazione Erba ignota...
2048,Aumento Att.,Leggero aumento Att.
2049,Aumento Vel. Att.,Leggero aumento Vel. Att.
2050,Aumento Dif.,Leggero aumento Dif.
2051,Aumento velocità,Leggero aumento Velocità
2052,@2048,@2048
2054,@2049,@2049
2055,@2050,@2050
2057,@2051,@2051
2058,Aumento PS massimi,Leggero aumento PS massimi
2059,Aumento PM Massimi,Leggero aumento PM Massimi
2060,Cristallo di Aegis,
2061,@2060,
2062,@2060,
2063,Muro Invisibile,
2064,@2063,
2065,@2063,
2066,@2063,
2067,Ponte,
2068,@2067,
2069,Muro della Cassaforte di Kresous,
2070,@2063,
2071,Aumenta Danni Abilità,Aumenta leggermente Danni Abilità
2072,Aura Danno corpo a corpo,Acquisisci Aura Danno corpo a corpo
2073,Barriera di Cristallo d’Acqua,Immunità al Danno del Cristallo d’Acqua
2074,Gruppo della Furia,Aumenta Att. e Dif. del gruppo
2075,@2048,@2048
2076,@2049,@2049
2077,@2048,@2048
2078,@2049,@2049
2080,@2051,@2051
3001,Recupero PS,Recupero PS
3002,@2051,Aumento velocità
3101,Statua di Freyja,Intaglio Statua di Freyja in corso...
3102,@3001,@3001
3103,@3001,@3001
3104,@2051,@3002
3105,@2051,@3002
3106,Fregio di Freyja,
3107,@3106,
3501,Santuario Arena degli scontri,Assorbimento energia dal santuario...
7001,Freccia direzionale d’istruzione: Davanti al portone del castello,
7002,Freccia direzionale d’istruzione: All’interno del castello,
7003,Freccia direzionale d’istruzione: Punto di partenza,
7010,Blocco Gadget: Primo,
7011,Blocco Gadget: 1° scorta/battaglia,
7012,Blocco Gadget: 2° scorta/battaglia,
7013,Blocco Gadget: Gamba,
7014,@7013,
7015,@7013,
7016,@7013,
7017,Blocco Gadget: Marlow,
7018,@7017,
7019,Blocco Gadget: Battaglia della Porta,
7020,@7019,
7021,Blocco Gadget: Torre di Controllo,
7022,@7021,
30020101,Blocco Segreta del Clan: Rovine Elfiche,
30020301,Blocco Segreta del Clan: Nido di Formiche,
30020302,@30020301,
30020501,Segreta del clan: Supporto a Essenza di Cruma,
30020502,Blocco Segreta del Clan: Essenza di Cruma,
10101,Frammento di Dolmen,Raccolta frammento...
10102,@10101,@10101
10103,@10101,@10101
10104,@10101,@10101
10105,@10101,@10101
10106,@10101,@10101
10107,@10101,@10101
10108,@10101,@10101
10109,@10101,@10101
10110,@10101,@10101
10111,@10101,@10101
10112,@10101,@10101
10113,@10101,@10101
10114,@10101,@10101
10115,@10101,@10101
10116,@10101,@10101
10117,@10101,@10101
10118,@10101,@10101
10119,@10101,@10101
10120,@10101,@10101
10121,@10101,@10101
10122,@10101,@10101
10123,@10101,@10101
10124,@10101,@10101
10125,@10101,@10101
10126,@10101,@10101
10127,@10101,@10101
10128,@10101,@10101
10129,@10101,@10101
10130,@10101,@10101
10131,@10101,@10101
10132,@10101,@10101
10133,@10101,@10101
10134,@10101,@10101
10135,@10101,@10101
10201,Raggio di sole,
10202,@10201,
10301,Fornace,Raccolta esca per pipistrelli...
10401,Erba Gatta,Raccolta Erba Gatta...
10402,@10401,@10401
10403,@10401,@10401
10404,@10401,@10401
10405,@10401,@10401
10406,@10401,@10401
10407,@10401,@10401
10408,@10401,@10401
10409,@10401,@10401
10410,@10401,@10401
10411,@10401,@10401
10412,@10401,@10401
10413,@10401,@10401
10414,@10401,@10401
10415,@10401,@10401
10416,@10401,@10401
10417,@10401,@10401
10418,@10401,@10401
10419,@10401,@10401
10420,@10401,@10401
10421,@10401,@10401
10422,@10401,@10401
10423,@10401,@10401
10501,Scatola senza reliquia,Indagine sulla scatola...
10601,Mantello Ignoto,Indagine sul mantello...
10701,Borsa di Feldheim,Indagine sulla borsa...
10901,Archeologi in trappola,Sblocco gabbia...
12401,@10901,@10901
12501,@10901,@10901
11101,Sbarre di ferro,
11102,@11101,
11103,@11101,
11104,@11101,
11201,Legno da costruzione,Estrazione legna...
11202,@11201,@11201
11203,@11201,@11201
11204,@11201,@11201
11205,@11201,@11201
11206,@11201,@11201
11207,@11201,@11201
11208,@11201,@11201
11209,@11201,@11201
11210,@11201,@11201
11211,@11201,@11201
11212,@11201,@11201
11301,Abitante in trappola,@10901
12601,@11301,@10901
12701,@11301,@10901
11401,Pietra di contea magica,Pietra di contea in rovina...
11901,Diadema elfico,Recupero del Diadema elfico...
12001,Pietra Teletrasporto,Pietra Teletrasporto in uso...
12101,Oggetti per rifornimento,Recupero dei rifornimenti...
12301,@11101,
12302,@11101,
12303,@11101,
12304,@11101,
12305,@11101,
12801,Candidatura per i Ranger di Sangue,Candidatura per i Ranger di Sangue in corso...
12901,Scatola Armatura,Recupero dei rifornimenti armatura...
13001,Barile maleodorante,Fare leva sul coperchio...
13101,Prigione vuota,
13102,@13101,
13103,@13101,
13201,@13101,
13301,@13101,
13401,@13101,
13501,Muro Invisibile (per uso in Atto 5),
13502,@13501,
13601,Gadget della Corona in Atto 5,
13701,Gadget del Capitano Istruttore in Atto 5,
19401,Gadget blocco strada,
19501,@19401,
19502,@19401,
19503,@19401,
19504,@19401,
19601,Dispositivo di purificazione,Dando il via alla purificazione...
19701,@12001,@12001
19801,@19601,@19601
19901,@12001,@12001
20101,Borsa abbandonata abbadonata,Indagine sulla borsa abbandonata...
20102,@20101,@20101
20103,@20101,@20101
20104,@20101,@20101
20201,Il fuoco di Brazier,Accensione fuoco...
20301,Mantello Nefasto,@20201
20401,@10201,
20402,@10201,
20501,Legna accatastata,Controllo legna...
21901,@20501,@20501
22001,@20501,@20501
20601,Scatola sospetta,Indagine su scatola...
20901,Effetto Brace,
20902,@20901,
20903,@20901,
20904,@20901,
20905,Fuoco,
20906,@20905,
20907,@20905,
20908,@20905,
20909,@20905,
20910,@20905,
20911,@20905,
20912,@20905,
20913,@20905,
20914,@20905,
20916,@20905,
20917,@20905,
20918,@20905,
20919,@20905,
20920,@20905,
20921,@20905,
21001,Pietra di Evocazione malvagia,Disattivazione Pietra di evocazione...
21101,@21001,@21001
21201,Fiore Elfico,Estrazione Fiore Elfico...
21202,@21201,@21201
21203,@21201,@21201
21204,@21201,@21201
21205,@21201,@21201
21206,@21201,@21201
21207,@21201,@21201
21208,@21201,@21201
21209,@21201,@21201
21210,@21201,@21201
21301,Prigione dell’Archeologo,@10901
21401,@21301,@10901
21501,@21301,@10901
21801,Cadavere della Guardia,Cremazione del cadavere...
21802,@21801,@21801
21803,@21801,@21801
21804,@21801,@21801
21805,@21801,@21801
21806,@21801,@21801
21807,@21801,@21801
21808,@21801,@21801
21809,@21801,@21801
21810,@21801,@21801
29401,@11101,
29402,@11101,
29403,@11101,
29404,@11101,
29501,@11101,
29502,@11101,
29503,@11101,
29504,@11101,
