Id,Name,Description,EffectDescription,SkillDialogue
1101,Human Sword Combo 1,A basic attack that uses a sword and shield.,,
1102,Human Sword Combo 2,@1101,,
1103,Human Sword Combo 3,@1101,,
1104,Human Sword Combo 4,@1101,,
1105,Human Sword Combo 5,@1101,,
1106,Human Sword Combo 6,@1101,,
1201,Elf Sword Combo 1,@1101,,
1202,Elf Sword Combo 2,@1101,,
1203,Elf Sword Combo 3,@1101,,
1204,Elf Sword Combo 4,@1101,,
1205,Elf Sword Combo 5,@1101,,
1206,Elf Sword Combo 6,@1101,,
1301,Dark Elf Sword Combo 1,@1101,,
1302,Dark Elf Sword Combo 2,@1101,,
1303,Dark Elf Sword Combo 3,@1101,,
1304,Dark Elf Sword Combo 4,@1101,,
1305,Dark Elf Sword Combo 5,@1101,,
1306,Dark Elf Sword Combo 6,@1101,,
1401,Dwarf Sword Combo 1,@1101,,
1402,Dwarf Sword Combo 2,@1101,,
1403,Dwarf Sword Combo 3,@1101,,
1404,Dwarf Sword Combo 4,@1101,,
1405,Dwarf Sword Combo 5,@1101,,
1406,Dwarf Sword Combo 6,@1101,,
2101,Human Spear Combo 1,A basic attack that uses a spear.,,
2102,Human Spear Combo 2,@2101,,
2103,Human Spear Combo 3,@2101,,
2104,Human Spear Combo 4,@2101,,
2105,Human Spear Combo 5,@2101,,
2106,Human Spear Combo 6,@2101,,
2201,Elf Spear Combo 1,@2101,,
2202,Elf Spear Combo 2,@2101,,
2203,Elf Spear Combo 3,@2101,,
2204,Elf Spear Combo 4,@2101,,
2205,Elf Spear Combo 5,@2101,,
2206,Elf Spear Combo 6,@2101,,
2301,Dark Elf Spear Combo 1,@2101,,
2302,Dark Elf Spear Combo 2,@2101,,
2303,Dark Elf Spear Combo 3,@2101,,
2304,Dark Elf Spear Combo 4,@2101,,
2305,Dark Elf Spear Combo 5,@2101,,
2306,Dark Elf Spear Combo 6,@2101,,
2401,Dwarf Spear Combo 1,@2101,,
2402,Dwarf Spear Combo 2,@2101,,
2403,Dwarf Spear Combo 3,@2101,,
2404,Dwarf Spear Combo 4,@2101,,
2405,Dwarf Spear Combo 5,@2101,,
2406,Dwarf Spear Combo 6,@2101,,
3101,Human Dual Swords Combo 1,A basic attack that uses dual swords.,,
3102,Human Dual Swords Combo 2,@3101,,
3103,Human Dual Swords Combo 3,@3101,,
3104,Human Dual Swords Combo 4,@3101,,
3105,Human Dual Swords Combo 5,@3101,,
3106,Human Dual Swords Combo 6,@3101,,
3107,Human Dual Swords Combo 7,@3101,,
3108,Human Dual Swords Combo 8,@3101,,
3201,Elf Dual Swords Combo 1,@3101,,
3202,Elf Dual Swords Combo 2,@3101,,
3203,Elf Dual Swords Combo 3,@3101,,
3204,Elf Dual Swords Combo 4,@3101,,
3205,Elf Dual Swords Combo 5,@3101,,
3206,Elf Dual Swords Combo 6,@3101,,
3207,Elf Dual Swords Combo 7,@3101,,
3208,Elf Dual Swords Combo 8,@3101,,
3301,Dark Elf Dual Swords Combo 1,@3101,,
3302,Dark Elf Dual Swords Combo 2,@3101,,
