Id,Type,WorldMove,ActivateType,ActivateValue,AccountLinked,BpName,ControlPath,BpName2,ControlPath2,QuestPanelControlBlock,ItemRecommendPopup
1,0,1,0,,0,,,,,1,
2,0,1,10,1,0,,,,,0,
3,0,1,10,3,0,,,,,0,
4,1,0,4,1001,0,,,,,0,
6,1,0,4,1002,0,,,,,0,
11,1,1,5,,0,,,,,0,
12,1,1,5,,0,,,,,0,
13,1,0,5,,0,,,,,0,
14,1,1,5,,0,,,,,0,
15,1,1,5,,0,,,,,0,1
16,1,1,5,,0,,,,,0,
17,1,1,5,,0,,,,,0,
18,1,1,5,,0,,,,,0,
19,1,1,5,,0,,,,,0,
20,1,1,1,14,0,BP_GuildEntranceUI,,,,0,
21,1,1,5,,0,,,,,0,
22,1,1,5,,0,,,,,0,
23,1,1,5,,0,,,,,0,
24,1,1,5,,0,,,,,0,
25,1,1,1,17,0,BP_EquipmentEnhancementUI,CheckBoxUpgrade,,,0,
26,1,1,1,13,0,BP_EquipmentEnhancementUI,CheckBoxEnchant,,,0,
27,1,1,5,,0,,,,,0,
28,1,1,5,,0,,,,,0,
29,1,1,5,,0,,,,,0,
30,1,1,5,,0,,,,,0,
31,1,1,4,33,0,,,,,0,
32,1,1,5,,0,,,,,0,
101,1,1,1,,0,BP_FriendUI,,,,0,
102,1,1,1,,0,BP_PartyMenuUI,,,,0,
104,1,1,1,,1,BP_AuctionHouseUI,,,,0,
112,1,1,1,19,0,BP_TotalQuestMenuUI,CheckBoxDailyQuest,,,0,
113,1,1,1,20,0,BP_TotalQuestMenuUI,CheckBoxWeeklyQuest,,,0,
114,1,1,8,1,0,BP_MainMenuUI,,,,0,
115,1,1,6,20,0,BP_MainMenuUI,,,,0,
116,1,1,8,2,0,BP_MainMenuUI,,,,0,
117,1,1,1,,0,BP_SelectGuildDungeonUI,,,,0,
118,1,1,1,,0,BP_TotalQuestMenuUI,,,,0,
119,1,1,1,,0,BP_EquipmentEnhancementUI,CanvasPanelURCrafting,,,0,
201,1,1,2,31,0,BP_ClassTransferQuestUI,,,,0,
202,1,1,5,,0,,,,,0,
203,1,1,5,,0,,,,,0,
205,1,1,5,,0,,,,,0,
207,1,1,1,,0,BP_CapeUI,,,,0,
301,1,1,9,,0,,,,,0,
302,1,1,1,27,0,BP_MainMenuUI,ButtonMonsterBook,,,0,
