UID,GroupID,RewardItemID,RewardItemAmount,RewardRatio,WishitemUI,EventItemPeriodId
101,10001,490066,1,168,,0
102,10001,490066,1,168,,0
103,10001,490066,1,168,,0
104,10001,490066,1,168,,0
105,10001,490066,1,168,,0
106,10001,490066,1,168,,0
107,10001,490066,1,168,,0
108,10001,490066,1,168,,0
109,10001,490066,1,168,,0
110,10001,490066,1,168,,0
111,10001,490066,1,168,,0
112,10001,490066,1,168,,0
113,10001,490066,1,168,,0
114,10001,490066,1,168,,0
115,10001,490066,1,168,,0
116,10001,490066,1,168,,0
117,10001,490066,1,168,,0
118,10001,490066,1,168,,0
119,10001,490066,1,168,,0
120,10001,490066,1,21,,0
121,10001,490066,1,21,,0
122,10001,490066,1,21,,0
123,10001,410001,1,168,,0
124,10001,410001,1,168,,0
125,10001,410001,1,168,,0
126,10001,410001,1,168,,0
127,10001,410001,1,168,,0
128,10001,410001,1,21,,0
129,10001,410001,1,21,,0
130,10001,410002,1,168,,0
131,10001,410002,1,168,,0
132,10001,410002,1,168,,0
133,10001,410002,1,168,,0
134,10001,410002,1,168,,0
135,10001,410002,1,21,,0
136,10001,410002,1,21,,0
137,10001,410003,1,168,,0
138,10001,410003,1,168,,0
139,10001,410003,1,168,,0
140,10001,410003,1,168,,0
141,10001,410003,1,168,,0
142,10001,410003,1,21,,0
143,10001,410003,1,21,,0
144,10001,510001,1,168,,0
145,10001,510002,1,168,,0
146,10001,510003,1,168,,0
147,10001,410011,1,168,,0
148,10001,410012,1,168,,0
149,10001,410013,1,168,,0
150,10001,400000,1,21,1,0
