Id,DisassembleType,ItemInfoId,ItemType,EquipmentType,ItemGrade,CostType,CostValue
470011,3,470011,98,11,8,25,
470012,3,470012,98,11,8,25,
470013,3,470013,98,11,8,25,
470014,3,470014,98,11,8,25,
470015,3,470015,98,11,8,25,
470021,3,470021,98,11,8,25,
470022,3,470022,98,11,8,25,
470023,3,470023,98,11,8,25,
470024,3,470024,98,11,8,25,
470025,3,470025,98,11,8,25,
470031,3,470031,98,11,8,25,
470032,3,470032,98,11,8,25,
470033,3,470033,98,11,8,25,
470034,3,470034,98,11,8,25,
470035,3,470035,98,11,8,25,
470036,3,470036,98,11,8,25,
470037,3,470037,98,11,8,25,
470041,3,470041,98,11,8,25,
470042,3,470042,98,11,8,25,
470043,3,470043,98,11,8,25,
470044,3,470044,98,11,8,25,
470045,3,470045,98,11,8,25,
470046,3,470046,98,11,8,25,
470047,3,470047,98,11,8,25,
470051,3,470051,98,11,8,25,
470052,3,470052,98,11,8,25,
470053,3,470053,98,11,8,25,
470054,3,470054,98,11,8,25,
470055,3,470055,98,11,8,25,
470056,3,470056,98,11,8,25,
470057,3,470057,98,11,8,25,
470061,3,470061,98,11,8,25,
470062,3,470062,98,11,8,25,
470063,3,470063,98,11,8,25,
470064,3,470064,98,11,8,25,
470065,3,470065,98,11,8,25,
470066,3,470066,98,11,8,25,
470067,3,470067,98,11,8,25,
470068,3,470068,98,11,8,25,
470071,3,470071,98,11,8,25,
470072,3,470072,98,11,8,25,
470073,3,470073,98,11,8,25,
470074,3,470074,98,11,8,25,
470075,3,470075,98,11,8,25,
470076,3,470076,98,11,8,25,
470077,3,470077,98,11,8,25,
470078,3,470078,98,11,8,25,
470081,3,470081,98,11,8,25,
470082,3,470082,98,11,8,25,
470083,3,470083,98,11,8,25,
470084,3,470084,98,11,8,25,
470085,3,470085,98,11,8,25,
470086,3,470086,98,11,8,25,
470091,3,470091,98,11,8,25,
470092,3,470092,98,11,8,25,
470093,3,470093,98,11,8,25,
470094,3,470094,98,11,8,25,
470095,3,470095,98,11,8,25,
470096,3,470096,98,11,8,25,
470101,3,470101,98,11,8,25,
470102,3,470102,98,11,8,25,
470103,3,470103,98,11,8,25,
470104,3,470104,98,11,8,25,
470105,3,470105,98,11,8,25,
470106,3,470106,98,11,8,25,
470107,3,470107,98,11,8,25,
470108,3,470108,98,11,8,25,
470111,3,470111,98,11,8,25,
470112,3,470112,98,11,8,25,
470113,3,470113,98,11,8,25,
470114,3,470114,98,11,8,25,
470115,3,470115,98,11,8,25,
470116,3,470116,98,11,8,25,
470117,3,470117,98,11,8,25,
470118,3,470118,98,11,8,25,
470121,3,470121,98,11,8,25,
470122,3,470122,98,11,8,25,
470123,3,470123,98,11,8,25,
470124,3,470124,98,11,8,25,
470125,3,470125,98,11,8,25,
470126,3,470126,98,11,8,25,
470127,3,470127,98,11,8,25,
470131,3,470131,98,11,8,25,
470132,3,470132,98,11,8,25,
470133,3,470133,98,11,8,25,
470134,3,470134,98,11,8,25,
470135,3,470135,98,11,8,25,
470141,3,470141,98,11,8,25,
470142,3,470142,98,11,8,25,
470143,3,470143,98,11,8,25,
470144,3,470144,98,11,8,25,
470145,3,470145,98,11,8,25,
470146,3,470146,98,11,8,25,
470147,3,470147,98,11,8,25,
472001,3,472001,98,11,8,25,
472002,3,472002,98,11,8,25,
472003,3,472003,98,11,8,25,
472011,3,472011,98,11,8,25,
472012,3,472012,98,11,8,25,
472013,3,472013,98,11,8,25,
472014,3,472014,98,11,8,25,
472015,3,472015,98,11,8,25,
472021,3,472021,98,11,8,25,
472022,3,472022,98,11,8,25,
472031,3,472031,98,11,8,25,
472032,3,472032,98,11,8,25,
472033,3,472033,98,11,8,25,
472041,3,472041,98,11,8,25,
472042,3,472042,98,11,8,25,
472043,3,472043,98,11,8,25,
472044,3,472044,98,11,8,25,
472051,3,472051,98,11,8,25,
472052,3,472052,98,11,8,25,
472053,3,472053,98,11,8,25,
472054,3,472054,98,11,8,25,
472061,3,472061,98,11,8,25,
472062,3,472062,98,11,8,25,
472063,3,472063,98,11,8,25,
472071,3,472071,98,11,8,25,
472072,3,472072,98,11,8,25,
472073,3,472073,98,11,8,25,
472081,3,472081,98,11,8,25,
472082,3,472082,98,11,8,25,
472083,3,472083,98,11,8,25,
473001,3,473001,98,11,8,25,
473011,3,473011,98,11,8,25,
