ID,GroupID,SkillIcon
1,30011,Icon_Debuff_Boranta_02
2,30011,Icon_Skill_Active_12242
3,30011,Icon_Skill_Active_12212
4,30012,Icon_Skill_Passive_24221
5,30012,Icon_Skill_Active_11251
6,30012,Icon_Debuff_Ramog_01
7,30021,Icon_Debuff_Boranta_02
8,30021,Icon_Skill_Active_12242
9,30021,Icon_Skill_Active_12212
10,30022,Icon_Skill_Passive_24221
11,30022,Icon_Skill_Active_11251
12,30022,Icon_Debuff_Ramog_01
13,30031,Icon_Debuff_Boranta_02
14,30031,Icon_Skill_Active_12242
15,30031,Icon_Skill_Active_12212
16,30032,Icon_Skill_Passive_24221
17,30032,Icon_Skill_Active_11251
18,30032,Icon_Debuff_Ramog_01
19,30041,Icon_Debuff_Boranta_02
20,30041,Icon_Skill_Active_12242
21,30041,Icon_Skill_Active_12212
22,30042,Icon_Skill_Passive_24221
23,30042,Icon_Skill_Active_11251
24,30042,Icon_Debuff_Ramog_01
25,30111,Icon_Debuff_Leonard_01
26,30111,Icon_Buff_MaxHP
27,30111,Icon_Debuff_KnockDown
28,30111,Icon_Debuff_Leonard_02
29,30121,Icon_Debuff_Leonard_01
30,30121,Icon_Buff_MaxHP
31,30121,Icon_Debuff_KnockDown
32,30121,Icon_Debuff_Leonard_02
33,30131,Icon_Debuff_Leonard_01
34,30131,Icon_Buff_MaxHP
35,30131,Icon_Debuff_KnockDown
36,30131,Icon_Debuff_Leonard_02
37,30131,Icon_Debuff_Stun
38,30141,Icon_Debuff_Leonard_01
39,30141,Icon_Buff_MaxHP
40,30141,Icon_Debuff_KnockDown
41,30141,Icon_Debuff_Leonard_02
42,30141,Icon_Debuff_Stun
43,30112,Icon_Debuff_Trisha_01
44,30112,Icon_Debuff_Trisha_02
45,30112,Icon_Skill_Active_13224
46,30112,Icon_Debuff_Taunt
47,30112,Icon_Skill_Passive_21221
48,30122,Icon_Debuff_Trisha_01
49,30122,Icon_Debuff_Trisha_02
50,30122,Icon_Skill_Active_13224
51,30122,Icon_Debuff_Taunt
52,30122,Icon_Skill_Passive_21221
53,30132,Icon_Debuff_Trisha_01
54,30132,Icon_Debuff_Trisha_02
55,30132,Icon_Skill_Active_13224
56,30132,Icon_Debuff_Taunt
57,30132,Icon_Skill_Passive_21221
58,30132,Icon_Skill_Active_13261
59,30142,Icon_Debuff_Trisha_01
60,30142,Icon_Debuff_Trisha_02
61,30142,Icon_Skill_Active_13224
62,30142,Icon_Debuff_Taunt
63,30142,Icon_Skill_Passive_21221
64,30142,Icon_Skill_Active_13261
