ID,SiegeType,Score,ScoreBuffID,GradeIcon
1,1,0,,Icon_SiegeHeroRank_01
2,1,5,200003,Icon_SiegeHeroRank_02
3,1,15,200004,Icon_SiegeHeroRank_03
4,1,30,200005,Icon_SiegeHeroRank_04
5,1,60,200006,Icon_SiegeHeroRank_05
6,1,90,200007,Icon_SiegeHeroRank_06
7,1,125,200008,Icon_SiegeHeroRank_07
8,1,150,200009,Icon_SiegeHeroRank_08
9,2,0,,Icon_SiegeHeroRank_01
10,2,5,200003,Icon_SiegeHeroRank_02
11,2,15,200004,Icon_SiegeHeroRank_03
12,2,30,200005,Icon_SiegeHeroRank_04
13,2,60,200006,Icon_SiegeHeroRank_05
14,2,90,200007,Icon_SiegeHeroRank_06
15,2,125,200008,Icon_SiegeHeroRank_07
16,2,150,200009,Icon_SiegeHeroRank_08
17,3,0,,Icon_SiegeHeroRank_01
18,3,5,200013,Icon_SiegeHeroRank_02
19,3,15,200014,Icon_SiegeHeroRank_03
20,3,30,200015,Icon_SiegeHeroRank_04
21,3,60,200016,Icon_SiegeHeroRank_05
22,3,90,200017,Icon_SiegeHeroRank_06
23,3,125,200018,Icon_SiegeHeroRank_07
24,3,150,200019,Icon_SiegeHeroRank_08
