CapeInfoId,Level,ExpForNextLevel,LevelUpItem,Resource,OptionEffectParam,EquipEffectId
70001,1,2,1302001,"Guild,1",10000,7000101
70001,2,7,1302001,"Guild,1",11400,7000101
70001,3,12,1302001,"Guild,1",12700,7000101
70001,4,17,1302001,"Guild,1",14100,7000101
70001,5,22,1302001,"Guild,1",15500,7000101
70001,6,27,1302001,"Guild,1",16900,7000101
70001,7,32,1302001,"Guild,1",18300,7000101
70001,8,37,1302001,"Guild,1",19600,7000101
70001,9,42,1302001,"Guild,1",21000,7000101
70001,10,70,1302001,"Guild,2",22400,7000101
70001,11,120,1302001,"Guild,2",23800,7000101
70001,12,170,1302001,"Guild,2",25200,7000101
70001,13,220,1302001,"Guild,2",26500,7000101
70001,14,270,1302001,"Guild,2",27900,7000101
70001,15,320,1302001,"Guild,2",29300,7000101
70001,16,370,1302001,"Guild,2",30700,7000101
70001,17,420,1302001,"Guild,2",32100,7000101
70001,18,470,1302001,"Guild,2",33400,7000101
70001,19,520,1302001,"Guild,2",34800,7000101
70001,20,770,1302001,"Guild,3",36200,7000101
70001,21,1020,1302001,"Guild,3",37600,7000101
70001,22,1270,1302001,"Guild,3",39000,7000101
70001,23,1520,1302001,"Guild,3",40300,7000101
70001,24,1770,1302001,"Guild,3",41700,7000101
70001,25,2020,1302001,"Guild,3",43100,7000101
70001,26,2270,1302001,"Guild,3",44500,7000101
70001,27,2520,1302001,"Guild,3",45900,7000101
70001,28,2770,1302001,"Guild,3",47200,7000101
70001,29,3020,1302001,"Guild,3",48600,7000101
70001,30,,1302001,"Guild,4",50000,7000101
71001,1,2,1301001,"Private,0",10000,7100101
71001,2,7,1301001,"Private,0",11400,7100102
71001,3,12,1301001,"Private,0",12700,7100103
71001,4,17,1301001,"Private,0",14100,7100104
71001,5,22,1301001,"Private,0",15500,7100105
71001,6,27,1301001,"Private,0",16900,7100106
71001,7,32,1301001,"Private,0",18300,7100107
71001,8,37,1301001,"Private,0",19600,7100108
71001,9,42,1301001,"Private,0",21000,7100109
71001,10,70,1301001,"Private,0",22400,7100110
71001,11,120,1301001,"Private,0",23800,7100111
71001,12,170,1301001,"Private,0",25200,7100112
71001,13,220,1301001,"Private,0",26500,7100113
71001,14,270,1301001,"Private,0",27900,7100114
71001,15,320,1301001,"Private,0",29300,7100115
71001,16,370,1301001,"Private,0",30700,7100116
71001,17,420,1301001,"Private,0",32100,7100117
71001,18,470,1301001,"Private,0",33400,7100118
71001,19,520,1301001,"Private,0",34800,7100119
71001,20,770,1301001,"Private,0",36200,7100120
71001,21,1020,1301001,"Private,0",37600,7100121
71001,22,1270,1301001,"Private,0",39000,7100122
71001,23,1520,1301001,"Private,0",40300,7100123
71001,24,1770,1301001,"Private,0",41700,7100124
71001,25,2020,1301001,"Private,0",43100,7100125
71001,26,2270,1301001,"Private,0",44500,7100126
71001,27,2520,1301001,"Private,0",45900,7100127
71001,28,2770,1301001,"Private,0",47200,7100128
71001,29,3020,1301001,"Private,0",48600,7100129
71001,30,,1301001,"Private,0",50000,7100130
71002,1,2,1301001,"Private,2",10000,7100201
71002,2,7,1301001,"Private,2",11400,7100202
71002,3,12,1301001,"Private,2",12700,7100203
71002,4,17,1301001,"Private,2",14100,7100204
71002,5,22,1301001,"Private,2",15500,7100205
71002,6,27,1301001,"Private,2",16900,7100206
71002,7,32,1301001,"Private,2",18300,7100207
71002,8,37,1301001,"Private,2",19600,7100208
71002,9,42,1301001,"Private,2",21000,7100209
71002,10,70,1301001,"Private,2",22400,7100210
71002,11,120,1301001,"Private,2",23800,7100211
71002,12,170,1301001,"Private,2",25200,7100212
71002,13,220,1301001,"Private,2",26500,7100213
71002,14,270,1301001,"Private,2",27900,7100214
71002,15,320,1301001,"Private,2",29300,7100215
71002,16,370,1301001,"Private,2",30700,7100216
71002,17,420,1301001,"Private,2",32100,7100217
71002,18,470,1301001,"Private,2",33400,7100218
71002,19,520,1301001,"Private,2",34800,7100219
71002,20,770,1301001,"Private,2",36200,7100220
71002,21,1020,1301001,"Private,2",37600,7100221
71002,22,1270,1301001,"Private,2",39000,7100222
71002,23,1520,1301001,"Private,2",40300,7100223
71002,24,1770,1301001,"Private,2",41700,7100224
71002,25,2020,1301001,"Private,2",43100,7100225
71002,26,2270,1301001,"Private,2",44500,7100226
71002,27,2520,1301001,"Private,2",45900,7100227
71002,28,2770,1301001,"Private,2",47200,7100228
71002,29,3020,1301001,"Private,2",48600,7100229
71002,30,,1301001,"Private,2",50000,7100230
71003,1,2,1301001,"Private,1",10000,7100301
71003,2,7,1301001,"Private,1",11400,7100302
71003,3,12,1301001,"Private,1",12700,7100303
71003,4,17,1301001,"Private,1",14100,7100304
71003,5,22,1301001,"Private,1",15500,7100305
71003,6,27,1301001,"Private,1",16900,7100306
71003,7,32,1301001,"Private,1",18300,7100307
71003,8,37,1301001,"Private,1",19600,7100308
71003,9,42,1301001,"Private,1",21000,7100309
71003,10,70,1301001,"Private,1",22400,7100310
71003,11,120,1301001,"Private,1",23800,7100311
71003,12,170,1301001,"Private,1",25200,7100312
71003,13,220,1301001,"Private,1",26500,7100313
71003,14,270,1301001,"Private,1",27900,7100314
71003,15,320,1301001,"Private,1",29300,7100315
71003,16,370,1301001,"Private,1",30700,7100316
71003,17,420,1301001,"Private,1",32100,7100317
71003,18,470,1301001,"Private,1",33400,7100318
71003,19,520,1301001,"Private,1",34800,7100319
71003,20,770,1301001,"Private,1",36200,7100320
71003,21,1020,1301001,"Private,1",37600,7100321
71003,22,1270,1301001,"Private,1",39000,7100322
71003,23,1520,1301001,"Private,1",40300,7100323
71003,24,1770,1301001,"Private,1",41700,7100324
71003,25,2020,1301001,"Private,1",43100,7100325
71003,26,2270,1301001,"Private,1",44500,7100326
71003,27,2520,1301001,"Private,1",45900,7100327
71003,28,2770,1301001,"Private,1",47200,7100328
71003,29,3020,1301001,"Private,1",48600,7100329
71003,30,,1301001,"Private,1",50000,7100330
71006,1,2,1301002,"Private,6",10000,7100601
71006,2,7,1301002,"Private,6",11400,7100602
71006,3,12,1301002,"Private,6",12700,7100603
71006,4,17,1301002,"Private,6",14100,7100604
71006,5,22,1301002,"Private,6",15500,7100605
71006,6,27,1301002,"Private,6",16900,7100606
71006,7,32,1301002,"Private,6",18300,7100607
71006,8,37,1301002,"Private,6",19600,7100608
71006,9,42,1301002,"Private,6",21000,7100609
71006,10,70,1301002,"Private,6",22400,7100610
71006,11,120,1301002,"Private,6",23800,7100611
71006,12,170,1301002,"Private,6",25200,7100612
71006,13,220,1301002,"Private,6",26500,7100613
71006,14,270,1301002,"Private,6",27900,7100614
71006,15,320,1301002,"Private,6",29300,7100615
71006,16,370,1301002,"Private,6",30700,7100616
71006,17,420,1301002,"Private,6",32100,7100617
71006,18,470,1301002,"Private,6",33400,7100618
71006,19,520,1301002,"Private,6",34800,7100619
71006,20,770,1301002,"Private,6",36200,7100620
71006,21,1020,1301002,"Private,6",37600,7100621
71006,22,1270,1301002,"Private,6",39000,7100622
71006,23,1520,1301002,"Private,6",40300,7100623
71006,24,1770,1301002,"Private,6",41700,7100624
71006,25,2020,1301002,"Private,6",43100,7100625
71006,26,2270,1301002,"Private,6",44500,7100626
71006,27,2520,1301002,"Private,6",45900,7100627
71006,28,2770,1301002,"Private,6",47200,7100628
71006,29,3020,1301002,"Private,6",48600,7100629
71006,30,,1301002,"Private,6",50000,7100630
71007,1,2,1301003,"Private,5",10000,7100701
71007,2,7,1301003,"Private,5",11400,7100702
71007,3,12,1301003,"Private,5",12700,7100703
71007,4,17,1301003,"Private,5",14100,7100704
71007,5,22,1301003,"Private,5",15500,7100705
71007,6,27,1301003,"Private,5",16900,7100706
71007,7,32,1301003,"Private,5",18300,7100707
