ItemType,TypeValue
10,0
38,100
36,200
13,300
15,400
18,600
64,700
40,800
56,900
39,1000
43,1100
44,1200
69,1300
54,1400
24,1500
25,1600
26,1700
27,1800
77,1900
78,2000
51,2100
50,2200
30,2300
21,2400
22,2500
28,2600
41,2700
42,2800
9,2900
34,3000
11,3100
20,3200
3,3300
1,3400
19,3500
2,3600
0,3700
67,3800
6,3900
5,4000
4,4100
62,4200
61,4300
7,4400
53,4500
28,4600
37,4700
68,4800
14,4900
29,5000
32,5100
33,5200
17,5300
31,5400
34,5500
35,5600
52,5700
58,5800
66,5900
65,6000
16,6100
57,6200
59,6300
79,6400
