ShopId,Id,RequiredId,TaskType,TaskCount,RewardItemInfoId
30170000,10031,,90,0,30
30170000,10032,10031,90,1,31
30170000,10033,10032,90,1,32
30170000,10034,10033,90,1,33
30170000,10035,10034,90,1,34
30170000,10036,10035,90,1,35
30170000,10037,10036,90,1,36
30170000,10038,10037,90,1,37
30170000,10039,10038,90,1,38
30170000,10040,10039,90,1,39
30170000,10041,10040,90,1,40
30170001,11041,,90,0,1300
30170001,11042,11041,90,1,1301
30170001,11043,11042,90,1,1302
30170001,11044,11043,90,1,1303
30170001,11045,11044,90,1,1304
30160000,13001,,12,1,4000
30160000,13002,13001,12,10,4001
30160000,13003,13002,12,20,4002
30160000,13004,13003,12,30,4003
30160000,13005,13004,12,45,4004
30160000,13006,13005,12,70,4005
30160001,14001,,12,1,5000
30160001,14002,14001,12,80,5001
30160001,14003,14002,12,90,5002
30160001,14004,14003,12,100,5003
30160001,14005,14004,12,110,5004
30160001,14006,14005,12,120,5005
30160002,15001,,12,1,6000
30160002,15002,15001,12,125,6001
30160002,15003,15002,12,130,6002
30160002,15004,15003,12,135,6003
30160002,15005,15004,12,140,6004
30160002,15006,15005,12,145,6005
30160002,15007,15006,12,150,6006
30160002,15008,15007,12,155,6007
30160002,15009,15008,12,160,6008
30160002,15010,15009,12,165,6009
30160002,15011,15010,12,170,6010
30160002,15012,15011,12,175,6011
30160002,15013,15012,12,180,6012
8002,10011,,17,1,11
8002,10012,10011,17,1,12
8002,10013,10012,17,2,13
8002,10014,10013,17,3,14
8002,10015,10014,17,4,15
8002,10016,10015,17,5,16
8002,10017,10016,17,6,17
8002,10018,10017,17,7,18
8003,10021,,51,0,20
8003,10022,,51,1,21
8003,10023,,51,1,22
8003,10024,,51,1,23
8003,10025,,51,1,24
8003,10026,,51,1,25
8003,10027,,51,1,26
8003,10028,,51,1,27
8003,10029,,51,1,28
8021,1201,,12,1,1101
8021,1202,1201,12,190,1102
8021,1203,1202,12,200,1103
8021,1204,1203,12,210,1104
8021,1205,1204,12,220,1105
8021,1206,1205,12,230,1106
8021,1207,1206,12,240,1107
8021,1208,1207,12,250,1108
8021,1209,1208,12,260,1109
8024,12041,,90,0,1310
8024,12042,12041,90,1,1311
8024,12043,12042,90,1,1312
8024,12044,12043,90,1,1313
