Id,ContentShow,Difficulty,RecommendedAttack,RecommendedDefense,RecommendedPower,Type,IntParam,RecommendedPC,RecommendedLevel,EnterLevelRestriction,BackgroundImage,WorldId,RepresentRewardId,RepresentRewardIconPath,RepresentRewardID1,RepresentRewardID2,RepresentRewardID3,AddSubLevel,ResetGemType,ResetGemCount,SubLevelForLight,BGM,ConflictRegular
200,1,2,1605,2174,11600,1,1,,,16,Texture/Image_Dungeon_Elite_01,200,1,,400002,490049,,,25,,,,0
201,1,2,4872,6195,26700,1,2,,,20,Texture/Image_Dungeon_Elite_01,201,3,,400002,490049,,,25,,,,0
202,1,2,7732,9597,70300,1,3,,,30,Texture/Image_Dungeon_Elite_02,202,5,,400002,490049,,,25,,,,0
203,1,2,10974,13466,130700,1,4,,,45,Texture/Image_Dungeon_Elite_02,203,7,,400002,490049,,,25,,,,0
204,1,2,15561,18975,205900,1,5,,,65,Texture/Image_Dungeon_Elite_03,204,9,,400002,490049,,,25,,,,0
205,1,2,20870,25349,279700,1,6,,,90,Texture/Image_Dungeon_Elite_03,205,11,,400002,490049,,,25,,,,0
206,1,2,28996,27929,371400,1,7,,,128,Texture/Image_Dungeon_Elite_04,206,13,,400002,490049,,,25,,,,0
207,1,2,33292,32173,427500,1,8,,,140,Texture/Image_Dungeon_Elite_04,207,15,,400002,490049,,,25,,,,0
208,1,2,69217,59829,510800,1,9,,,162,Texture/Image_Dungeon_Elite_04,208,17,,400002,490049,,,25,,,,0
209,0,2,,,660500,1,10,,,182,Texture/Image_Dungeon_Elite_04,209,19,,400002,490049,,,25,,,,1
210,0,2,26875,32560,653100,1,11,,,180,Texture/Image_Dungeon_Elite_05,210,21,,400002,490049,,,25,,,,0
211,0,2,26875,32560,847600,1,12,,,230,Texture/Image_Dungeon_Elite_06,211,23,,400002,490049,,,25,,,,0
212,0,2,,,1024900,1,13,,,260,Texture/Image_Dungeon_Elite_06,212,25,,1000104,400002,,,25,,,,1
4000,1,2,0,0,0,15,,,,0,Texture/UI_Image_GatheringDungeon,18600,,,,,,,25,,,,0
9000,1,1,577,619,75900,8,0,,,38,Texture/Image_Dungeon_Daily_07,18200,900009,Icon_GachaItem_Transcendence,490001,,,OthersideRift_Trigger,25,,,6,0
9001,1,2,4567,5828,147600,8,0,,,60,Texture/Image_Dungeon_Daily_07,18200,900009,Icon_GachaItem_Transcendence,490001,,,OthersideRift_Trigger,25,,,6,0
9002,1,3,8722,10768,243800,8,0,,,100,Texture/Image_Dungeon_Daily_07,18200,900009,Icon_GachaItem_Transcendence,490001,,,OthersideRift_Trigger,25,,,6,0
9003,1,4,15070,18385,420300,8,0,,,150,Texture/Image_Dungeon_Daily_07,18200,900009,Icon_GachaItem_Transcendence,490001,,,OthersideRift_Trigger,25,,,6,0
9100,0,5,15070,18385,798900,8,0,,,220,Texture/Image_Dungeon_Daily_07,18200,900009,Icon_GachaItem_Transcendence,490001,,,OthersideRift_Trigger,25,,,6,0
9004,1,1,577,619,52100,9,0,,,0,Texture/Image_Dungeon_Daily_07,18100,900009,Icon_GachaItem_Transcendence,490002,,,VaultofChrysos_Trigger,25,,,6,0
9005,1,2,4567,5828,127700,9,0,,,0,Texture/Image_Dungeon_Daily_07,18100,900009,Icon_GachaItem_Transcendence,490002,,,VaultofChrysos_Trigger,25,,,6,0
