Index,Id,Resource,SocketName,Scale,EffectRotationOnly,Offset_X,Offset_Y,Offset_Z
1,1,Common/Stun_DeBuff_Effect,Socket_Top,0.8,1,,,
2,2,Common/Burn_DeBuff_Effect,Socket_Center,0.5,1,,,
3,3,Common/Positive_Buff_Effect,Socket_Center,1,1,,,
4,4,Common/Burn_DeBuff_Effect,Socket_Center,0.3,1,,,
5,5,Common/Poison_DeBuff_Effect,Socket_Center,1,1,,,
6,6,Common/Poison_DeBuff_Effect,Socket_Center,1,1,,,
7,7,Common/Negative_DeBuff_Effect,Socket_Center,3,1,,,
8,8,Monster/mfx_casting_air_normal_201_kye,Socket_Center,1,1,,,
9,100,Common/LevelUp_01_jh,Bip01-Head,1,1,,,
10,1001,Common/Positive_Buff_Effect,Socket_Center,1,1,,,
11,1002,Common/Wealth_Buff_Effect,Socket_Center,1,1,,,
12,1003,Common/HP_Buff_Effect,Socket_Center,1,1,,,
13,1004,Common/ManaShield_Buff_Effect,Socket_Center,1,1,,,
14,1005,Common/Negative_DeBuff_Effect,Socket_Center,1,1,,,
15,1006,Common/Curse_DeBuff_Effect,Socket_Center,1,1,,,
16,1007,Common/Bleed_DeBuff_Effect,Socket_Center,1,1,,,
17,1008,Common/Burn_DeBuff_Effect,Socket_Center,1,1,,,
18,1009,Common/Stun_DeBuff_Effect,Socket_Top,1,1,,,
19,1010,Common/Taunt_DeBuff_Effect,Socket_Top,1,1,,,
20,30001,PC/Human/absolute_loop01,Socket_Center,1,1,,,
21,100001,Common/Positive_Buff_Effect,Socket_Center,,1,,,
22,100003,Common/Positive_Buff_Effect,Socket_Center,0.5,1,,,
23,100004,Common/Positive_Buff_Effect,Socket_Center,0.4,1,,,
24,301,Common/Ratel_PC_Buff_01,Socket_Center,1,1,,,
25,302,Common/Ratel_PC_Buff_02,Socket_Center,1,1,,,
26,303,Common/Ratel_PC_Buff_03,Socket_Center,1,1,,,
27,305,PC/Human/SecretEnt_buff_01_gi,Socket_Center,1.5,1,,,
28,100005,Common/SoulShotReady_01,Bip01-R-Finger1,1,1,,,
29,100006,Common/HpPotionUse_01,Fx_Base,1,1,,,
30,100007,Common/MpPotionUse_01,Fx_Base,1,1,,,
31,101,Common/ClassTransfer_01,Fx_Base,1,1,,,
32,102,Common/ClassTransfer_02,Camera,1,1,,,
33,400001,Common/Buff_HolyArtifact_01,Socket_Center,1,1,,,
34,400002,Common/Buff_HolyArtifact_02,Socket_Center,1,1,,,
35,400003,Common/Buff_HolyArtifact_03,Socket_Center,1,1,,,
36,400004,Common/Buff_HolyArtifact_04,Socket_Center,1,1,,,
37,400005,Common/Buff_HolyArtifact_05,Socket_Center,1,1,,,
38,300001,Monster/Deathknight/Deathknight_Skill02_Loop_jh,Socket_Center,1.5,1,,,
39,300002,Monster/Deathknight/Deathknight_Skill05_Loop_jh,Socket_Center,1.5,1,,,
40,300003,Monster/Deathknight/Deathknight_Skill05_Loop_sword_jh,WeaponR,1.2,1,,,
41,302001,Common/Buff_GuildMaster_01_jh,Socket_Top,1,1,,,
42,302002,Common/Buff_GuildMaster_02_jh,Socket_Top,1,1,,,
43,302003,Common/Buff_GuildMaster_03_jh,Socket_Top,1,1,,,
44,302004,Common/Firework_GuildMaster_01,Camera,1,1,,,
45,500001,Common/DungeonBuff_Get_01,Fx_Base,1,1,,,
46,500002,Common/DungeonBuff_Get_02,Fx_Base,1,1,,,
47,500003,Common/DungeonBuff_Get_03,Fx_Base,1,1,,,
48,500004,Common/DungeonBuff_Get_04,Fx_Base,1,1,,,
49,500005,Common/DungeonBuff_Get_05,Fx_Base,1,1,,,
50,500006,Common/DungeonBuff_Get_06,Fx_Base,1,1,,,
51,300004,PC/Human/QueenAntBossSkill_05_gi4,Socket_Center,2,1,,,
52,300005,Common/Ratel_Buff_02,Socket_Center,3,1,,,
53,300006,Common/Ratel_Buff_02,Socket_Center,5,1,,,
54,300007,Common/Ratel_Buff_02,Socket_Center,7,1,,,
55,300008,Common/Ratel_Buff_02,Socket_Center,9,1,,,
56,300009,Common/Ratel_Buff_02,Socket_Center,11,1,,,
57,300010,Common/Ratel_Buff_02,Socket_Center,13,1,,,
58,300011,Common/Poison_DeBuff_Effect,Socket_Top,1,1,,,
59,300012,Common/Negative_DeBuff_Effect,Socket_Top,1,1,,,
60,300013,BP/BP_PTC_CrumaCoreBoss_Skill06,Socket_Top,1,1,,,
61,300015,BP/BP_PTC_QueenAntShield,Socket_Center,1,1,,,
62,600000,Enchant/Guild_Crystal_00,FXSocket,1,0,,,
63,600001,Enchant/Guild_Crystal_01,FXSocket,1,0,,,
64,600002,Enchant/Guild_Crystal_02,FXSocket,1,0,,,
65,600003,Enchant/Guild_Crystal_03,FXSocket,1,0,,,
66,111,BP/BP_PTC_VehicleSpawn,Socket_Center,1,1,,,
67,741352,BP/BP_PTC_BansheeBossSkill_02,Socket_Center,1,1,,,
68,601001,Common/Agit_Potion_start01,Fx_Base,1,1,,,
69,601002,BP/BP_PTC_Guild_MoveSpeed_Buff_Effect,Socket_Bottom,1,1,,,
70,601003,BP/BP_PTC_Guild_EnemySlow_DeBuff_Effect,Socket_Bottom,1,1,,,
71,601004,BP/BP_PTC_Guild_IncreaseHeal_Buff_Effect,Socket_Bottom,1,1,,,
72,601005,BP/BP_PTC_Guild_DecreaseTargetMP_DeBuff_Effect,Socket_Bottom,1,1,,,
