GroupId,SubId,DungeonInfoId,NpcInfoId,RecommendLv,RecommendPower,RecommendPeople,MainReward1,MainReward2,MainReward3
100,100001,20001,110001,13,9500,1,1,,
100,100002,20002,110002,13,9500,2,1,,
100,100003,20003,110003,13,9500,2,1,,
100,100004,20004,110004,13,9500,1,1,,
100,100005,20005,110005,13,9500,1,1,,
100,100006,20006,110006,20,15600,1,1,,
100,100007,20007,110007,18,13300,1,1,,
100,100008,20008,110008,20,15600,1,1,,
100,100009,20009,110009,20,15600,2,1,,
100,100010,20010,110010,20,15600,2,1,,
100,100011,20011,110011,20,15600,2,1,,
100,100012,20012,110012,25,24200,2,1,,
100,100013,20013,110013,27,29100,3,1,,
100,100014,20014,110014,29,34200,3,1,,
100,100015,20015,110015,31,43100,3,1,,
100,100016,20016,110016,35,62100,3,1,,
101,101001,20017,110101,21,16900,1,1,,
101,101002,20018,110102,21,16900,1,1,,
101,101003,20019,110103,22,18900,1,1,,
101,101004,20020,110104,24,22300,1,1,,
101,101005,20021,110105,25,24200,2,1,,
101,101006,20022,110106,26,26200,2,1,,
101,101007,20023,110107,31,43100,2,1,,
101,101008,20024,110108,32,50800,2,1,,
101,101009,20025,110109,30,37000,2,1,,
101,101010,20026,110110,36,67900,1,1,,
101,101011,20027,110111,36,67900,2,1,,
101,101012,20028,110112,38,73300,1,1,,
101,101013,20029,110113,38,73300,1,1,,
101,101014,20030,110114,41,83000,2,1,,
101,101015,20031,110115,44,93900,2,1,,
101,101016,20032,110116,46,99900,1,1,,
101,101017,20033,110117,48,105600,1,1,,
101,101018,20034,110118,48,105600,1,1,,
101,101019,20035,110119,50,112900,2,1,,
101,101020,20036,110120,52,119100,2,1,,
101,101021,20037,110121,52,119100,2,1,,
101,101022,20038,110122,54,124600,2,1,,
101,101023,20039,110123,54,124600,2,1,,
101,101024,20040,110124,58,134600,2,1,,
101,101025,20041,110125,58,134600,2,1,,
101,101026,20042,110126,40,80200,3,1,,
101,101027,20043,110127,54,124600,3,1,,
101,101028,20044,110128,78,184000,3,1,,
101,101029,20045,110129,84,197100,3,1,,
102,102001,20046,110201,62,146000,1,1,,
102,102002,20047,110202,62,146000,1,1,,
102,102003,20048,110203,70,165000,1,1,,
102,102004,20049,110204,62,146000,2,1,,
102,102005,20050,110205,66,155600,2,1,,
102,102006,20051,110206,62,146000,2,1,,
102,102007,20052,110207,66,155600,2,1,,
102,102008,20053,110208,78,184000,1,1,,
102,102009,20054,110209,78,184000,1,1,,
102,102010,20055,110210,84,197100,1,1,,
102,102011,20056,110211,84,197100,1,1,,
102,102012,20057,110212,90,208700,2,1,,
102,102013,20058,110213,90,208700,1,1,,
102,102014,20059,110214,90,208700,2,1,,
102,102015,20060,110215,94,217700,2,1,,
102,102016,20061,110216,90,208700,2,1,,
102,102017,20062,110217,100,232300,1,1,,
102,102018,20063,110218,104,241900,1,1,,
102,102019,20064,110219,104,241900,1,1,,
102,102020,20065,110220,112,265900,1,1,,
102,102021,20066,110221,112,265900,2,1,,
102,102022,20067,110222,112,265900,1,1,,
102,102023,20068,110223,116,278400,1,1,,
102,102024,20069,110224,116,278400,1,1,,
102,102025,20070,110225,84,197100,3,1,,
102,102026,20071,110226,90,208700,3,1,,
102,102027,20072,110227,94,217700,3,1,,
102,102028,20073,110228,108,254100,3,1,,
102,102029,20074,110229,112,265900,3,1,,
102,102030,20075,110230,120,290900,3,1,,
102,102031,20076,110231,128,319300,3,1,,
103,103001,20077,110301,124,265900,1,1,,
103,103002,20078,110302,124,265900,2,1,,
103,103003,20079,110303,132,265900,2,1,,
103,103004,20080,110304,132,265900,2,1,,
103,103005,20081,110305,132,265900,2,1,,
103,103006,20082,110306,132,265900,1,1,,
103,103007,20083,110307,132,265900,2,1,,
103,103008,20084,110308,136,278400,1,1,,
103,103009,20085,110309,140,290900,2,1,,
103,103010,20086,110310,140,304600,2,1,,
103,103011,20087,110311,140,319300,2,1,,
103,103012,20088,110312,146,334700,2,1,,
103,103013,20089,110313,146,349100,2,1,,
103,103014,20090,110314,150,364200,1,1,,
103,103015,20091,110315,156,364200,2,1,,
103,103016,20092,110316,156,398200,2,1,,
103,103017,20093,110317,156,384600,2,1,,
103,103018,20094,110318,162,438300,2,1,,
103,103019,20095,110319,162,438300,1,1,,
103,103020,20096,110320,174,438300,1,1,,
103,103021,20097,110321,168,438300,2,1,,
103,103022,20098,110322,168,438300,2,1,,
103,103023,20099,110323,174,438300,2,1,,
103,103024,20100,110324,162,438300,2,1,,
103,103025,20101,110325,128,326200,3,1,,
103,103026,20102,110326,136,356400,3,1,,
103,103027,20103,110327,146,393800,3,1,,
103,103028,20104,110328,150,407700,3,1,,
103,103029,20105,110329,156,429400,3,1,,
103,103030,20106,110330,162,448700,3,1,,
103,103031,20149,110331,168,467600,3,1,,
103,103032,20150,110332,174,485900,3,1,,
103,103033,20151,110333,182,537300,3,1,,
104,104001,20107,110401,182,537300,2,1,,
104,104002,20108,110402,182,537300,2,1,,
104,104003,20109,110403,198,710700,1,1,,
104,104004,20110,110404,198,710700,1,1,,
104,104005,20111,110405,198,710700,1,1,,
104,104006,20112,110406,190,667100,1,1,,
104,104007,20113,110407,230,847600,2,1,,
104,104008,20114,110408,214,773200,2,1,,
104,104009,20115,110409,206,740100,1,1,,
104,104010,20116,110410,222,807500,2,1,,
104,104011,20117,110411,214,773200,3,1,,
104,104012,20118,110412,236,878200,2,1,,
104,104013,20119,110413,242,914300,2,1,,
104,104014,20120,110414,242,914300,2,1,,
104,104015,20121,110415,248,951000,1,1,,
