Group,Type,Day,RewardType,RewardItemInfoId,RewardCount,RewardIcon
31,2,1,6,35000101,1,Icon_Box_Legion6
31,2,2,1, ,100000,Icon_Asset_Adena_01
31,2,3,6,30919001,3,Icon_GachaItem_Soulcrystal
31,2,4,6,910221,3,Icon_GachaItem_Transcendence
31,2,5,6,910220,3,Icon_Gacha_EnchantScroll
31,2,6,6,910134,1,Icon_GachaItem_AccS
31,2,7,6,910212,1,Icon_Shop_Gacha_Equipment_01
31,0,1,6,35000101,1,Icon_Box_Legion6
31,0,2,1, ,100000,Icon_Asset_Adena_01
31,0,3,6,30919001,3,Icon_GachaItem_Soulcrystal
31,0,4,6,910221,3,Icon_GachaItem_Transcendence
31,0,5,6,910220,3,Icon_Gacha_EnchantScroll
31,0,6,6,910134,1,Icon_GachaItem_AccS
31,0,7,6,910212,1,Icon_Shop_Gacha_Equipment_01
31,1,1,6,35000101,1,Icon_Box_Legion6
31,1,2,1, ,100000,Icon_Asset_Adena_01
31,1,3,6,30919001,3,Icon_GachaItem_Soulcrystal
31,1,4,6,910221,3,Icon_GachaItem_Transcendence
31,1,5,6,910220,3,Icon_Gacha_EnchantScroll
31,1,6,6,910134,1,Icon_GachaItem_AccS
31,1,7,6,910212,1,Icon_Shop_Gacha_Equipment_01
32,2,1,6,910259,1,Icon_Shop_Gacha_Equipment_01
32,2,2,6,911179,3,Icon_Box_EquipLevelMaterial
32,2,3,1, ,100000,Icon_Asset_Adena_01
32,2,4,6,910202,3,Icon_GachaItem_Soulcrystal
32,2,5,6,910004,3,Icon_Box_Scroll_01
32,2,6,6,910006,5,Icon_GachaItem_Transcendence
32,2,7,6,910237,1,Icon_Gacha_EnchantScroll
32,0,1,6,910259,1,Icon_Shop_Gacha_Equipment_01
32,0,2,6,911179,3,Icon_Box_EquipLevelMaterial
32,0,3,1, ,100000,Icon_Asset_Adena_01
32,0,4,6,910202,3,Icon_GachaItem_Soulcrystal
32,0,5,6,910004,3,Icon_Box_Scroll_01
32,0,6,6,910006,5,Icon_GachaItem_Transcendence
32,0,7,6,910237,1,Icon_Gacha_EnchantScroll
32,1,1,6,910259,1,Icon_Shop_Gacha_Equipment_01
32,1,2,6,911179,3,Icon_Box_EquipLevelMaterial
32,1,3,1, ,100000,Icon_Asset_Adena_01
32,1,4,6,910202,3,Icon_GachaItem_Soulcrystal
32,1,5,6,910004,3,Icon_Box_Scroll_01
32,1,6,6,910006,5,Icon_GachaItem_Transcendence
32,1,7,6,910237,1,Icon_Gacha_EnchantScroll
33,2,1,6,911141,1,Icon_Shop_Gacha_Equipment_01
33,2,2,6,34001603,1,Icon_Box_SummonGem_01
33,2,3,6,910219,1,Icon_Box_EquipLevelMaterial
33,2,4,1, ,50000,Icon_Asset_Adena_01
33,2,5,6,910208,1,Icon_SummonGem_02
33,2,6,6,910220,3,Icon_Gacha_EnchantScroll
33,2,7,6,910237,1,Icon_Gacha_EnchantScroll
33,0,1,6,911141,1,Icon_Shop_Gacha_Equipment_01
33,0,2,6,34001603,1,Icon_Box_SummonGem_01
33,0,3,6,910219,1,Icon_Box_EquipLevelMaterial
33,0,4,1, ,50000,Icon_Asset_Adena_01
33,0,5,6,910208,1,Icon_SummonGem_02
33,0,6,6,910220,3,Icon_Gacha_EnchantScroll
33,0,7,6,910237,1,Icon_Gacha_EnchantScroll
33,1,1,6,911141,1,Icon_Shop_Gacha_Equipment_01
33,1,2,6,34001603,1,Icon_Box_SummonGem_01
33,1,3,6,910219,1,Icon_Box_EquipLevelMaterial
33,1,4,1, ,50000,Icon_Asset_Adena_01
33,1,5,6,910208,1,Icon_SummonGem_02
33,1,6,6,910220,3,Icon_Gacha_EnchantScroll
33,1,7,6,910237,1,Icon_Gacha_EnchantScroll
