Id,TaskType,NpcAutoMoveID,TaskCount,RewardExp,RewardAdena,RewardIcon,MissionIcon
1,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
2,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
3,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
4,83,10007,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
5,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
6,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
7,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
8,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
9,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
10,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
11,83,10007,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
12,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
13,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
14,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
15,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
16,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
17,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
18,83,10007,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
19,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
20,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
21,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
22,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
23,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
24,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
25,83,10007,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
26,83,10002,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
27,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
28,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
29,83,10003,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
30,83,10004,15,0,0,Icon_Asset_Adena_01,Icon_Asset_Adena_01
