Id,ProductType,ItemInfoId,ProductValue
11,2,,600
12,2,,200
12,6,490019,1
12,6,910007,1
13,2,,200
13,6,490019,1
13,6,910007,2
13,6,410002,1
14,2,,200
14,6,490019,2
14,6,910007,3
14,6,410003,1
15,2,,200
15,6,490019,2
15,6,910007,4
15,6,410001,1
16,2,,200
16,6,490019,3
16,6,910007,6
16,6,410002,1
17,2,,200
17,6,490019,3
17,6,910007,8
17,6,410003,1
18,2,,200
18,6,490019,5
18,6,910007,10
18,6,410001,1
20,2,,1000
21,2,,500
21,6,911174,2
21,6,400001,500
22,2,,500
22,6,911174,2
22,6,400001,500
23,2,,500
23,6,911174,2
23,6,400001,500
24,2,,500
24,6,911174,2
24,6,400001,500
25,2,,500
25,6,911174,2
25,6,400001,500
26,2,,500
26,6,911174,2
26,6,400001,500
27,2,,500
27,6,911174,2
27,6,400001,500
28,2,,500
28,6,911174,2
28,6,400001,500
30,2,,1000
31,2,,500
31,6,34001000,1
31,6,400002,40
32,2,,500
32,6,34001001,1
32,6,400002,40
33,2,,500
33,6,34001002,1
33,6,400002,40
34,2,,500
34,6,34001003,1
34,6,400002,40
35,2,,500
35,6,34001004,1
35,6,400002,40
36,2,,500
36,6,34001005,1
36,6,400002,40
37,2,,500
37,6,34001006,1
37,6,400002,40
38,2,,500
38,6,34001007,1
38,6,400002,40
39,2,,500
39,6,34001008,1
39,6,400002,40
40,2,,500
40,6,34001009,1
40,6,400002,40
1300,2,,2000
1300,6,400000,1
1301,2,,1000
1301,6,1000103,1
1301,6,490066,25
1302,2,,1000
1302,6,1000103,2
1302,6,490066,25
1303,2,,1000
1303,6,1000103,3
1303,6,490066,25
1304,2,,1000
1304,6,1000203,1
1304,6,490066,25
1310,2,,2000
1311,2,,1000
1311,6,1000104,1
1311,6,449999,30
1311,6,910237,2
1312,2,,1000
1312,6,1000104,1
1312,6,449999,30
1312,6,910237,2
1313,2,,1000
1313,6,1000104,1
1313,6,449999,30
1313,6,910237,2
4000,2,,1500
4000,6,911122,1
4001,2,,1000
4001,6,911123,1
4002,2,,1000
4002,6,30919001,1
4003,2,,1500
4003,6,30919001,2
4004,2,,1500
4004,6,30919001,3
4005,2,,2000
4005,6,30919002,1
5000,2,,1500
5000,6,911132,1
5001,2,,1000
5001,6,911133,1
5002,2,,1000
5002,6,30919002,1
5003,2,,1500
5003,6,30919002,2
5004,2,,1500
5004,6,30919002,3
5005,2,,2000
5005,6,30919003,1
6000,2,,1500
6000,6,490027,1
6001,2,,500
6001,6,30919003,1
6002,2,,500
6002,6,30919003,1
6003,2,,500
6003,6,30919003,1
6004,2,,500
6004,6,30919003,1
6005,2,,500
6005,6,30919003,1
6006,2,,500
6006,6,490027,1
6007,2,,500
6007,6,30919003,1
6008,2,,500
6008,6,30919003,1
6009,2,,500
6009,6,30919003,1
6010,2,,500
6010,6,30919003,1
6011,2,,1000
6011,6,30919003,1
6012,2,,1000
6012,6,490027,1
