Id,TaskType,TaskCount,RewardRatio,CostAdena,AdenaRewardGroupId,CostDiamond,DiamondRewardGroupId,ContentsType,UseLevelReward
1,93,1,1,300,1,2,101,12,
2,97,20,10,20000,2,100,102,12,
4,95,1,1,25000,4,100,104,12,
5,95,1,1,25000,5,100,105,12,
6,95,1,1,25000,6,100,106,12,
7,95,1,1,25000,7,100,107,12,
8,130,12,1,10000,8,40,108,0,1
9,131,10,1,18750,9,75,109,1,1
10,100,1,1,7000,10,65,110,12,
11,100,1,1,12000,11,75,111,12,
12,100,1,1,17000,12,100,112,12,
13,100,1,1,22000,13,120,113,12,
14,100,1,1,27000,14,160,114,12,
15,100,1,1,32000,15,180,115,12,
16,100,1,1,37000,16,220,116,12,
17,100,1,1,42000,17,240,117,12,
18,102,1,1,10000,21,60,121,12,
19,102,1,1,20000,22,120,122,12,
20,102,1,1,24000,23,160,123,12,
21,102,1,1,30000,24,200,124,12,
22,101,2,1,25000,31,100,131,12,
23,101,2,1,25000,32,100,132,12,
24,101,2,1,25000,33,100,133,12,
25,101,2,1,25000,34,100,134,12,
26,103,2,1,25000,41,100,141,8,1
27,103,2,1,25000,41,100,141,9,1
28,103,2,1,25000,41,100,141,10,1
29,103,2,1,25000,41,100,141,11,1
32,109,2,1,25000,51,100,151,12,
33,100,1,1,45000,18,260,118,12,
34,109,2,1,25000,52,100,152,12,
35,109,2,1,25000,53,100,153,12,
36,109,2,1,25000,54,100,154,12,
39,101,2,1,25000,35,100,135,12,
40,103,2,1,25000,41,100,141,12,1
41,100,1,1,50000,60,280,160,12,
42,100,1,1,55000,61,300,161,12,
43,100,1,1,60000,62,320,162,12,
44,100,1,1,65000,63,340,163,12,
