Id,GroupId,Rate,ExposeLevel,ProductItemInfold,ProductItemValue,PurchaseLimit,PurchaseLimitValue,PurchaseItemInfold1,PurchaseItemValue1,PurchaseItemInfold2,PurchaseItemValue2
101000011,10100001,400,1,470011,10,6,1,1111111,40,,
101000012,10100001,400,1,470012,10,6,1,1111111,90,,
101000013,10100001,400,1,470013,10,6,1,1111111,90,,
101000014,10100001,400,1,470014,10,6,1,1111111,40,,
101000015,10100001,400,1,470015,10,6,1,1111111,40,,
101000016,10100001,400,1,470021,10,6,1,1111111,40,,
101000017,10100001,400,1,470022,10,6,1,1111111,40,,
101000018,10100001,400,1,470023,10,6,1,1111111,40,,
101000019,10100001,400,1,470024,10,6,1,1111111,90,,
101000020,10100001,0,1,470025,1,6,1,1111111,430,,
101000021,10100001,200,16,472001,20,6,1,1111111,400,,
101000022,10100001,200,16,472002,20,6,1,1111111,400,,
101000023,10100001,200,16,472003,20,6,1,1111111,400,,
101000024,10100001,200,20,472011,20,6,1,1111111,400,,
101000025,10100001,200,20,472012,20,6,1,1111111,400,,
101000026,10100001,200,20,472013,20,6,1,1111111,400,,
101000027,10100001,200,20,472014,20,6,1,1111111,400,,
101000028,10100001,400,20,470031,20,6,1,1111111,80,,
101000029,10100001,400,20,470032,20,6,1,1111111,80,,
101000030,10100001,400,20,470033,20,6,1,1111111,80,,
101000031,10100001,400,20,470034,20,6,1,1111111,80,,
101000032,10100001,400,20,470035,20,6,1,1111111,80,,
101000033,10100001,400,20,470036,20,6,1,1111111,80,,
101000034,10100001,0,20,470037,1,6,1,1111111,430,,
101000035,10100001,400,20,470041,20,6,1,1111111,170,,
101000036,10100001,400,28,470042,20,6,1,1111111,170,,
101000037,10100001,400,28,470043,20,6,1,1111111,170,,
101000038,10100001,400,28,470044,20,6,1,1111111,80,,
101000039,10100001,400,28,470045,20,6,1,1111111,170,,
101000040,10100001,400,28,470046,20,6,1,1111111,80,,
101000041,10100001,0,28,470047,1,6,1,1111111,430,,
101000042,10100001,400,28,470051,20,6,1,1111111,80,,
101000043,10100001,400,38,470052,20,6,1,1111111,170,,
101000044,10100001,400,38,470053,20,6,1,1111111,170,,
101000045,10100001,400,38,470054,20,6,1,1111111,80,,
101000046,10100001,400,38,470055,20,6,1,1111111,80,,
101000047,10100001,400,38,470056,20,6,1,1111111,80,,
101000048,10100001,0,38,470057,1,6,1,1111111,430,,
101000049,10100001,400,38,470061,20,6,1,1111111,80,,
101000050,10100001,400,50,470062,20,6,1,1111111,170,,
101000051,10100001,400,50,470063,20,6,1,1111111,170,,
101000052,10100001,400,50,470064,20,6,1,1111111,170,,
101000053,10100001,400,50,470065,20,6,1,1111111,170,,
101000054,10100001,400,50,470066,20,6,1,1111111,170,,
101000055,10100001,400,50,470067,20,6,1,1111111,170,,
101000056,10100001,0,50,470068,1,6,1,1111111,430,,
101000057,10100001,200,50,472021,30,6,1,1111111,600,,
101000058,10100001,200,30,472022,30,6,1,1111111,600,,
101000059,10100001,200,30,472031,30,6,1,1111111,600,,
101000060,10100001,200,45,472032,30,6,1,1111111,600,,
101000061,10100001,400,45,470071,30,6,1,1111111,120,,
101000062,10100001,400,45,470072,30,6,1,1111111,120,,
101000063,10100001,400,62,470073,30,6,1,1111111,120,,
101000064,10100001,400,62,470074,30,6,1,1111111,260,,
101000065,10100001,400,62,470075,30,6,1,1111111,260,,
101000066,10100001,400,62,470076,30,6,1,1111111,260,,
101000067,10100001,400,62,470077,30,6,1,1111111,260,,
101000068,10100001,0,62,470078,1,6,1,1111111,430,,
101000069,10100001,400,62,470081,30,6,1,1111111,120,,
101000070,10100001,400,62,470082,30,6,1,1111111,120,,
101000071,10100001,400,74,470083,30,6,1,1111111,120,,
101000072,10100001,400,74,470084,30,6,1,1111111,120,,
101000073,10100001,400,74,470085,30,6,1,1111111,260,,
101000074,10100001,0,74,470086,1,6,1,1111111,430,,
101000075,10100001,400,74,470091,30,6,1,1111111,120,,
101000076,10100001,400,74,470092,30,6,1,1111111,260,,
101000077,10100001,400,90,470093,30,6,1,1111111,260,,
101000078,10100001,400,90,470094,30,6,1,1111111,260,,
101000079,10100001,400,90,470095,30,6,1,1111111,120,,
101000080,10100001,0,90,470096,1,6,1,1111111,430,,
101000081,10100001,400,90,470101,30,6,1,1111111,120,,
101000082,10100001,400,90,470102,30,6,1,1111111,120,,
101000083,10100001,400,104,470103,30,6,1,1111111,120,,
101000084,10100001,400,104,470104,30,6,1,1111111,260,,
101000085,10100001,400,104,470105,30,6,1,1111111,120,,
101000086,10100001,400,104,470106,30,6,1,1111111,120,,
101000087,10100001,400,104,470107,30,6,1,1111111,120,,
101000088,10100001,400,104,470111,35,6,1,1111111,140,,
101000089,10100001,200,104,472041,40,6,1,1111111,800,,
101000090,10100001,200,104,472042,40,6,1,1111111,800,,
101000091,10100001,200,65,472043,40,6,1,1111111,800,,
101000092,10100001,200,65,472044,40,6,1,1111111,800,,
101000093,10100001,200,65,472051,40,6,1,1111111,800,,
101000094,10100001,200,65,472052,40,6,1,1111111,800,,
101000095,10100001,200,90,472053,40,6,1,1111111,800,,
101000096,10100001,400,90,470112,35,6,1,1111111,300,,
101000097,10100001,400,90,470113,35,6,1,1111111,300,,
101000098,10100001,400,90,470114,35,6,1,1111111,300,,
101000099,10100001,400,120,470115,35,6,1,1111111,300,,
101000100,10100001,400,120,470116,35,6,1,1111111,140,,
101000101,10100001,400,120,470117,35,6,1,1111111,300,,
101000102,10100001,400,120,470121,35,6,1,1111111,140,,
101000103,10100001,400,120,470122,35,6,1,1111111,140,,
101000104,10100001,400,120,470123,35,6,1,1111111,300,,
101000105,10100001,400,120,470124,35,6,1,1111111,300,,
101000106,10100001,400,120,470125,35,6,1,1111111,300,,
101000107,10100001,400,136,470126,35,6,1,1111111,300,,
101000108,10100001,200,136,472061,40,6,1,1111111,800,,
101000109,10100001,200,136,472062,40,6,1,1111111,800,,
101000110,10100001,200,136,472063,40,6,1,1111111,800,,
101000111,10100001,400,136,470131,35,6,1,1111111,140,,
101000112,10100001,400,136,470132,35,6,1,1111111,300,,
101000113,10100001,400,136,470133,35,6,1,1111111,300,,
101000114,10100001,400,128,470134,35,6,1,1111111,300,,
101000115,10100001,400,128,470142,35,6,1,1111111,140,,
101000116,10100001,400,128,470143,35,6,1,1111111,140,,
101000117,10100001,400,146,470147,35,6,1,1111111,140,,
101000118,10100001,400,146,470141,35,6,1,1111111,300,,
101000119,10100001,400,146,470144,35,6,1,1111111,300,,
101000120,10100001,400,146,470145,35,6,1,1111111,300,,
101000121,10100001,400,165,470146,35,6,1,1111111,300,,
101000122,10100001,200,165,472071,40,6,1,1111111,800,,
101000123,10100001,200,165,472072,40,6,1,1111111,800,,
101000124,10100001,200,165,472073,40,6,1,1111111,800,,
101000125,10100001,200,165,472081,40,6,1,1111111,800,,
101000126,10100001,200,165,472082,40,6,1,1111111,800,,
101000127,10100001,200,165,472083,40,6,1,1111111,800,,
101000128,10100001,0,165,470127,1,6,1,1111111,430,,
101000130,10100001,0,140,470118,1,6,1,1111111,430,,
101000132,10100001,0,162,472015,1,6,1,1111111,1200,,
101000133,10100001,0,162,472033,1,6,1,1111111,1200,,
101000134,10100001,0,162,472054,1,6,1,1111111,1200,,
102000011,10200001,10,1,470025,1,6,1,1111111,300,,
