id,AnimationPath,UseControlAction,IconPath,UseCustom
1,SocialAction_Letsgo,0,Icon_social_01,1
2,SocialAction_Victory,0,Icon_social_02,1
3,SocialAction_Hello,0,Icon_social_03,1
4,SocialAction_Laugh,0,Icon_social_04,1
5,SocialAction_Sad,0,Icon_social_05,1
6,SocialAction_HighFive,0,Icon_social_06,1
7,SocialAction_Clap,0,Icon_social_07,1
8,SocialAction_Frastration,0,Icon_social_08,1
9,SocialAction_Angry,0,Icon_social_09,1
1001,SummonMonster,0,,0
1002,TownTeleport,0,,0
10001,SocialAction_PVPVictory,0,,0
10002,SocialAction_PVPFrastration,0,,0
10003,SocialAction_PVPVictory,0,,0
10004,SocialAction_PVPFrastration,0,,0
10005,SocialAction_PVPVictory,0,,0
10006,SocialAction_PVPFrastration,0,,0
10007,SocialAction_PVPVictory,0,,0
10008,SocialAction_PVPFrastration,0,,0
100001,SocialAction_Hello,1,,0
100002,SocialAction_Laugh,1,,0
100003,SocialAction_Victory,1,,0
100004,SocialAction_Clap,1,,0
