Id,GroupId,TeamId,Type,UseType,ManualControl,ControlTime,MultiControl,HitCancel,ForbidUserCancel,Radius,BPName,WorldInfoId,Visible,InitialSpawning,Period,Repeatable,LifeTime,ControlCoolingTime,MaxCount,BasePosX,BasePosY,BasePosZ,RotateP,RotateY,RotateR,SpawnRadius,TotalControlCount,ControlActionType1,ControlActionParam1,ControlActionType2,ControlActionParam2,ControlActionType3,ControlActionParam3,SiegeWarParentNpcSpawnInfoId,CollisionUnitType,CollisionUnitParam,InteractionType,InteractionAnimation,ActivateMaterial,InactivateMaterial,ControlProcessingEffect,ControlCompleteStartEffect,ControlCompleteLoopEffect,InstanceResetAfterControl
1202,300201001,0,11,0,0,0,0,0,0,0,BP_Gadget_TutoArrow_01_Short_01,300201,1,1,0,0,0,0,1,45461,-5312,302,0,90,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1203,300201001,0,11,0,0,0,0,0,0,0,BP_Gadget_TutoArrow_01_Short_01,300201,1,1,0,0,0,0,1,45604,-4545,302,0,-20,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1204,300201001,0,11,0,0,0,0,0,0,0,BP_Gadget_TutoArrow_01_Short_01,300201,1,1,0,0,0,0,1,45333,-4545,302,0,-160,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1205,300201001,0,11,0,0,0,0,0,0,0,BP_Gadget_TutoArrow_02_Short_01,300201,1,1,0,0,0,0,1,45477,-6896,911,0,-90,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1206,300203001,0,11,0,0,0,0,0,0,0,BP_Gadget_TutoArrow_02,300203,1,1,0,0,0,0,1,-1039,1283,1101,0,-90,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1218,300203002,0,11,0,0,0,0,0,0,0,BP_Level_line4,0,1,1,0,0,0,0,1,-1270,-240,840,0,0,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1207,206002,0,11,0,0,0,0,0,0,0,BP_Gadget_TutoArrow_01_Short_01,206,1,1,0,0,0,0,1,-16336,33320,542,0,5,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1208,208002,0,11,0,0,0,0,0,0,0,BP_Gadget_TutoArrow_02,208,1,1,0,0,0,0,1,-10240,17310,250,0,90,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1209,206003,0,11,0,0,0,0,0,0,0,BP_Gadget_IvoryTower_Block_01,206,1,1,0,0,0,0,1,-10145,20130,535,0,0,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1210,208003,0,11,0,0,0,0,0,0,0,BP_Gadget_IvoryTower_Block_03,208,1,1,0,0,0,0,1,-15669,33320,565,0,-80,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1211,209002,0,11,0,0,0,0,0,0,0,BP_Gadget_TutoArrow_01_Short_01,209,1,1,0,0,0,0,1,-3567,-159,271,0,0,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1212,210002,0,11,0,0,0,0,0,0,0,BP_Gadget_TutoArrow_02,210,1,1,0,0,0,0,1,40626,839,0,0,-35,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1214,212001,0,11,0,0,0,0,0,0,0,BP_Gadget_Block_20,212,1,1,0,0,0,0,1,56940,-3108,0,0,0,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1215,212001,0,11,0,0,0,0,0,0,0,BP_Gadget_Block_20,212,1,1,0,0,0,0,1,54514,3290,0,0,0,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1216,212002,0,11,1,1,10,0,1,0,150,BP_Buff_Sanctuary_Top,209,1,1,1800,1,0,0,1,14120,46339,1287,0,0,0,0,1,32,holyTowerInfoId:100002,46,,46,,,6,,11,,,,,,,0
1217,212002,0,11,1,1,10,0,1,0,150,BP_Buff_Sanctuary_Top,212,1,1,1800,1,0,0,1,60128,176,0,0,0,0,0,1,32,holyTowerInfoId:100002,46,,46,,,6,,11,,,,,,,0
1219,204002,0,11,0,0,0,0,0,0,0,BP_Gadget_TutoArrow_02,204,1,1,0,0,0,0,1,10,1190,340,0,90,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1220,205002,0,11,0,0,0,0,0,0,0,BP_Gadget_TutoArrow_02,205,1,1,0,0,0,0,1,13740,18570,340,0,-90,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1221,402,0,11,0,0,0,0,0,0,0,BP_Level_line4,402,1,1,0,0,0,0,1,-336,3096,830,0,-90,0,0,,46,,46,,46,,,6,,11,,,,,,,0
1222,402,0,11,0,0,0,0,0,0,0,BP_Level_line5,402,1,1,0,0,0,0,1,-706,-184,764,0,-90,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211010101,2110101,0,11,0,0,0,0,0,0,0,BP_Gadget_CrumaTower_Block_01,211010,1,1,0,0,0,0,1,-4120,7090,340,0,90,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211010201,2110102,0,11,1,1,2,1,0,0,100,BP_Gadget_Cruma_04,211010,1,1,0,0,0,0,1,-2630,7090,350,0,0,0,0,,13,"""worldInfoId"" : 8,
""pos"":""50195, 28222""",46,,46,,,6,,11,,,,,,,0
82601,826,0,11,2,1,2,1,0,0,100,BP_Gadget_Cruma_04,8,0,1,0,0,0,0,1,50104,27858,1710,0,0,0,0,,46,,46,,46,,,6,,11,,,,,,,0
82701,827,0,11,1,1,2,1,0,0,100,BP_Gadget_Cruma_04,8,0,1,0,0,0,0,1,50104,27858,1710,0,0,0,0,,13,"""worldInfoId"" : 211010,
""pos"":""-3190, 7210""",46,,46,,,6,,11,,,,,,,0
211010301,2110103,0,11,2,1,4,1,0,0,100,BP_Gadget_StoneFragment_03,211010,1,1,0,0,0,0,1,-2640,8950,340,0,45,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211010401,2110104,0,11,2,1,4,1,0,0,100,BP_Gadget_StoneFragment_03,211010,1,1,0,0,0,0,1,-3740,8950,340,0,-45,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211010501,2110105,0,11,2,1,4,1,0,0,100,BP_Gadget_StoneFragment_03,211010,1,1,0,0,0,0,1,-3740,10060,340,0,-135,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211010601,2110106,0,11,2,1,4,1,0,0,100,BP_Gadget_StoneFragment_03,211010,1,1,0,0,0,0,1,-2640,10060,340,0,-225,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211010701,2110107,0,11,2,1,4,1,0,0,100,BP_Event_box_1,211010,1,1,0,0,0,0,1,0,4710,350,0,0,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211010801,2110108,0,11,2,0,0,0,0,0,100,BP_Event_box_2,211010,0,1,0,0,0,0,1,0,4710,350,0,0,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211010901,2110109,0,11,2,1,2,0,0,0,100,BP_Hardin_Down,211010,0,1,0,0,0,0,1,310,3920,340,0,175,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211011001,2110110,0,11,0,0,0,0,0,0,0,BP_CrumaCore_Bottom,211010,1,1,0,0,0,0,1,0,740,340,0,90,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211011101,2110111,0,11,2,1,2,1,0,0,100,BP_Gadget_CrumaPillar,211010,1,1,0,0,0,0,1,2170,4710,420,0,0,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211011201,2110112,0,11,2,0,0,0,0,0,100,BP_Gadget_CrumaPillar_Stop,211010,0,1,0,0,0,0,1,2170,4710,420,0,0,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211011301,2110113,0,11,2,1,2,1,0,0,100,BP_Gadget_CrumaPillar,211010,1,1,0,0,0,0,1,-2160,4710,420,0,0,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211011401,2110114,0,11,2,0,0,0,0,0,100,BP_Gadget_CrumaPillar_Stop,211010,0,1,0,0,0,0,1,-2160,4710,420,0,0,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211011501,2110115,0,11,2,1,3,1,0,0,100,BP_Gadget_StoneFragment_03,211010,1,1,0,0,0,0,1,610,8950,340,0,45,0,0,,46,,46,,46,,,6,,11,,,,,,,0
211011601,2110116,0,11,2,1,3,1,0,0,100,BP_Gadget_StoneFragment_03,211010,1,1,0,0,0,0,1,-570,8950,340,0,-45,0,0,,46,,46,,46,,,6,,11,,,,,,,0
