Id,ColorType,ColorCode,AcquireGuildLevel,ColorChangeItem,ColorChangeCount
1001,115,0x0A2706FF,1,1305101,3
1002,115,0x00143CFF,1,1305101,3
1003,115,0xBC1A00FF,1,1305101,3
1004,115,0xE67F14FF,10,1305102,3
1005,115,0x2E0021FF,10,1305102,3
1006,115,0x002DDAFF,20,1305102,5
1007,115,0xBC0001FF,20,1305102,5
1008,115,0x450001FF,20,1305103,3
1009,115,0x060606FF,30,1305103,5
1010,115,0xFFFFFFFF,30,1305103,5
2001,116,0x0A2706FF,1,1305001,3
2002,116,0x00143CFF,1,1305001,3
2003,116,0xBC1A00FF,1,1305001,3
2004,116,0xE67F14FF,10,1305002,3
2005,116,0x2E0021FF,10,1305002,3
2006,116,0x002DDAFF,20,1305002,5
2007,116,0xBC0001FF,20,1305002,5
2008,116,0x450001FF,20,1305003,3
2009,116,0x060606FF,30,1305003,5
2010,116,0xFFFFFFFF,30,1305003,5
