Index,Id,BoxType,BoxItemInfoId,MinItemCount
1,910002,2,440001,1
1000,910003,0,440001,1
2000,910004,0,410001,1
2001,910004,0,410002,1
2002,910004,0,410003,1
3000,910005,0,410011,1
3001,910005,0,410012,1
3002,910005,0,410013,1
4000,910006,0,420001,1
4001,910006,0,420002,1
4002,910006,0,420003,1
5000,910007,0,450001,1
5001,910007,0,450002,1
5002,910007,0,450003,1
5003,910007,0,450004,1
6000,910008,0,452001,1
6001,910008,0,452002,1
6002,910008,0,452003,1
6003,910008,0,452004,1
7000,910012,2,450001,1
7001,910012,2,450002,1
7002,910012,2,450003,1
7003,910012,2,450004,1
7004,910012,2,452001,1
7005,910012,2,452002,1
7006,910012,2,452003,1
7007,910012,2,452004,1
7008,910012,2,450001,1
7009,910012,2,450002,1
7010,910012,2,450003,1
7011,910012,2,450004,1
8000,910309,1,490049,1
8001,910309,1,490049,3
8002,910309,1,490049,5
8003,910309,1,490049,7
8004,910309,1,490049,10
8005,910309,1,490049,12
8006,910309,1,490049,15
8007,910309,1,490049,20
8008,910309,1,490049,30
8009,910309,1,490049,50
9000,910101,1,110010,1
9001,910101,1,110020,1
9002,910101,1,110030,1
9003,910101,1,120010,1
9004,910101,1,120020,1
9005,910101,1,120030,1
9006,910101,1,130010,1
9007,910101,1,130020,1
9008,910101,1,130030,1
9009,910101,1,140010,1
9010,910101,1,140020,1
9011,910101,1,140030,1
9012,910101,1,150010,1
9013,910101,1,150020,1
9014,910101,1,150030,1
9015,910101,1,160010,1
9016,910101,1,160020,1
9017,910101,1,160030,1
9024,910101,1,210010,1
9025,910101,1,220010,1
9026,910101,1,230010,1
9027,910101,1,240010,1
9028,910101,1,210020,1
9029,910101,1,220020,1
9030,910101,1,230020,1
9031,910101,1,240020,1
9032,910101,1,210030,1
9033,910101,1,220030,1
9034,910101,1,230030,1
9035,910101,1,240030,1
9036,910101,1,210040,1
9037,910101,1,220040,1
9038,910101,1,230040,1
9039,910101,1,240040,1
9040,910101,1,210050,1
9041,910101,1,220050,1
9042,910101,1,230050,1
9043,910101,1,240050,1
9044,910101,1,210060,1
9045,910101,1,220060,1
9046,910101,1,230060,1
9047,910101,1,240060,1
9060,910101,1,310001,1
9061,910101,1,320001,1
9062,910101,1,330001,1
9063,910101,1,310011,1
9064,910101,1,320011,1
9065,910101,1,330011,1
9066,910101,1,310021,1
9067,910101,1,320021,1
9068,910101,1,330021,1
9069,910101,1,310031,1
9070,910101,1,320031,1
9071,910101,1,330031,1
9072,910101,1,310041,1
9073,910101,1,320041,1
9074,910101,1,330041,1
9075,910101,1,310051,1
9076,910101,1,320051,1
9077,910101,1,330051,1
10000,910102,1,110010,1
10001,910102,1,110020,1
10002,910102,1,110030,1
10003,910102,1,120010,1
10004,910102,1,120020,1
10005,910102,1,120030,1
10006,910102,1,130010,1
10007,910102,1,130020,1
10008,910102,1,130030,1
10009,910102,1,140010,1
10010,910102,1,140020,1
10011,910102,1,140030,1
10012,910102,1,150010,1
10013,910102,1,150020,1
10014,910102,1,150030,1
10015,910102,1,160010,1
10016,910102,1,160020,1
10017,910102,1,160030,1
11000,910103,1,210010,1
11001,910103,1,220010,1
11002,910103,1,230010,1
11003,910103,1,240010,1
11004,910103,1,210020,1
11005,910103,1,220020,1
11006,910103,1,230020,1
11007,910103,1,240020,1
11008,910103,1,210030,1
11009,910103,1,220030,1
11010,910103,1,230030,1
11011,910103,1,240030,1
11012,910103,1,210040,1
11013,910103,1,220040,1
11014,910103,1,230040,1
11015,910103,1,240040,1
11016,910103,1,210050,1
11017,910103,1,220050,1
11018,910103,1,230050,1
11019,910103,1,240050,1
11020,910103,1,210060,1
11021,910103,1,220060,1
11022,910103,1,230060,1
11023,910103,1,240060,1
12000,910104,1,310001,1
12001,910104,1,320001,1
12002,910104,1,330001,1
12003,910104,1,310011,1
12004,910104,1,320011,1
12005,910104,1,330011,1
12006,910104,1,310021,1
12007,910104,1,320021,1
12008,910104,1,330021,1
12009,910104,1,310031,1
12010,910104,1,320031,1
12011,910104,1,330031,1
12012,910104,1,310041,1
12013,910104,1,320041,1
12014,910104,1,330041,1
12015,910104,1,310051,1
12016,910104,1,320051,1
12017,910104,1,330051,1
13000,910111,1,110011,1
13001,910111,1,110021,1
13002,910111,1,110031,1
13003,910111,1,120011,1
13004,910111,1,120021,1
13005,910111,1,120031,1
13006,910111,1,130011,1
13007,910111,1,130021,1
13008,910111,1,130031,1
13009,910111,1,140011,1
13010,910111,1,140021,1
13011,910111,1,140031,1
13012,910111,1,150011,1
13013,910111,1,150021,1
13014,910111,1,150031,1
13015,910111,1,160011,1
13016,910111,1,160021,1
13017,910111,1,160031,1
13024,910111,1,210011,1
13025,910111,1,220011,1
13026,910111,1,230011,1
13027,910111,1,240011,1
13028,910111,1,210021,1
13029,910111,1,220021,1
13030,910111,1,230021,1
13031,910111,1,240021,1
13032,910111,1,210031,1
13033,910111,1,220031,1
13034,910111,1,230031,1
13035,910111,1,240031,1
13036,910111,1,210041,1
13037,910111,1,220041,1
13038,910111,1,230041,1
13039,910111,1,240041,1
13040,910111,1,210051,1
13041,910111,1,220051,1
13042,910111,1,230051,1
13043,910111,1,240051,1
13044,910111,1,210061,1
13045,910111,1,220061,1
13046,910111,1,230061,1
13047,910111,1,240061,1
13060,910111,1,310002,1
13061,910111,1,320002,1
13062,910111,1,330002,1
13063,910111,1,310012,1
13064,910111,1,320012,1
13065,910111,1,330012,1
13066,910111,1,310022,1
13067,910111,1,320022,1
13068,910111,1,330022,1
13069,910111,1,310032,1
13070,910111,1,320032,1
13071,910111,1,330032,1
13072,910111,1,310042,1
13073,910111,1,320042,1
13074,910111,1,330042,1
13075,910111,1,310052,1
13076,910111,1,320052,1
13077,910111,1,330052,1
14000,910112,1,110011,1
14001,910112,1,110021,1
14002,910112,1,110031,1
14003,910112,1,120011,1
14004,910112,1,120021,1
14005,910112,1,120031,1
14006,910112,1,130011,1
14007,910112,1,130021,1
14008,910112,1,130031,1
14009,910112,1,140011,1
14010,910112,1,140021,1
14011,910112,1,140031,1
14012,910112,1,150011,1
14013,910112,1,150021,1
14014,910112,1,150031,1
14015,910112,1,160011,1
14016,910112,1,160021,1
14017,910112,1,160031,1
15000,910113,1,210011,1
15001,910113,1,220011,1
15002,910113,1,230011,1
15003,910113,1,240011,1
15004,910113,1,210021,1
15005,910113,1,220021,1
15006,910113,1,230021,1
15007,910113,1,240021,1
15008,910113,1,210031,1
15009,910113,1,220031,1
15010,910113,1,230031,1
15011,910113,1,240031,1
15012,910113,1,210041,1
15013,910113,1,220041,1
15014,910113,1,230041,1
15015,910113,1,240041,1
15016,910113,1,210051,1
15017,910113,1,220051,1
15018,910113,1,230051,1
15019,910113,1,240051,1
15020,910113,1,210061,1
15021,910113,1,220061,1
15022,910113,1,230061,1
15023,910113,1,240061,1
16000,910114,1,310002,1
16001,910114,1,320002,1
16002,910114,1,330002,1
