Id,TextParam1,BuffType,ClientType,Param,TextParam2,Group,StackCount,Duration,Period,VisualEffectId,ExtendVisualEffectId,ExceptRoomType,IconTexture,CameraShake,CameraShakeIntensity,Sound
1001,,7,2,,,1003,1,2000,,,,,,,,
1002,,7,2,,,1003,1,2000,,,,,,,,
1003,,7,2,,,1003,1,2500,,,,,,,,
1004,,7,0,,,,1,10000,,,,,Icon_Buff_Invincible,,,
1005,,7,0,,,,1,10000,,,,,Icon_Buff_Invincible,,,
1011,,7,4,,,1002,1,2000,,1,,,,,,
10111,,7,2,,,1003,1,2000,,,,,,,,
10122,,7,0,,,1001,1,4000,,,,,Icon_Skill_Active_10122,,,
11211,,7,0,,,,1,8000,,,,,Icon_Skill_Active_11211,,,
112124,,7,10,,,,1,4000,,,,,Icon_Skill_Active_11212,,,
112125,,7,0,,,,1,8001,,,,,Icon_Skill_Active_11212,,,
112126,,7,0,,,,1,8000,,,,,,,,
11213,,7,0,,,,1,15001,,,,,Icon_Skill_Active_11213,,,
11221,,7,0,,,,1,6000,,,,,Icon_Skill_Active_11221,,,
11222,,7,4,,,1002,1,2000,,1,,,Icon_Skill_Active_11222,,,
112231,,7,0,,,,1,15001,,,,,Icon_Skill_Active_11223,,,
11231,,7,0,,,,1,10001,,,,,Icon_Skill_Active_11231,,,
11232,,7,4,,,1002,1,3000,,1,,,Icon_Skill_Active_11232,,,
112331,,7,0,,,,1,15001,,,,,Icon_Skill_Active_11233,,,
112332,,7,0,,,,1,15001,,,,,Icon_Skill_Active_11233,,,
11242,,7,0,,,,1,3000,,,,,Icon_Skill_Active_11242,,,
11243,,7,0,,,,1,15001,,,,,Icon_Skill_Active_11243,,,
11244,,7,0,,,,1,20001,,,,,Icon_Skill_Active_11244,,,
11251,,7,0,,,,1,3000,1000,,,,Icon_Skill_Active_14241,,,
112531,,7,0,,,,1,90001,,,,,Icon_Skill_Active_11253,,,
11261,,7,2,,,1003,1,2500,,,,,,,,
11262,,7,0,,,,1,6000,1000,,,,Icon_Skill_Active_11262,,,
12211,,7,0,,,,1,8005,,,,,Icon_Skill_Active_12211,,,
12212,,7,0,,,,1,2000,,,,,Icon_Skill_Active_12212,,,
122131,,7,0,,,,1,5001,,,,,Icon_Skill_Active_12213,,,
122132,,7,0,,,,1,15001,,,,,Icon_Skill_Active_12213,,,
12221,,7,0,,,,1,5001,,,,,Icon_Skill_Active_12221,,,
122231,,7,0,,,,1,90001,,,,,Icon_Skill_Active_12223,,,
122241,,7,0,,,,1,30001,,,,,Icon_Skill_Active_12224,,,
12231,,7,0,,,1001,1,5001,,,,,Icon_Skill_Active_12231,,,
12232,,7,4,,,1002,1,3001,,1,,,Icon_Skill_Active_12232,,,
12233,,7,0,,,,1,20001,,,,,Icon_Skill_Active_12233,,,
12241,,7,0,,,,1,1000,,,,,Icon_Skill_Active_12241,,,
12242,,7,0,,,,1,10001,,,,,Icon_Skill_Active_12242,,,
122431,,7,0,,,,1,30001,,,,,Icon_Skill_Active_12243,,,
122441,,7,0,,,,1,30001,,,,,Icon_Skill_Active_12244,,,
12251,,7,0,,,1001,1,5000,,,,,Icon_Skill_Active_12251,,,
12252,,7,0,,,1001,1,5000,,,,,Icon_Skill_Active_12252,,,
122521,,7,4,,,1002,1,2000,,1,,,Icon_Skill_Active_12252,,,
122614,,7,0,,,,1,6000,,,,,Icon_Debuff_Slow,,,
122615,,7,0,,,,1,7000,,,,,Icon_Skill_Active_12261,,,
12263,,7,0,,,,1,3000,,,,,Icon_Skill_Active_12262,,,
122631,,7,0,,,,1,20001,,,,,Icon_Skill_Active_12263,,,
12264,,7,0,,,,1,40001,,,,,Icon_Skill_Active_12264,,,
13211,,7,0,,,,1,5000,,,,,Icon_Skill_Active_13211,,,
132125,,7,4,,,1002,1,2500,,1,,,Icon_Skill_Active_13212,,,
132126,,7,0,,,,1,8005,,,,,Icon_Skill_Active_13212,,,
13213,,7,0,,,,1,15001,,,,,Icon_Skill_Active_13213,,,
132132,,7,0,,,,1,5001,,,,,Icon_Skill_Active_13213,,,
13222,,7,0,,,1001,1,3000,,,,,Icon_Skill_Active_13222,,,
132221,,7,0,,,,1,7001,,,,,Icon_Skill_Active_13222,,,
132231,,7,0,,,,1,40001,,,,,Icon_Skill_Active_13223,,,
132241,,7,0,,,,1,40001,,,,,Icon_Skill_Active_13224,,,
13231,,5,0,,,,3,3000,500,,,,Icon_Skill_Active_13231,,,
13232,,5,0,,,,3,3000,500,,,,Icon_Skill_Active_13232,,,
132322,,7,4,,,1002,1,2000,,1,,,Icon_Skill_Active_13232,,,
132331,,7,0,,,,1,20001,,,,,Icon_Skill_Active_13233,,,
132332,,7,0,,,,1,4001,,,,,Icon_Skill_Active_13233,,,
13242,,7,4,,,1002,1,3001,,1,,,Icon_Skill_Active_13242,,,
13243,,7,0,,,,1,15001,,,,,Icon_Skill_Active_13243,,,
13244,,7,0,,,,1,15001,,,,,Icon_Skill_Active_13244,,,
13251,,7,0,,,,1,3000,,,,,Icon_Skill_Active_13251,,,
13252,,7,0,,,,1,2500,,,,,Icon_Skill_Active_13252,,,
132531,,7,0,,,,1,15001,,,,,Icon_Skill_Active_13253,,,
132623,,7,0,,,1001,1,4000,,,,,Icon_Skill_Active_13262,,,
132624,,7,0,,,,1,10000,,,,,Icon_Skill_Active_13262,,,
132631,,7,0,,,,1,5001,,,,,Icon_Skill_Active_13263,,,
132632,,7,0,,,,1,5001,5000,,,,,,,
14211,,7,0,,,,1,8005,,,,,Icon_Skill_Active_14211,,,
14212,,7,4,,,,1,2500,,1,,,Icon_Skill_Active_14212,,,
14213,,7,0,,,,1,8501,,,,,Icon_Skill_Active_14212,,,
14222,,7,2,,,,1,2500,,,,,Icon_Skill_Active_14222,,,
14223,,7,0,,,,1,15001,,,,,Icon_Skill_Active_14223,,,
14231,,7,0,,,,1,10000,,,,,Icon_Skill_Active_14231,,,
14232,,7,0,,,1101,1,10000,,,,,Icon_Skill_Active_14232,,,
142321,,7,11,,,,1,5000,,,,,Icon_Skill_Active_14232,,,
142331,,7,0,,,9001,1,60001,,,,,Icon_Skill_Active_14233,,,
242331,,6,0,,,,1,10001,500,,,,Icon_Skill_Active_14233,,,
14241,,7,0,,,,1,4000,800,,,,Icon_Skill_Active_14241,,,
14242,,7,0,,,,1,4000,,,,,Icon_Skill_Active_14242,,,
142422,,7,0,,,,1,5000,,,,,Icon_Skill_Active_14242,,,
14251,,7,2,,,,1,3000,,,,,Icon_Skill_Active_14251,,,
142531,,7,0,,,,1,30001,,,,,Icon_Skill_Active_14253,,,
14261,,7,0,,,,1,10000,,,,,Icon_Skill_Active_14261,,,
14262,,7,4,,,1002,1,2500,,1,,,Icon_Skill_Active_14262,,,
142631,,7,0,,,,1,180001,,,,,Icon_Skill_Active_14263,,,
20211,,4,14,,,,1,0,,,,,Icon_Skill_Passive_20211,,,
20221,,4,14,,,,1,0,,,,,Icon_Skill_Passive_20221,,,
20231,,4,14,,,,1,0,,,,,Icon_Skill_Passive_20231,,,
20241,,4,14,,,,1,0,,,,,Icon_Skill_Passive_20241,,,
20251,,4,14,,,,1,0,,,,,Icon_Skill_Passive_20251,,,
20261,,4,14,,,,1,0,,,,,Icon_Skill_Passive_20261,,,
21221,,7,0,,,,1,6002,,,,,Icon_Skill_Passive_21221,,,
21231,,7,0,,,,1,6002,,,,,Icon_Skill_Passive_21231,,,
212311,,7,0,,,,1,3002,,,,,Icon_Skill_Passive_21231,,,
21241,,7,0,,,,1,3002,,,,,Icon_Skill_Passive_21241,,,
21242,,7,0,,,,1,3002,1000,,,,Icon_Skill_Passive_21241,,,
21251,,7,0,,,,1,10000,1000,,,,Icon_Skill_Passive_21251,,,
212512,,7,0,,,,1,6002,,,,,Icon_Skill_Passive_21251,,,
212611,,7,0,,,,1,0,,,,,Icon_Skill_Passive_21261,,,
212621,,7,0,,,,1,0,,,,,Icon_Skill_Passive_21262,,,
22211,,7,0,,,,1,5002,,,,,Icon_Skill_Passive_22211,,,
22221,,7,0,,,,1,5002,,,,,Icon_Skill_Passive_22221,,,
22231,,7,0,,,,10,5002,,,,,Icon_Skill_Passive_22231,,,
22241,,7,0,,,,1,6002,,,,,Icon_Skill_Passive_22241,,,
22261,,7,0,,,,1,5002,,,,,Icon_Skill_Passive_22261,,,
23211,,7,0,,,,1,6002,,,,,Icon_Skill_Passive_23211,,,
23221,,7,0,,,,1,6002,,,,,Icon_Skill_Passive_23221,,,
23231,,7,0,,,,1,3002,,,,,Icon_Skill_Passive_23231,,,
23241,,7,0,,,,1,6002,,,,,Icon_Skill_Passive_23241,,,
23251,,7,0,,,,1,6002,,,,,Icon_Skill_Passive_23251,,,
23261,,4,0,,,,1,0,,,,,Icon_Skill_Passive_23261,,,
24211,,7,0,,,,1,10000,,,,,Icon_Skill_Passive_24211,,,
242121,,7,0,,,,1,1002,,,,,Icon_Skill_Active_24212,,,
24221,,7,0,,,,1,6002,,,,,Icon_Skill_Passive_24221,,,
242231,,7,0,,,,1,6502,,,,,Icon_Skill_Passive_24223,,,
24231,,7,0,,,,1,6002,,,,,Icon_Skill_Passive_24231,,,
242321,,7,0,,,,1,6002,,,,,Icon_Skill_Passive_24232,,,
24241,,7,0,,,,1,5002,,,,,Icon_Skill_Passive_24241,,,
242421,,7,4,,,1002,1,500,,1,,,Icon_Skill_Active_24242,,,
2424211,,7,0,,,,1,6002,,,,,Icon_Skill_Active_24242,,,
24251,,7,0,,,,1,6002,,,,,Icon_Skill_Passive_24251,,,
24252,,7,0,,,,1,6002,,,,,Icon_Skill_Passive_24252,,,
24261,,4,0,,,,1,0,,,,,Icon_Skill_Passive_24261,,,
30001,,7,0,,,,1,10000,,30001,,,Icon_Skill_Unique_30001,,,
30002,,7,14,,,5001,1,10000,,,,,Icon_Skill_Unique_30002,,,
30003,,7,14,,,,1,10000,,,,,Icon_Skill_Unique_30003,,,
30004,,7,14,,,,1,3000,500,,,,Icon_Skill_Unique_30012,,,
30006,,7,4,,,1002,1,1003,,1,,,Icon_Skill_Unique_30006,,,
30008,,7,14,,,,1,20000,,,,,Icon_Skill_Unique_30008,,,
30010,,7,14,,,,1,20000,,,,,Icon_Skill_Unique_30010,,,
30013,,7,14,,,,1,20000,,,,,Icon_Skill_Unique_30013,,,
