Id,Type,Grade,ActivityType,ActivityVolatile,ActivityCondition1,ActivityCondition2,StatType1,StatValue1,StatType2,StatValue2,StatType3,StatValue3,StatType4,StatValue4,BattlePointRating,TitleIcon,TitleIcon2,FontColor,DisplayHide
1000100,1,0,9,0,10000000,3,44,147,126,0,126,0,126,0,220,UI_CharacterTitle01,,B7B7B7FF,0
1000200,0,0,0,0,50710,3,46,147,126,0,126,0,126,0,147,UI_CharacterTitle01,,B7B7B7FF,0
1000300,0,0,0,0,21410,3,41,78,126,0,126,0,126,0,15,UI_CharacterTitle01,,B7B7B7FF,0
1000400,0,0,0,0,50310,3,50,78,126,0,126,0,126,0,11,UI_CharacterTitle01,,B7B7B7FF,0
1000500,0,0,0,0,40110,3,23,147,126,0,126,0,126,0,147,UI_CharacterTitle01,,B7B7B7FF,0
1000600,0,0,0,0,10110,3,20,147,126,0,126,0,126,0,147,UI_CharacterTitle01,,B7B7B7FF,0
1000800,1,0,1,0,10000,3,46,164,126,0,126,0,126,0,164,UI_CharacterTitle01,,B7B7B7FF,0
1000900,1,0,9,0,10000,3,41,87,126,0,126,0,126,0,17,UI_CharacterTitle01,,B7B7B7FF,0
1001000,1,0,8,0,10000,3,50,87,126,0,126,0,126,0,13,UI_CharacterTitle01,,B7B7B7FF,0
1001200,0,0,0,0,42110,3,20,147,126,0,126,0,126,0,147,UI_CharacterTitle01,,B7B7B7FF,0
1001300,0,0,0,0,41210,3,44,173,126,0,126,0,126,0,259,UI_CharacterTitle01,,B7B7B7FF,0
1001400,0,0,0,0,32810,3,46,173,126,0,126,0,126,0,173,UI_CharacterTitle01,,B7B7B7FF,0
1001500,0,0,0,0,30110,3,41,92,126,0,126,0,126,0,18,UI_CharacterTitle01,,B7B7B7FF,0
1001600,0,0,0,0,41310,3,50,92,126,0,126,0,126,0,13,UI_CharacterTitle01,,B7B7B7FF,0
1001700,0,0,0,0,11510,3,23,173,126,0,126,0,126,0,173,UI_CharacterTitle01,,B7B7B7FF,0
1001800,0,0,0,0,21210,3,20,173,126,0,126,0,126,0,173,UI_CharacterTitle01,,B7B7B7FF,0
1001900,0,0,0,0,41410,3,44,170,126,0,126,0,126,0,255,UI_CharacterTitle01,,B7B7B7FF,0
2000200,1,1,1,0,5000,3,16,168,17,168,126,0,126,0,504,UI_CharacterTitle02,,D2FFA5FF,0
2000300,1,1,9,0,5000,3,44,246,41,122,126,0,126,0,393,UI_CharacterTitle02,,D2FFA5FF,0
2000400,1,1,8,0,5000,3,46,246,50,122,126,0,126,0,264,UI_CharacterTitle02,,D2FFA5FF,0
2000600,0,1,0,0,21010,3,34,6,20,236,126,0,126,0,251,UI_CharacterTitle02,,D2FFA5FF,0
2000700,0,1,0,0,30710,3,0,144,1,144,126,0,126,0,720,UI_CharacterTitle02,,D2FFA5FF,0
2000900,0,1,0,0,31210,3,44,243,41,120,126,0,126,0,388,UI_CharacterTitle02,,D2FFA5FF,0
2001000,0,1,0,0,32910,3,46,243,50,120,126,0,126,0,261,UI_CharacterTitle02,,D2FFA5FF,0
2001100,0,1,0,0,41710,3,30,5,23,233,126,0,126,0,245,UI_CharacterTitle02,,D2FFA5FF,0
2001200,0,1,0,0,41110,3,34,5,20,233,126,0,126,0,245,UI_CharacterTitle02,,D2FFA5FF,0
2001300,0,1,0,0,41610,3,0,147,1,147,126,0,126,0,735,UI_CharacterTitle02,,D2FFA5FF,0
2001400,0,1,0,0,31410,3,16,169,17,169,126,0,126,0,507,UI_CharacterTitle02,,D2FFA5FF,0
2001500,0,1,0,0,40810,3,44,247,41,122,126,0,126,0,394,UI_CharacterTitle02,,D2FFA5FF,0
2001600,0,1,0,0,40910,3,46,247,50,122,126,0,126,0,265,UI_CharacterTitle02,,D2FFA5FF,0
2001800,0,1,0,0,31510,3,34,6,20,237,126,0,126,0,252,UI_CharacterTitle02,,D2FFA5FF,0
2001900,0,1,0,0,41010,3,44,246,41,122,126,0,126,0,393,UI_CharacterTitle02,,D2FFA5FF,0
2002000,0,1,0,0,10610,3,46,246,50,122,126,0,126,0,264,UI_CharacterTitle02,,D2FFA5FF,0
2002100,0,1,0,0,31610,3,30,6,23,236,126,0,126,0,251,UI_CharacterTitle02,,D2FFA5FF,0
3000200,1,2,1,0,100,3,16,307,17,307,50,187,126,0,949,UI_CharacterTitle03,,C5EFFFFF,0
3000300,1,2,9,0,100,3,44,370,80,106,23,354,126,0,1121,UI_CharacterTitle03,,C5EFFFFF,0
3000500,1,2,8,0,100,3,44,366,80,104,30,9,126,0,779,UI_CharacterTitle03,,C5EFFFFF,0
3000700,1,2,16,0,1201001,3,44,366,80,104,23,350,126,0,1107,UI_CharacterTitle03,,C5EFFFFF,1
3000900,0,2,0,0,31810,3,0,273,1,273,41,190,126,0,1403,UI_CharacterTitle03,,C5EFFFFF,0
3001000,0,2,0,0,31710,3,16,314,17,314,50,190,126,0,970,UI_CharacterTitle03,,C5EFFFFF,0
3100100,1,2,5,1,,3,0,297,1,297,41,207,126,0,1526,UI_CharacterTitle05_Frame_FortressKing,UI_CharacterTitle05_Icon_FortressKing,C5EFFFFF,0
3100200,1,2,7,1,,3,16,342,17,342,50,207,126,0,1057,UI_CharacterTitle05_Frame_FortressKing,UI_CharacterTitle05_Icon_FortressKing,C5EFFFFF,0
