Id,GroupId,StepId,TaskCondition,RepeatContition,RewardItemInfoId1,RewardItemValue1,RewardItemInfoId2,RewardItemValue2,RewardItemInfoId3,RewardItemValue3,RewardItemInfoId4,RewardItemValue4
1000,1000,1,1,0,910131,1,,,,,,
1001,1000,2,1,0,910132,1,,,,,,
1002,1000,3,1,0,910133,1,,,,,,
1003,1000,4,1,0,910134,1,,,,,,
1004,1000,5,1,0,910141,1,,,,,,
1005,1000,6,2,0,910142,1,910142,1,,,,
1006,1000,7,2,0,910143,1,910143,1,,,,
1007,1000,8,2,0,910144,1,910144,1,,,,
1008,1000,9,2,0,910141,1,910141,1,,,,
1009,1000,10,30,1,910151,2,910151,2,910151,2,910151,2
