ShopId,ProductType,ProductValue,ItemType,Grade,ItemInfoId,ProductItemType,BuffInfoId,RateRevisionGrade,RateRevisionValue,GachaIconGradeMin,GachaIconGradeMax
1001,1,20000,98,8,,1,,8,,8,8
1002,1,42000,98,8,,1,,8,,8,8
1003,1,88000,98,8,,1,,8,,8,8
1004,1,184000,98,8,,1,,8,,8,8
1005,1,384000,98,8,,1,,8,,8,8
1006,1,800000,98,8,,1,,8,,8,8
3001,1005,1,38,8,900002,1,,8,,4,6
3002,100,1,6,8,410011,1,,8,,8,8
3003,100,1,5,8,410012,1,,8,,8,8
3004,100,1,4,8,410013,1,,8,,8,8
3005,100,1,17,8,400000,1,,8,,8,8
3006,100,1,32,6,490026,1,,8,,8,8
3007,100,1,33,4,490027,1,,8,,8,8
3008,100,1,33,5,490037,1,,8,,8,8
3009,100,1,33,6,490038,1,,8,,8,8
3011,1005,1,38,8,900022,1,,8,,4,6
4001,100,20,13,8,440001,1,,8,,8,8
4002,100,200,13,8,440001,1,,8,,8,8
4003,100,20,13,8,440002,1,,8,,8,8
4004,100,200,13,8,440002,1,,8,,8,8
4005,100,20,15,8,440011,1,,8,,8,8
4006,100,200,15,8,440011,1,,8,,8,8
4007,100,20,15,8,440012,1,,8,,8,8
4008,100,200,15,8,440012,1,,8,,8,8
4009,100,500,18,8,400001,1,,8,,8,8
4010,100,5000,18,8,400001,1,,8,,8,8
4013,100,1,39,8,490000,1,,8,,8,8
4014,100,10,39,8,490000,1,,8,,8,8
4018,100,1,39,8,490000,1,,8,,8,8
4019,100,10,39,8,490000,1,,8,,8,8
4100,100,1,43,8,910316,1,,8,,8,8
4101,100,50,40,8,449999,1,,8,,8,8
4105,100,1,64,8,510107,1,,8,,8,8
4106,100,1,64,8,510108,1,,8,,8,8
4107,100,1,64,8,510109,1,,8,,8,8
4108,100,1,64,8,510110,1,,8,,8,8
5002,1001,1,38,8,900008,1,,8,,3,6
5002,5,0,98,8,,2,,8,,8,8
5002,100,1,11,8,10032,14,,8,,8,8
5003,1001,11,38,8,900008,1,,4,1,3,6
