Order,Type,ShopType,Display,IconTexture,BadgeType,IsAnnuity,ButtonShopEffect,ShopClosedImage
90000,49,8,0,,240,0,0,Ui_GoodsShop_Item_Close
91000,50,8,0,,240,0,1,
92000,51,8,0,,240,0,0,Ui_GoodsShop_Item_Close
93000,52,8,0,,240,0,1,
94000,53,8,0,,240,0,0,Ui_GoodsShop_Item_Close
95000,54,8,0,,240,0,1,
96000,55,8,0,,240,0,0,Ui_GoodsShop_Item_Close
97000,56,8,0,,240,0,1,
99,60,1,1,,90,0,0,
200,2,1,1,,91,0,0,
300,4,1,1,,93,0,0,
350,29,1,1,,240,0,0,
400,5,1,1,,240,0,0,
500,6,1,1,,94,0,0,
600,1,1,1,,90,0,0,
700,7,1,1,,95,0,0,
800,9,1,1,,97,0,0,
1800,11,4,1,,83,1,0,
1900,21,4,1,,84,1,0,
2000,26,4,1,,222,1,0,
2300,22,4,1,,179,1,0,
2400,27,4,1,,223,1,0,
2700,10,7,1,,100,0,0,
2800,12,4,1,,101,1,0,
2900,20,7,1,,102,0,0,
3000,30,7,1,,103,0,0,
3100,37,6,1,,240,0,0,
3400,32,6,1,,240,0,0,
3500,33,6,1,,240,0,0,
3600,34,6,1,,240,0,0,
3700,35,6,1,,240,0,0,
3800,36,6,1,,240,0,0,
4000,40,9,1,,240,0,0,
