Id,WorldId,NpcId,GroupId,AlertType,AlertParam,DialogKey,Summon
1,300203,300301,10001,0,300306,DUNGEON_ALERT_NPCSPAWN,300306
2,300203,300301,10002,2,"300301, 17200091",DUNGEON_ALERT_QUEENANT_BERSERKER,0
3,300,40074,3001101,4,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
4,300,40074,3001102,5,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
5,300,40074,3001103,5,4011042,DUNGEON_ALERT_ALTEROFMADNESS_FIRESEED_SELF,0
6,300,40075,3001201,0,40073,DUNGEON_ALERT_NPCSPAWN,40073
7,300,40075,3001202,0,40081,DUNGEON_ALERT_NPCSPAWN,40081
8,300,40074,3002101,4,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
9,300,40014,3002102,5,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
10,300,40014,3002103,5,4011042,DUNGEON_ALERT_ALTEROFMADNESS_FIRESEED_SELF,0
11,300,40015,3002201,0,40013,DUNGEON_ALERT_NPCSPAWN,40013
12,300,40015,3002202,0,40084,DUNGEON_ALERT_NPCSPAWN,40084
13,300,40034,3003101,4,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
14,300,40034,3003102,5,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
15,300,40034,3003103,5,4011042,DUNGEON_ALERT_ALTEROFMADNESS_FIRESEED_SELF,0
16,300,40035,3003201,0,40033,DUNGEON_ALERT_NPCSPAWN,40033
17,300,40035,3003202,0,40083,DUNGEON_ALERT_NPCSPAWN,40083
18,300,40054,3004101,4,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
19,300,40054,3004102,5,4011032,DUNGEON_ALERT_ALTEROFMADNESS_TARGETING,0
20,300,40054,3004103,5,4011042,DUNGEON_ALERT_ALTEROFMADNESS_FIRESEED_SELF,0
21,300,40055,3004201,0,40053,DUNGEON_ALERT_NPCSPAWN,40053
22,300,40055,3004202,0,40082,DUNGEON_ALERT_NPCSPAWN,40082
23,301,40183,3011101,2,"40183,411010",DUNGEON_ALERT_BEDROOMOFCONTESSA_LEONARD_ANEMIA,0
24,301,40184,3011201,0,40180,DUNGEON_ALERT_NPCSPAWN,40180
25,301,40184,3011202,9,240,DUNGEON_ALERT_BEDROOMOFCONTESSA_ZAKEN_WARNING,0
26,301,40184,3011203,5,411019,DUNGEON_ALERT_BEDROOMOFCONTESSA_VAMPIRETRANS_SELF,0
27,301,40112,3012101,2,"40112,412010",DUNGEON_ALERT_BEDROOMOFCONTESSA_LEONARD_ANEMIA,0
28,301,40113,3012201,0,40109,DUNGEON_ALERT_NPCSPAWN,40109
29,301,40113,3012202,9,240,DUNGEON_ALERT_BEDROOMOFCONTESSA_ZAKEN_WARNING,0
30,301,40113,3012203,5,412019,DUNGEON_ALERT_BEDROOMOFCONTESSA_VAMPIRETRANS_SELF,0
31,301,40134,3013101,2,"40134,413010",DUNGEON_ALERT_BEDROOMOFCONTESSA_LEONARD_ANEMIA,0
32,301,40134,3013102,2,"40134,413041",DUNGEON_ALERT_BEDROOMOFCONTESSA_LEONARD_BLOODYHELL,0
33,301,40135,3013201,0,40131,DUNGEON_ALERT_NPCSPAWN,40131
34,301,40135,3013202,9,240,DUNGEON_ALERT_BEDROOMOFCONTESSA_ZAKEN_WARNING,0
35,301,40135,3013203,5,413019,DUNGEON_ALERT_BEDROOMOFCONTESSA_VAMPIRETRANS_SELF,0
36,301,40154,3014101,2,"40154,414010",DUNGEON_ALERT_BEDROOMOFCONTESSA_LEONARD_ANEMIA,0
37,301,40154,3014102,2,"40154,414041",DUNGEON_ALERT_BEDROOMOFCONTESSA_LEONARD_BLOODYHELL,0
38,301,40155,3014201,0,40151,DUNGEON_ALERT_NPCSPAWN,40151
39,301,40155,3014202,9,240,DUNGEON_ALERT_BEDROOMOFCONTESSA_ZAKEN_WARNING,0
40,301,40155,3014203,5,414019,DUNGEON_ALERT_BEDROOMOFCONTESSA_VAMPIRETRANS_SELF,0
