Id,ShopType,TabType,HighendEffect,LimitMinLevel,LimitMaxLevel,MasteryMinLevel,MasteryMaxLevel,NetmarbleSItemId,Display,DisplayOrder,DisplayType,DisplayTypeValue,IsGotcha,CostType,CostValue,PurchaseFree,PurchaseFreeTime,PurchaseLimit,PurchaseLimitValue,LimitPeriodeValue,LimitPeriodStart,LimitPeriodEnd,LeagueLimit,SupportVersion,IconTexture,IconTexture2,PromotionType,RecommendPackage,FlatRatePeriod,RetentionPeriod,EfficiencyRate,ShopServerType
1001,1,6,,,,,,,0,100,10,,0,1,100,0,,8,,,,,,1.0.1,Icon_Shop_Adena_01,,25,0,,,,All
1002,1,6,,,,,,,0,200,10,,0,1,200,0,,8,,,,,,,Icon_Shop_Adena_02,,25,0,,,,All
1003,1,6,,,,,,,0,300,10,,0,1,400,0,,8,,,,,,,Icon_Shop_Adena_03,,25,0,,,,All
1004,1,6,,,,,,,0,400,10,,0,1,800,0,,8,,,,,,,Icon_Shop_Adena_04,,25,0,,,,All
1005,1,6,,,,,,,0,500,10,,0,1,1600,0,,8,,,,,,,Icon_Shop_Adena_05,,2,0,,,,All
1006,1,6,1,,,,,,0,600,10,,0,1,3200,0,,8,,,,,,,Icon_Shop_Adena_06,,2,0,,,,All
3001,1,7,1,,,,,,1,100,10,,1,5,50,0,,4,5,,,,,,Icon_Shop_Gacha_Equipment_03,,25,0,,,,All
3002,1,7,,,,,,,1,500,10,,0,5,60,0,,4,10,,,,,,Icon_Shop_EnchantScroll_04,,25,0,,,,All
3003,1,7,,,,,,,1,600,10,,0,5,60,0,,4,10,,,,,,Icon_Shop_EnchantScroll_05,,25,0,,,,All
3004,1,7,,,,,,,1,700,10,,0,5,60,0,,4,10,,,,,,Icon_Shop_EnchantScroll_06,,25,0,,,,All
3005,1,7,1,,,,,,1,300,10,,0,5,90,0,,4,15,,,,,,Icon_Shop_Protector_01,,2,0,,,,All
3006,1,7,1,,,,,,1,400,10,,0,5,720,0,,4,2,,,,,,Icon_Transcendence_01,,2,0,,,,All
3007,1,7,,,,,,,1,1000,10,,0,5,180,0,,4,3,,,,,,Icon_Transcendence_03,,25,0,,,,All
3008,1,7,,,,,,,1,900,10,,0,5,360,0,,4,3,,,,,,Icon_Transcendence_02,,25,0,,,,All
3009,1,7,1,,,,,,1,800,10,,0,5,720,0,,4,3,,,,,,Icon_Transcendence_04,,2,0,,,,All
3011,1,7,1,,,,,,1,200,10,,1,5,100,0,,4,3,,,,,,Icon_Shop_Gacha_Acc_01,,25,0,,,,All
4001,1,4,,,,,,,0,100,10,,0,0,2400,0,,0,,,,,,,Icon_Shop_HpPotion_01,,25,0,,,,All
4002,1,4,,,,,,,0,200,10,,0,0,21600,0,,0,,,,,,,Icon_Shop_HpPotion_03,,7,0,,,,All
4005,1,4,,,,,,,0,300,10,,0,0,2400,0,,0,,,,,,,Icon_Shop_MpPotion_01,,25,0,,,,All
4006,1,4,,,,,,,0,400,10,,0,0,21600,0,,0,,,,,,,Icon_Shop_MpPotion_02,,7,0,,,,All
4009,1,4,,,,,,,0,500,10,,0,0,5000,0,,0,,,,,,,Icon_SoulShot_01,,25,0,,,,All
