Id,SkillId,CollisionUnitGroup,CollisionUnitType,CollisionUnitParam,TargetType,EffectType,EffectParam,EffectGrowth1,EffectGrowth2,PointCount
11011,1101,,6,,10,16,"0,0,6720,6720",1,1,
11021,1102,,6,,10,16,"0,0,5712,5712",1,1,
11031,1103,,6,,10,16,"0,0,6720,6720",1,1,
11041,1104,,6,,10,16,"0,0,5712,5712",1,1,
11051,1105,,6,,10,16,"0,0,5712,5712",1,1,
11061,1106,,6,,10,16,"0,0,12768,12768",1,1,
11062,1106,,6,,10,8,1002,,,
12011,1201,,6,,10,16,"0,0,5712,5712",1,1,
12021,1202,,6,,10,16,"0,0,4368,4368",1,1,
12031,1203,,6,,10,16,"0,0,5712,5712",1,1,
12041,1204,,6,,10,16,"0,0,6384,6384",1,1,
12051,1205,,6,,10,16,"0,0,7392,7392",1,1,
12061,1206,,6,,10,16,"0,0,13104,13104",1,1,
12062,1206,,6,,10,8,1002,,,
13011,1301,,6,,10,16,"0,0,5040,5040",1,1,
13021,1302,,6,,10,16,"0,0,5712,5712",1,1,
13031,1303,,6,,10,16,"0,0,5040,5040",1,1,
13041,1304,,6,,10,16,"0,0,8400,8400",1,1,
13051,1305,,6,,10,16,"0,0,6048,6048",1,1,
13061,1306,,6,,10,16,"0,0,12768,12768",1,1,
13062,1306,,6,,10,8,1002,,,
14011,1401,,6,,10,16,"0,0,7728,7728",1,1,
14021,1402,,6,,10,16,"0,0,5712,5712",1,1,
14031,1403,,6,,10,16,"0,0,4704,4704",1,1,
14041,1404,,6,,10,16,"0,0,5712,5712",1,1,
14051,1405,,6,,10,16,"0,0,6720,6720",1,1,
14061,1406,,6,,10,16,"0,0,15120,15120",1,1,
14062,1406,,6,,10,8,1002,,,
21011,2101,,6,,10,16,"0,0,10150,10150",1,1,
21021,2102,,6,,10,16,"0,0,5950,5950",1,1,
21031,2103,,6,,10,16,"0,0,5950,5950",1,1,
21041,2104,,6,,10,16,"0,0,8050,8050",1,1,
21051,2105,,6,,10,16,"0,0,11200,11200",1,1,
21061,2106,,6,,10,16,"0,0,13300,13300",1,1,
21062,2106,,6,,10,8,1002,,,
22011,2201,,6,,10,16,"0,0,4988,4988",1,1,
22021,2202,,6,,10,16,"0,0,4323,4323",1,1,
22031,2203,,6,,10,16,"0,0,5985,5985",1,1,
22041,2204,,6,,10,16,"0,0,8313,8313",1,1,
22051,2205,,6,,10,16,"0,0,8978,8978",1,1,
22061,2206,,6,,10,16,"0,0,15295,15295",1,1,
22062,2206,,6,,10,8,1002,,,
23011,2301,,6,,10,16,"0,0,5320,5320",1,1,
23021,2302,,6,,10,16,"0,0,3990,3990",1,1,
23031,2303,,6,,10,16,"0,0,4323,4323",1,1,
23041,2304,,6,,10,16,"0,0,10640,10640",1,1,
23051,2305,,6,,10,16,"0,0,10973,10973",1,1,
23061,2306,,6,,10,16,"0,0,11638,11638",1,1,
23062,2306,,6,,10,8,1002,,,
24011,2401,,6,,10,16,"0,0,5950,5950",1,1,
24021,2402,,6,,10,16,"0,0,11200,11200",1,1,
24031,2403,,6,,10,16,"0,0,5950,5950",1,1,
24041,2404,,6,,10,16,"0,0,10150,10150",1,1,
24051,2405,,6,,10,16,"0,0,7000,7000",1,1,
24061,2406,,6,,10,16,"0,0,15400,15400",1,1,
24062,2406,,6,,10,8,1002,,,
31011,3101,,6,,10,16,"0,0,5653,5653",1,1,
31021,3102,,6,,10,16,"0,0,5653,5653",1,1,
31031,3103,,6,,10,16,"0,0,4655,4655",1,1,
31041,3104,,6,,10,16,"0,0,6650,6650",1,1,
31051,3105,,6,,10,16,"0,0,7648,7648",1,1,
31061,3106,,6,,10,16,"0,0,4655,4655",1,1,
31071,3107,,6,,10,16,"0,0,6650,6650",1,1,
31081,3108,,6,,10,16,"0,0,10640,10640",1,1,
31082,3108,,6,,10,8,1002,,,
32011,3201,,6,,10,16,"0,0,4200,4200",1,1,
32021,3202,,6,,10,16,"0,0,7350,7350",1,1,
32031,3203,,6,,10,16,"0,0,10500,10500",1,1,
32041,3204,,6,,10,16,"0,0,4900,4900",1,1,
32051,3205,,6,,10,16,"0,0,6300,6300",1,1,
32061,3206,,6,,10,16,"0,0,6650,6650",1,1,
32071,3207,,6,,10,16,"0,0,6300,6300",1,1,
32081,3208,,6,,10,16,"0,0,8750,8750",1,1,
32082,3208,,6,,10,8,1002,,,
33011,3301,,6,,10,16,"0,0,5250,5250",1,1,
33021,3302,,6,,10,16,"0,0,4900,4900",1,1,
33031,3303,,6,,10,16,"0,0,6300,6300",1,1,
33041,3304,,6,,10,16,"0,0,6300,6300",1,1,
33051,3305,,6,,10,16,"0,0,7700,7700",1,1,
33061,3306,,6,,10,16,"0,0,3850,3850",1,1,
33071,3307,,6,,10,16,"0,0,5950,5950",1,1,
33081,3308,,6,,10,16,"0,0,13650,13650",1,1,
33082,3308,,6,,10,8,1002,,,
34011,3401,,6,,10,16,"0,0,6983,6983",1,1,
34021,3402,,6,,10,16,"0,0,6318,6318",1,1,
34031,3403,,6,,10,16,"0,0,5985,5985",1,1,
34041,3404,,6,,10,16,"0,0,6983,6983",1,1,
34051,3405,,6,,10,16,"0,0,8313,8313",1,1,
34061,3406,,6,,10,16,"0,0,6983,6983",1,1,
34071,3407,,6,,10,16,"0,0,6983,6983",1,1,
34081,3408,,6,,10,16,"0,0,8978,8978",1,1,
34082,3408,,6,,10,8,1002,,,
41011,4101,,6,,10,16,"0,0,5145,5145",1,1,
41021,4102,,6,,10,16,"0,0,6248,6248",1,1,
41031,4103,,6,,10,16,"0,0,6248,6248",1,1,
41041,4104,,6,,10,16,"0,0,6248,6248",1,1,
41051,4105,,6,,10,16,"0,0,6248,6248",1,1,
41061,4106,,6,,10,16,"0,0,8453,8453",1,1,
41062,4106,,6,,10,8,1002,,,
42011,4201,,6,,10,16,"0,0,5145,5145",1,1,
42021,4202,,6,,10,16,"0,0,4778,4778",1,1,
42031,4203,,6,,10,16,"0,0,5880,5880",1,1,
42041,4204,,6,,10,16,"0,0,7350,7350",1,1,
42051,4205,,6,,10,16,"0,0,5513,5513",1,1,
42061,4206,,6,,10,16,"0,0,11025,11025",1,1,
42062,4206,,6,,10,8,1002,,,
43011,4301,,6,,10,16,"0,0,4043,4043",1,1,
43021,4302,,6,,10,16,"0,0,4410,4410",1,1,
43031,4303,,6,,10,16,"0,0,5513,5513",1,1,
43041,4304,,6,,10,16,"0,0,8820,8820",1,1,
43051,4305,,6,,10,16,"0,0,6615,6615",1,1,
43061,4306,,6,,10,16,"0,0,9923,9923",1,1,
