Id,GroupId,EffectType,EffectParam1,EffectParam2,EffectParam3,EffectParam4,EffectParam5,EffectParam6,EffectParam7,EffectParam8,EffectParam9,EffectParam10,EffectParam11,EffectParam12,EffectParam13,EffectParam14,EffectParam15,EffectParam16,EffectParam17,EffectParam18,EffectParam19,EffectParam20,EffectParamMin,EffectParamMax,EffectParamGrowth,EffectSkillInfoId
1,1001,163,4000,4800,5600,6400,7200,8000,8800,9600,10400,11200,,,,,,,,,,,4000,11200,1,
2,1002,163,4000,4800,5600,6400,7200,8000,8800,9600,10400,11200,,,,,,,,,,,4000,11200,1,
3,1003,163,4000,4800,5600,6400,7200,8000,8800,9600,10400,11200,,,,,,,,,,,4000,11200,1,
4,1004,163,1200,1450,1710,1960,2220,2470,2730,2980,3240,3500,,,,,,,,,,,1200,3500,1,
5,1005,164,500,600,700,800,900,1000,1100,1200,1300,1400,,,,,,,,,,,500,1400,1,
6,1006,164,500,600,700,800,900,1000,1100,1200,1300,1400,,,,,,,,,,,500,1400,1,
7,1007,164,500,600,700,800,900,1000,1100,1200,1300,1400,,,,,,,,,,,500,1400,1,
8,1008,164,250,300,350,400,450,500,550,600,650,700,,,,,,,,,,,250,700,1,
9,1009,98,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,50,500,1,
10,1010,22,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,50,500,1,
11,1011,97,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,50,500,1,
12,1012,15,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,50,500,1,
13,1013,62,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,50,500,1,
14,1014,100,50,100,150,200,250,300,350,400,450,500,,,,,,,,,,,50,500,1,
15,1015,165,1000,1390,1770,2160,2550,2940,3330,3720,4110,4500,,,,,,,,,,,1000,4500,1,
16,1016,163,10000,12500,15000,17500,20000,22500,25000,27500,30000,32500,,,,,,,,,,,10000,32500,1,
17,1017,164,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,,,,,,,,,,,1000,3250,1,
19,1015,177,500,722,944,1166,1388,1611,1833,2055,2277,2500,,,,,,,,,,,500,2500,1,
20,1015,174,500,555,611,666,722,777,833,888,944,1000,,,,,,,,,,,500,1000,1,
101,1101,32,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,500,5000,1,
102,1102,32,1000,1444,1888,2333,2777,3222,3666,4111,4555,5000,,,,,,,,,,,1000,5000,1,
103,1103,32,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,500,5000,1,
104,1104,32,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,500,5000,1,
105,1105,32,1000,1444,1888,2333,2777,3222,3666,4111,4555,5000,,,,,,,,,,,1000,5000,1,
106,1106,32,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,500,5000,1,
107,1107,37,200,733,1266,1800,2333,2866,3400,3933,4466,5000,,,,,,,,,,,200,5000,1,
108,1108,37,400,911,1422,1933,2444,2955,3466,3977,4488,5000,,,,,,,,,,,400,5000,1,
109,1109,32,200,733,1266,1800,2333,2866,3400,3933,4466,5000,,,,,,,,,,,200,5000,1,
110,1110,32,400,911,1422,1933,2444,2955,3466,3977,4488,5000,,,,,,,,,,,400,5000,1,
111,1111,37,200,233,266,300,333,366,400,433,466,500,,,,,,,,,,,200,500,1,
112,1112,37,400,411,422,433,444,455,466,477,488,500,,,,,,,,,,,400,500,1,
113,1113,32,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,,,,,,,,,,,500,5000,1,
114,1114,32,1000,1444,1888,2333,2777,3222,3666,4111,4555,5000,,,,,,,,,,,1000,5000,1,
115,1115,37,200,233,266,300,333,366,400,433,466,500,,,,,,,,,,,200,500,1,
116,1116,37,400,411,422,433,444,455,466,477,488,500,,,,,,,,,,,400,500,1,
117,1117,37,200,233,266,300,333,366,400,433,466,500,,,,,,,,,,,200,500,1,
118,1118,37,400,411,422,433,444,455,466,477,488,500,,,,,,,,,,,400,500,1,
201,1201,32,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,1500,1500,1,
202,1202,37,500,500,500,500,500,500,500,500,500,500,,,,,,,,,,,500,500,1,
203,1203,154,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,5000,5000,1,
204,1204,163,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,1500,1500,1,
205,1205,163,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,1500,1500,1,
206,1206,163,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,,,,,,,,,,3000,3000,1,
301,1301,7,200,244,288,333,377,422,466,511,555,600,,,,,,,,,,,200,600,1,
