Id,Keyword,ConditionType,ConditionValue,ConditionSubValue,ShowInProgressBar,SortNum,ContentIcon,BadgeType
1,FORGE,2,1011,0,1,1,UI_Btn_EquipmentEnhancement,22
2,SOULSHOT,2,1017,0,1,2,UI_Icon_Soulshot2,240
3,DUNGEON,2,1025,0,0,,UI_Btn_Dungeon,33
4,DAILY_DUNGEON,2,1025,0,1,3,UI_Btn_Dungeon,132
5,HEROIC,2,1036,0,1,5,UI_Btn_Achievement,27
6,FRIEND,0,1,0,0,,UI_Btn_Friend,49
8,GACHA_PREMIUM,2,1041,0,1,6,UI_Btn_DiaShop,107
10,PVP,2,1106,0,1,8,UI_Btn_BattleField,150
11,RANKING,0,1,0,0,,UI_Btn_Ranking,35
12,COMPOSITION,2,1111,0,1,9,UI_Btn_EquipmentEnhancement,123
13,ENCHANT,2,1115,0,1,14,UI_Btn_EquipmentEnhancement,124
14,GUILD,0,10,,0,,UI_Btn_Guild,54
15,INFINITY_DUNGEON,2,1120,0,1,10,UI_Btn_Dungeon,133
16,RUNE,2,1120,5,1,11,UI_Btn_Rune,8
17,UPGRADE,2,1125,0,1,12,UI_Btn_EquipmentEnhancement,122
18,DAILY_ACTIVITY,2,1132,0,0,,UI_Btn_Mission,113
19,MISSION_REQUEST,2,2005,0,0,,UI_Btn_QuestProgress,240
20,REQUEST_WEEKLY,2,2010,0,0,,UI_Btn_QuestProgress,240
21,SOUL_CRYSTAL,2,2118,0,1,15,UI_Btn_JewelCraft,23
22,ELITE_DUNGEON_0,2,2102,0,1,13,UI_Btn_Dungeon,135
23,ELITE_DUNGEON_1,2,2102,0,0,,UI_Btn_Dungeon,240
24,MONSTER_BOOK,2,2122,3,1,16,UI_Btn_MonsterBook,28
25,UNIQUE_SKILL,2,2126,0,1,17,UI_Btn_Skill,240
27,AUCTION_HOUSE,0,21,0,0,,UI_Btn_AuctionHouse,39
28,ELIXIR,2,3324,6,1,18,UI_Btn_MiscCraft,240
29,COLLECT_DUNGEON,2,3326,0,1,19,UI_Btn_Dungeon,134
30,AUTO_COMBAT,2,1025,0,1,4,UI_Btn_AutoCombat3,240
40,CHARACTER_TITLE,0,1,0,0,,UI_Btn_CharacterTitle,169
101,DAILY_DUNGEON_NORMAL,2,1025,,0,,UI_Btn_Dungeon,240
102,ELITE_DUNGEON_2,0,20,,0,,UI_Btn_Dungeon,240
