Id,MissionType,RequireCompleteCount,QuestActChapterProgress,RewardType,RewardItemInfoId,RewardCount,RewardIcon
1,0,6,,6,34000000,3,Icon_Box_SweepTicket
2,0,12,,6,911060,1,Icon_Box_QuestScroll_01
4,1,10,1,6,33000501,4,Icon_SummonGem_02
4,1,10,12,6,33000501,4,Icon_SummonGem_02
4,1,10,19,6,33000502,4,Icon_SummonGem_02
4,1,10,29,6,33000502,4,Icon_SummonGem_02
4,1,10,39,6,33000502,4,Icon_SummonGem_02
4,1,10,49,6,33000502,4,Icon_SummonGem_02
4,1,10,59,6,33000503,4,Icon_SummonGem_02
4,1,10,68,6,33000503,4,Icon_SummonGem_02
4,1,10,77,6,33000503,4,Icon_SummonGem_02
4,1,10,85,6,33000503,4,Icon_SummonGem_02
4,1,10,94,6,33000504,4,Icon_SummonGem_02
4,1,10,104,6,33000504,4,Icon_SummonGem_02
4,1,10,115,6,33000504,4,Icon_SummonGem_02
4,1,10,124,6,33000504,4,Icon_SummonGem_02
4,1,10,134,6,33000505,4,Icon_SummonGem_02
4,1,10,144,6,33000505,4,Icon_SummonGem_02
4,1,10,154,6,33000505,4,Icon_SummonGem_02
5,1,20,1,1,,30000,Icon_Asset_Adena_01
5,1,20,12,1,,30000,Icon_Asset_Adena_01
5,1,20,19,1,,30000,Icon_Asset_Adena_01
5,1,20,29,1,,30000,Icon_Asset_Adena_01
5,1,20,39,1,,30000,Icon_Asset_Adena_01
5,1,20,49,1,,30000,Icon_Asset_Adena_01
5,1,20,59,1,,30000,Icon_Asset_Adena_01
5,1,20,68,1,,30000,Icon_Asset_Adena_01
5,1,20,77,1,,30000,Icon_Asset_Adena_01
5,1,20,85,1,,30000,Icon_Asset_Adena_01
5,1,20,94,1,,30000,Icon_Asset_Adena_01
5,1,20,104,1,,30000,Icon_Asset_Adena_01
5,1,20,115,1,,30000,Icon_Asset_Adena_01
5,1,20,124,1,,30000,Icon_Asset_Adena_01
5,1,20,134,1,,30000,Icon_Asset_Adena_01
5,1,20,144,1,,30000,Icon_Asset_Adena_01
5,1,20,154,1,,30000,Icon_Asset_Adena_01
6,1,30,1,6,33000501,4,Icon_SummonGem_02
6,1,30,12,6,33000501,4,Icon_SummonGem_02
6,1,30,19,6,33000502,4,Icon_SummonGem_02
6,1,30,29,6,33000502,4,Icon_SummonGem_02
6,1,30,39,6,33000502,4,Icon_SummonGem_02
6,1,30,49,6,33000502,4,Icon_SummonGem_02
6,1,30,59,6,33000503,4,Icon_SummonGem_02
6,1,30,68,6,33000503,4,Icon_SummonGem_02
6,1,30,77,6,33000503,4,Icon_SummonGem_02
6,1,30,85,6,33000503,4,Icon_SummonGem_02
6,1,30,94,6,33000504,4,Icon_SummonGem_02
6,1,30,104,6,33000504,4,Icon_SummonGem_02
6,1,30,115,6,33000504,4,Icon_SummonGem_02
6,1,30,124,6,33000504,4,Icon_SummonGem_02
6,1,30,134,6,33000505,4,Icon_SummonGem_02
6,1,30,144,6,33000505,4,Icon_SummonGem_02
6,1,30,154,6,33000505,4,Icon_SummonGem_02
7,1,40,1,6,500119,1,Icon_Relic_Field_1_1
7,1,40,12,6,500119,1,Icon_Relic_Field_1_1
7,1,40,19,6,500119,1,Icon_Relic_Field_1_1
7,1,40,29,6,500119,1,Icon_Relic_Field_1_1
7,1,40,39,6,500119,1,Icon_Relic_Field_1_1
7,1,40,49,6,500119,1,Icon_Relic_Field_1_1
7,1,40,59,6,500119,1,Icon_Relic_Field_1_1
7,1,40,68,6,500119,1,Icon_Relic_Field_1_1
7,1,40,77,6,500119,1,Icon_Relic_Field_1_1
7,1,40,85,6,500119,1,Icon_Relic_Field_1_1
7,1,40,94,6,500119,1,Icon_Relic_Field_1_1
7,1,40,104,6,500119,1,Icon_Relic_Field_1_1
7,1,40,115,6,500119,1,Icon_Relic_Field_1_1
7,1,40,124,6,500119,1,Icon_Relic_Field_1_1
7,1,40,134,6,500119,1,Icon_Relic_Field_1_1
7,1,40,144,6,500119,1,Icon_Relic_Field_1_1
7,1,40,154,6,500119,1,Icon_Relic_Field_1_1
8,1,50,1,6,33000501,4,Icon_SummonGem_02
8,1,50,12,6,33000501,4,Icon_SummonGem_02
8,1,50,19,6,33000502,4,Icon_SummonGem_02
8,1,50,29,6,33000502,4,Icon_SummonGem_02
8,1,50,39,6,33000502,4,Icon_SummonGem_02
8,1,50,49,6,33000502,4,Icon_SummonGem_02
8,1,50,59,6,33000503,4,Icon_SummonGem_02
8,1,50,68,6,33000503,4,Icon_SummonGem_02
8,1,50,77,6,33000503,4,Icon_SummonGem_02
8,1,50,85,6,33000503,4,Icon_SummonGem_02
8,1,50,94,6,33000504,4,Icon_SummonGem_02
8,1,50,104,6,33000504,4,Icon_SummonGem_02
8,1,50,115,6,33000504,4,Icon_SummonGem_02
8,1,50,124,6,33000504,4,Icon_SummonGem_02
8,1,50,134,6,33000505,4,Icon_SummonGem_02
8,1,50,144,6,33000505,4,Icon_SummonGem_02
8,1,50,154,6,33000505,4,Icon_SummonGem_02
9,1,60,1,6,500120,1,Icon_Relic_Field_1_2
9,1,60,12,6,500120,1,Icon_Relic_Field_1_2
9,1,60,19,6,500120,1,Icon_Relic_Field_1_2
9,1,60,29,6,500120,1,Icon_Relic_Field_1_2
9,1,60,39,6,500120,1,Icon_Relic_Field_1_2
9,1,60,49,6,500120,1,Icon_Relic_Field_1_2
9,1,60,59,6,500120,1,Icon_Relic_Field_1_2
9,1,60,68,6,500120,1,Icon_Relic_Field_1_2
9,1,60,77,6,500120,1,Icon_Relic_Field_1_2
9,1,60,85,6,500120,1,Icon_Relic_Field_1_2
9,1,60,94,6,500120,1,Icon_Relic_Field_1_2
9,1,60,104,6,500120,1,Icon_Relic_Field_1_2
9,1,60,115,6,500120,1,Icon_Relic_Field_1_2
9,1,60,124,6,500120,1,Icon_Relic_Field_1_2
9,1,60,134,6,500120,1,Icon_Relic_Field_1_2
9,1,60,144,6,500120,1,Icon_Relic_Field_1_2
9,1,60,154,6,500120,1,Icon_Relic_Field_1_2
