Id,EmblemName
1001,フレーム{Param1}
1002,フレーム{Param1}
1003,フレーム{Param1}
1004,フレーム{Param1}
1005,フレーム{Param1}
1006,フレーム{Param1}
1007,フレーム{Param1}
1008,フレーム{Param1}
2001,シンボル{Param1}
2002,シンボル{Param1}
2003,シンボル{Param1}
2004,シンボル{Param1}
2005,シンボル{Param1}
2006,シンボル{Param1}
2007,シンボル{Param1}
2008,シンボル{Param1}
2009,シンボル{Param1}
2010,シンボル{Param1}
2011,シンボル{Param1}
2012,シンボル{Param1}
2013,シンボル{Param1}
2014,シンボル{Param1}
2015,シンボル{Param1}
2016,シンボル{Param1}
2017,シンボル{Param1}
2018,シンボル{Param1}
2019,シンボル{Param1}
2020,シンボル{Param1}
2021,シンボル{Param1}
2022,シンボル{Param1}
2023,シンボル{Param1}
2024,シンボル{Param1}
2025,シンボル{Param1}
2026,シンボル{Param1}
2027,シンボル{Param1}
2028,シンボル{Param1}
2029,シンボル{Param1}
2030,シンボル{Param1}
2031,シンボル{Param1}
2032,LRT優勝
