Id,Ndme,Desc
1,話せる島西部でオーク労働者討伐,オーク労働者を{TaskCount}体倒そう
2,話せる島西部で森の棘ディコール討伐,森の棘ディコールを{TaskCount}体倒そう
3,話せる島西部で飢えた赤毛狐討伐,飢えた赤毛狐を{TaskCount}体倒そう
4,話せる島西部で森林スズメバチ討伐,森林スズメバチを{TaskCount}体倒そう
5,話せる島西部でオーク労働者討伐,オーク労働者を{TaskCount}体倒そう
6,話せる島西部で森の棘ディコール討伐,森の棘ディコールを{TaskCount}体倒そう
7,話せる島西部で飢えた赤毛狐討伐,飢えた赤毛狐を{TaskCount}体倒そう
8,話せる島西部でオーク労働者討伐,オーク労働者を{TaskCount}体倒そう
9,話せる島西部で森の棘ディコール討伐,森の棘ディコールを{TaskCount}体倒そう
10,話せる島西部で飢えた赤毛狐討伐,飢えた赤毛狐を{TaskCount}体倒そう
11,話せる島西部で森林スズメバチ討伐,森林スズメバチを{TaskCount}体倒そう
12,話せる島西部でオーク労働者討伐,オーク労働者を{TaskCount}体倒そう
13,話せる島西部で森の棘ディコール討伐,森の棘ディコールを{TaskCount}体倒そう
14,話せる島西部で飢えた赤毛狐討伐,飢えた赤毛狐を{TaskCount}体倒そう
15,話せる島西部でオーク労働者討伐,オーク労働者を{TaskCount}体倒そう
16,話せる島西部で森の棘ディコール討伐,森の棘ディコールを{TaskCount}体倒そう
17,話せる島西部で飢えた赤毛狐討伐,飢えた赤毛狐を{TaskCount}体倒そう
18,話せる島西部で森林スズメバチ討伐,森林スズメバチを{TaskCount}体倒そう
19,話せる島西部でオーク労働者討伐,オーク労働者を{TaskCount}体倒そう
20,話せる島西部で森の棘ディコール討伐,森の棘ディコールを{TaskCount}体倒そう
21,話せる島西部で飢えた赤毛狐討伐,飢えた赤毛狐を{TaskCount}体倒そう
22,話せる島西部でオーク労働者討伐,オーク労働者を{TaskCount}体倒そう
23,話せる島西部で森の棘ディコール討伐,森の棘ディコールを{TaskCount}体倒そう
24,話せる島西部で飢えた赤毛狐討伐,飢えた赤毛狐を{TaskCount}体倒そう
25,話せる島西部で森林スズメバチ討伐,森林スズメバチを{TaskCount}体倒そう
26,話せる島西部でオーク労働者討伐,オーク労働者を{TaskCount}体倒そう
27,話せる島西部で森の棘ディコール討伐,森の棘ディコールを{TaskCount}体倒そう
28,話せる島西部で飢えた赤毛狐討伐,飢えた赤毛狐を{TaskCount}体倒そう
29,話せる島西部で森の棘ディコール討伐,森の棘ディコールを{TaskCount}体倒そう
30,話せる島西部で飢えた赤毛狐討伐,飢えた赤毛狐を{TaskCount}体倒そう
31,話せる島西部で骸骨兵士討伐,骸骨兵士を{TaskCount}体倒そう
32,話せる島西部で骸骨弓使い討伐,骸骨弓使いを{TaskCount}体倒そう
33,話せる島西部でレッドルーズ討伐,レッドルーズを{TaskCount}体倒そう
34,話せる島西部でタカ討伐,タカを{TaskCount}体倒そう
35,話せる島西部でキングベイン討伐,キングベインを{TaskCount}体倒そう
36,話せる島西部で骸骨兵士討伐,骸骨兵士を{TaskCount}体倒そう
37,話せる島西部で骸骨弓使い討伐,骸骨弓使いを{TaskCount}体倒そう
38,話せる島西部で骸骨兵士討伐,骸骨兵士を{TaskCount}体倒そう
39,話せる島西部で骸骨弓使い討伐,骸骨弓使いを{TaskCount}体倒そう
40,話せる島西部でレッドルーズ討伐,レッドルーズを{TaskCount}体倒そう
41,話せる島西部でタカ討伐,タカを{TaskCount}体倒そう
42,話せる島西部でキングベイン討伐,キングベインを{TaskCount}体倒そう
43,話せる島西部で骸骨兵士討伐,骸骨兵士を{TaskCount}体倒そう
44,話せる島西部で骸骨弓使い討伐,骸骨弓使いを{TaskCount}体倒そう
45,話せる島西部で骸骨兵士討伐,骸骨兵士を{TaskCount}体倒そう
46,話せる島西部で骸骨弓使い討伐,骸骨弓使いを{TaskCount}体倒そう
47,話せる島西部で骸骨兵士討伐,骸骨兵士を{TaskCount}体倒そう
48,話せる島西部で骸骨弓使い討伐,骸骨弓使いを{TaskCount}体倒そう
49,話せる島西部で骸骨兵士討伐,骸骨兵士を{TaskCount}体倒そう
50,話せる島西部で骸骨弓使い討伐,骸骨弓使いを{TaskCount}体倒そう
51,話せる島西部でタカ討伐,タカを{TaskCount}体倒そう
52,話せる島西部でキングベイン討伐,キングベインを{TaskCount}体倒そう
53,話せる島西部で骸骨兵士討伐,骸骨兵士を{TaskCount}体倒そう
54,話せる島西部で骸骨弓使い討伐,骸骨弓使いを{TaskCount}体倒そう
55,話せる島西部で骸骨兵士討伐,骸骨兵士を{TaskCount}体倒そう
56,話せる島西部で骸骨弓使い討伐,骸骨弓使いを{TaskCount}体倒そう
57,話せる島西部で骸骨兵士討伐,骸骨兵士を{TaskCount}体倒そう
58,話せる島西部で骸骨弓使い討伐,骸骨弓使いを{TaskCount}体倒そう
59,話せる島西部で骸骨兵士討伐,骸骨兵士を{TaskCount}体倒そう
