Id,Adventure,Difficulty
1,すべて,すべて
2,エリートダンジョン,エルフの遺跡1階
3,エリートダンジョン,エルフの遺跡2階
4,エリートダンジョン,アリの巣地下1階
5,エリートダンジョン,アリの巣地下2階
6,エリートダンジョン,クルマの塔2階
7,エリートダンジョン,クルマの塔3階
8,エリートダンジョン,象牙の塔地下1階
9,エリートダンジョン,象牙の塔地下2階
10,採集ダンジョン,採集ダンジョン
11,装備ダンジョン,EASY
12,装備ダンジョン,NORMAL
13,装備ダンジョン,HARD
14,装備ダンジョン,VERY HARD
15,召喚石ダンジョン,EASY
16,召喚石ダンジョン,NORMAL
17,召喚石ダンジョン,HARD
101,ボスレイド,精霊の守り人
102,ボスレイド,ゾディアック
103,ボスレイド,キリオス
104,ボスレイド,シルバービアード
105,ボスレイド,ヴェパー
106,ボスレイド,カジール
107,ボスレイド,フレゴン
108,ボスレイド,シス
109,ボスレイド,アマデウス
111,ボスレイド,ステノア
118,エリートダンジョン,象牙の塔地下3階
124,次元の迷路,狂気の祭壇（EASY）
125,次元の迷路,狂気の祭壇（NORMAL）
126,次元の迷路,狂気の祭壇（HARD）
129,次元の迷路,血の女伯爵の寝所（EASY）
130,次元の迷路,血の女伯爵の寝所（NORMAL）
133,次元の迷路,創造の神殿（EASY）
134,次元の迷路,創造の神殿（NORMAL）
