I;Xzme,Desc,Desc2
1001,"20,000アデナ","20,000アデナを獲得します。",
1002,"42,000アデナ","40,000+2,000アデナを獲得します。",
1003,"88,000アデナ","80,000+8,000アデナを獲得します。",
1004,"184,000アデナ","160,000+24,000アデナを獲得します。",
1005,"384,000アデナ","320,000+64,000アデナを獲得します。",
1006,"800,000アデナ","640,000+160,000アデナを獲得します。",
2001,ブルーダイヤ30個＋ボーナス30個,ブルーダイヤ30個＋ボーナス30個,
2002,ブルーダイヤ120個＋ボーナス120個,"ブルーダイヤ120個＋ボーナス120個
トパーズ3個",
2003,ブルーダイヤ240個＋ボーナス240個,"ブルーダイヤ240個＋ボーナス240個
トパーズ6個",
2004,ダイヤ30個,ブルーダイヤ30個,
2005,ダイヤ130個,"ブルーダイヤ120個＋ボーナス10個
トパーズ3個",
2006,ダイヤ270個,"ブルーダイヤ240個＋ボーナス30個
トパーズ6個",
2010,ダイヤ720個,"ブルーダイヤ600個＋ボーナス120個
トパーズ20個",
2007,"ダイヤ1,050個","ブルーダイヤ800個＋ボーナス250個
トパーズ30個",
2008,"ダイヤ1,600個","ブルーダイヤ1,200個＋ボーナス400個
トパーズ45個",
2009,"ダイヤ3,500個","ブルーダイヤ2,450個＋ボーナス1,050個
トパーズ100個",
3001,スペシャル装備召喚ボックス1個,[HRランク～URランク]装備が獲得可能！,
3002,祝福された武器強化スクロール,"祝福された武器強化スクロールです。
強化成功時、強化値がランダムで
1～3上がります。",
3003,祝福された防具強化スクロール,"祝福された防具強化スクロールです。
強化成功時、強化値がランダムで
1～3上がります。",
3004,祝福された装飾品強化スクロール,"祝福された装飾品強化スクロールです。
強化成功時、強化値がランダムで
1～3上がります。",
3005,マーブルの加護,強化失敗時の強化度減少を防ぎます。,
3006,超越の石：URランク,URランクの装備を超越させられるアイテムです。,
3007,特性の石：HRランク,装備の特性を強化できるアイテムです。,
3008,特性の石：SRランク,装備の特性を強化できるアイテムです。,
3009,特性の石：URランク,装備の特性を強化できるアイテムです。,
3011,スペシャル装飾品召喚ボックス1個,[HRランク～URランク]装飾品が獲得可能！,
4001,HPポーション20個,HPを少量回復します。,
4002,10%OFF！HPポーション200個,HPを少量回復します。,
4003,高級HPポーション20個,HPを大幅に回復します。,
4004,10%OFF！高級HPポーション200個,HPを大幅に回復します。,
4005,MPポーション20個,MPを少量回復します。,
4006,10%OFF！MPポーション200個,MPを少量回復します。,
4007,高級MPポーション20個,MPを大量に回復します。,
4008,10%OFF！高級MPポーション200個,MPを大量に回復します。,
4009,ソウルショット500個,精霊の光を武器に込めてダメージを増加させます。,
4010,"10%OFF！ソウルショット5,000個",精霊の光を武器に込めてダメージを増加させます。,
4013,拡声器1個,全体チャットで利用できるアイテムです。,
4014,拡声器10個,全体チャットで利用できるアイテムです。,
4018,拡声器1個,全体チャットで利用できるアイテムです。,
4019,拡声器10個,全体チャットで利用できるアイテムです。,
4020,[Lv.20]クエストスクロール：Rランク,"[Rランクサブクエスト]が遂行できます。
購入可能レベル：20～29",
4021,[Lv.30]クエストスクロール：Rランク,"[Rランクサブクエスト]が遂行できます。
購入可能レベル：30～39",
4022,[Lv.40]クエストスクロール：Rランク,"[Rランクサブクエスト]が遂行できます。
購入可能レベル：40～49",
4023,[Lv.50]クエストスクロール：Rランク,"[Rランクサブクエスト]が遂行できます。
購入可能レベル：50～59",
4024,[Lv.60]クエストスクロール：Rランク,"[Rランクサブクエスト]が遂行できます。
購入可能レベル：60～74",
4025,[Lv.75]クエストスクロール：Rランク,"[Rランクサブクエスト]が遂行できます。
購入可能レベル：75～89",
4026,[Lv.90]クエストスクロール：Rランク,"[Rランクサブクエスト]が遂行できます。
購入可能レベル：90～104",
4027,[Lv.105]クエストスクロール：Rランク,"[Rランクサブクエスト]が遂行できます。
購入可能レベル：105～120",
4028,[Lv.20]クエストスクロール：HRランク,"[HRランクサブクエスト]が遂行できます。
購入可能レベル：20～29",
4029,[Lv.30]クエストスクロール：HRランク,"[HRランクサブクエスト]が遂行できます。
購入可能レベル：30～39",
4030,[Lv.40]クエストスクロール：HRランク,"[HRランクサブクエスト]が遂行できます。
購入可能レベル：40～49",
4031,[Lv.50]クエストスクロール：HRランク,"[HRランクサブクエスト]が遂行できます。
購入可能レベル：50～59",
4032,[Lv.60]クエストスクロール：HRランク,"[HRランクサブクエスト]が遂行できます。
購入可能レベル：60～74",
4033,[Lv.75]クエストスクロール：HRランク,"[HRランクサブクエスト]が遂行できます。
購入可能レベル：75～89",
4034,[Lv.90]クエストスクロール：HRランク,"[HRランクサブクエスト]が遂行できます。
購入可能レベル：90～104",
4035,[Lv.105]クエストスクロール：HRランク,"[HRランクサブクエスト]が遂行できます。
購入可能レベル：105～120",
4401,話せる島：レア召喚石,話せる島のレアモンスターを選んで召喚できます。,
4402,グルーディオ：レア召喚石,グルーディオのレアモンスターを選んで召喚できます。,
4403,ディオン：レア召喚石,ディオンのレアモンスターを選んで召喚できます。,
4404,ギラン：レア召喚石,ギランのレアモンスターを選んで召喚できます。,
4604,祝福された強化スクロール選択ボックス3個,"リストの中から1個を選んで獲得できます。
- 祝福された武器強化スクロール
- 祝福された防具強化スクロール
- 祝福された装飾品強化スクロール",
4605,特性の石：HRランク1個,"古代の下巨人のオーラが宿る石です。
装備の特性強化に使います。",
4606,マーブルの加護1個,"大地の神マーブルのご保護が宿る宝石です。
装備の強化に使うと強化失敗時に強化度が下がりません。",
4607,マーブルの加護5個,"大地の神マーブルのご保護が宿る宝石です。
装備の強化に使うと強化失敗時に強化度が下がりません。",
4608,祝福された強化スクロールボックス 5個,祝福された強化スクロールをランダムに獲得します。,
4609,超越の石：URランク1個,"創造主アインハザードのオーラが宿る石です。
URランク装備の超越に使います。",
4610,スペシャル装飾品召喚ボックス1個,HR～URランクの装飾品をランダムに獲得します。,
4611,特性の石：SRランク1個,"古代の下巨人のオーラが宿る石です。
装備の特性強化に使います。",
4612,[PVP防御]超越の石 1個,"期間限定

[PVP防御]超越の石 1個

スペシャル販売！

販売期間：1/12(金)～1/19(金) 14：59",
4613,[魔物攻撃]超越の石 1個,"期間限定

[魔物攻撃]超越の石 1個

スペシャル販売！

販売期間：1/12(金)～1/19(金) 14：59",
4614,マーブルの加護 3個,"期間限定

マーブルの加護 3個

スペシャル販売！

販売期間：1/12(金)～1/19(金) 14：59",
4615,[エリート攻撃]祝福された武器強化スクロール 1個,"期間限定

[エリート攻撃]祝福された武器強化スクロール1個

[エリート攻撃]特性専用の強化素材アイテムは
[エリート攻撃]特性を持つ武器にのみ
使用することができます。

販売期間：1/12(金)～1/19(金) 14：59",
4616,[エリート防御]祝福された防具強化スクロール 5個,"期間限定

[エリート防御]祝福された防具強化スクロール5個

[エリート防御]特性専用の強化素材アイテムは
[エリート防御]特性を持つ防具にのみ
使用することができます。

販売期間：1/12(金)～1/19(金) 14：59",
4617,血盟コイン100個,"期間限定

血盟コイン100個

スペシャル販売！

販売期間：1/12(金)～1/19(金) 14：59",
4618,血盟コイン500個,"期間限定

血盟コイン500個

スペシャル販売！

販売期間：1/12(金)～1/19(金) 14：59",
4619,グルーディオ：ボス召喚石 1個,"期間限定

グルーディオ：ボス召喚石 1個

スペシャル販売！

販売期間：1/19(金)～1/26(金) 14：59",
4620,ディオン：ボス召喚石 1個,"期間限定

ディオン：ボス召喚石 1個

スペシャル販売！

販売期間：1/19(金)～1/26(金) 14：59",
