笲M@9Ceme,Desc
10201,"[装備レベルアップ]
<SkyGray>[ノーマル攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
10202,"[装備レベルアップ]
<SkyGray>[ノーマル攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
10203,"[装備レベルアップ]
<SkyGray>[ノーマル攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
10204,"[装備レベルアップ]
<SkyGray>[ノーマル攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
10205,"[装備レベルアップ]
<SkyGray>[ノーマル攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
10301,"[装備強化]
<SkyGray>[ノーマル攻撃]特性武器</>",+{TaskCount}達成
10302,"[装備強化]
<SkyGray>[ノーマル攻撃]特性武器</>",+{TaskCount}達成
10303,"[装備強化]
<SkyGray>[ノーマル攻撃]特性武器</>",+{TaskCount}達成
10304,"[装備強化]
<SkyGray>[ノーマル攻撃]特性武器</>",+{TaskCount}達成
10305,"[装備強化]
<SkyGray>[ノーマル攻撃]特性武器</>",+{TaskCount}達成
10401,"[特性レベルアップ]
<SkyGray>[ノーマル攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
10402,"[特性レベルアップ]
<SkyGray>[ノーマル攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
10403,"[特性レベルアップ]
<SkyGray>[ノーマル攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
10404,"[特性レベルアップ]
<SkyGray>[ノーマル攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
10405,"[特性レベルアップ]
<SkyGray>[ノーマル攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
20201,"[装備レベルアップ]
<SkyGray>[エリート攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
20202,"[装備レベルアップ]
<SkyGray>[エリート攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
20203,"[装備レベルアップ]
<SkyGray>[エリート攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
20204,"[装備レベルアップ]
<SkyGray>[エリート攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
20205,"[装備レベルアップ]
<SkyGray>[エリート攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
20301,"[装備強化]
<SkyGray>[エリート攻撃]特性武器</>",+{TaskCount}達成
20302,"[装備強化]
<SkyGray>[エリート攻撃]特性武器</>",+{TaskCount}達成
20303,"[装備強化]
<SkyGray>[エリート攻撃]特性武器</>",+{TaskCount}達成
20304,"[装備強化]
<SkyGray>[エリート攻撃]特性武器</>",+{TaskCount}達成
20305,"[装備強化]
<SkyGray>[エリート攻撃]特性武器</>",+{TaskCount}達成
20401,"[特性レベルアップ]
<SkyGray>[エリート攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
20402,"[特性レベルアップ]
<SkyGray>[エリート攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
20403,"[特性レベルアップ]
<SkyGray>[エリート攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
20404,"[特性レベルアップ]
<SkyGray>[エリート攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
20405,"[特性レベルアップ]
<SkyGray>[エリート攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
30201,"[装備レベルアップ]
[ボス攻撃]特性武器","URランク武器
レベル{TaskCount}達成"
30202,"[装備レベルアップ]
[ボス攻撃]特性武器","URランク武器
レベル{TaskCount}達成"
30203,"[装備レベルアップ]
[ボス攻撃]特性武器","URランク武器
レベル{TaskCount}達成"
30204,"[装備レベルアップ]
[ボス攻撃]特性武器","URランク武器
レベル{TaskCount}達成"
30205,"[装備レベルアップ]
[ボス攻撃]特性武器","URランク武器
レベル{TaskCount}達成"
30301,"[装備強化]
[ボス攻撃]特性武器",+{TaskCount}達成
30302,"[装備強化]
[ボス攻撃]特性武器",+{TaskCount}達成
30303,"[装備強化]
[ボス攻撃]特性武器",+{TaskCount}達成
30304,"[装備強化]
[ボス攻撃]特性武器",+{TaskCount}達成
30305,"[装備強化]
[ボス攻撃]特性武器",+{TaskCount}達成
30401,"[特性レベルアップ]
[ボス攻撃]特性武器","特性レベル
レベル{TaskCount}達成"
30402,"[特性レベルアップ]
[ボス攻撃]特性武器","特性レベル
レベル{TaskCount}達成"
30403,"[特性レベルアップ]
[ボス攻撃]特性武器","特性レベル
レベル{TaskCount}達成"
30404,"[特性レベルアップ]
[ボス攻撃]特性武器","特性レベル
レベル{TaskCount}達成"
30405,"[特性レベルアップ]
[ボス攻撃]特性武器","特性レベル
レベル{TaskCount}達成"
40201,"[装備レベルアップ]
<SkyGray>[PVP攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
40202,"[装備レベルアップ]
<SkyGray>[PVP攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
40203,"[装備レベルアップ]
<SkyGray>[PVP攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
40204,"[装備レベルアップ]
<SkyGray>[PVP攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
40205,"[装備レベルアップ]
<SkyGray>[PVP攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
40301,"[装備強化]
<SkyGray>[PVP攻撃]特性武器</>",+{TaskCount}達成
40302,"[装備強化]
<SkyGray>[PVP攻撃]特性武器</>",+{TaskCount}達成
40303,"[装備強化]
<SkyGray>[PVP攻撃]特性武器</>",+{TaskCount}達成
40304,"[装備強化]
<SkyGray>[PVP攻撃]特性武器</>",+{TaskCount}達成
40305,"[装備強化]
<SkyGray>[PVP攻撃]特性武器</>",+{TaskCount}達成
40401,"[特性レベルアップ]
<SkyGray>[PVP攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
40402,"[特性レベルアップ]
<SkyGray>[PVP攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
40403,"[特性レベルアップ]
<SkyGray>[PVP攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
40404,"[特性レベルアップ]
<SkyGray>[PVP攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
40405,"[特性レベルアップ]
<SkyGray>[PVP攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
60201,"[装備レベルアップ]
<SkyGray>[魔物攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
60202,"[装備レベルアップ]
<SkyGray>[魔物攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
60203,"[装備レベルアップ]
<SkyGray>[魔物攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
60204,"[装備レベルアップ]
<SkyGray>[魔物攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
60205,"[装備レベルアップ]
<SkyGray>[魔物攻撃]特性武器</>","URランク武器
レベル{TaskCount}達成"
60301,"[装備強化]
<SkyGray>[魔物攻撃]特性武器</>",+{TaskCount}達成
60302,"[装備強化]
<SkyGray>[魔物攻撃]特性武器</>",+{TaskCount}達成
60303,"[装備強化]
<SkyGray>[魔物攻撃]特性武器</>",+{TaskCount}達成
60304,"[装備強化]
<SkyGray>[魔物攻撃]特性武器</>",+{TaskCount}達成
60305,"[装備強化]
<SkyGray>[魔物攻撃]特性武器</>",+{TaskCount}達成
60401,"[特性レベルアップ]
<SkyGray>[魔物攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
60402,"[特性レベルアップ]
<SkyGray>[魔物攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
60403,"[特性レベルアップ]
<SkyGray>[魔物攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
60404,"[特性レベルアップ]
<SkyGray>[魔物攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
60405,"[特性レベルアップ]
<SkyGray>[魔物攻撃]特性武器</>","特性レベル
レベル{TaskCount}達成"
210201,"[装備レベルアップ]
<SkyGray>[エリート防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
210202,"[装備レベルアップ]
<SkyGray>[エリート防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
210203,"[装備レベルアップ]
<SkyGray>[エリート防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
210204,"[装備レベルアップ]
<SkyGray>[エリート防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
210205,"[装備レベルアップ]
<SkyGray>[エリート防御]特性ヘルム</>","URランクヘルム
レベル{TaskCount}達成"
210301,"[装備強化]
<SkyGray>[エリート防御]特性ヘルム</>",+{TaskCount}達成
210302,"[装備強化]
<SkyGray>[エリート防御]特性ヘルム</>",+{TaskCount}達成
210303,"[装備強化]
<SkyGray>[エリート防御]特性ヘルム</>",+{TaskCount}達成
210304,"[装備強化]
<SkyGray>[エリート防御]特性ヘルム</>",+{TaskCount}達成
210305,"[装備強化]
<SkyGray>[エリート防御]特性ヘルム</>",+{TaskCount}達成
